Driver,LapNumber,LapTime,Compound
PIA,2.0,88.156,MEDIUM
PIA,3.0,119.146,MEDIUM
PIA,4.0,121.926,MEDIUM
PIA,5.0,87.951,MEDIUM
PIA,6.0,129.33,MEDIUM
PIA,8.0,87.354,MEDIUM
PIA,9.0,122.787,MEDIUM
PIA,11.0,86.527,SOFT
PIA,12.0,127.393,SOFT
LEC,2.0,88.364,MEDIUM
LEC,3.0,119.454,MEDIUM
LEC,4.0,123.045,MEDIUM
LEC,5.0,103.905,MEDIUM
LEC,6.0,88.325,MEDIUM
LEC,7.0,115.744,MEDIUM
LEC,9.0,87.811,MEDIUM
LEC,10.0,124.313,MEDIUM
LEC,11.0,122.371,MEDIUM
LEC,12.0,87.467,MEDIUM
LEC,13.0,114.961,MEDIUM
LEC,15.0,86.808,SOFT
VER,2.0,87.953,MEDIUM
VER,3.0,123.868,MEDIUM
VER,6.0,87.729,MEDIUM
VER,7.0,127.227,MEDIUM
VER,8.0,122.591,MEDIUM
VER,9.0,87.245,MEDIUM
VER,10.0,111.802,MEDIUM
VER,12.0,87.07,SOFT
VER,13.0,123.059,SOFT
VER,14.0,120.025,SOFT
VER,15.0,86.737,SOFT
SAI,2.0,88.802,MEDIUM
SAI,3.0,127.492,MEDIUM
SAI,5.0,87.899,MEDIUM
SAI,6.0,119.76,MEDIUM
SAI,8.0,114.271,MEDIUM
ALB,2.0,88.429,MEDIUM
ALB,3.0,122.623,MEDIUM
ALB,5.0,87.859,MEDIUM
ALB,6.0,120.739,MEDIUM
ALB,8.0,88.164,MEDIUM
ALB,9.0,123.512,MEDIUM
ALB,11.0,87.697,MEDIUM
ALB,12.0,115.326,MEDIUM
ALB,14.0,87.193,SOFT
HAD,2.0,89.901,MEDIUM
HAD,3.0,126.573,MEDIUM
HAD,5.0,88.394,MEDIUM
HAD,6.0,122.336,MEDIUM
HAD,8.0,87.773,MEDIUM
HAD,9.0,124.857,MEDIUM
HAD,11.0,87.543,SOFT
RUS,2.0,88.191,MEDIUM
RUS,3.0,128.865,MEDIUM
RUS,5.0,87.688,MEDIUM
RUS,6.0,123.992,MEDIUM
RUS,8.0,87.789,MEDIUM
RUS,9.0,132.934,MEDIUM
RUS,10.0,139.803,MEDIUM
RUS,11.0,87.666,MEDIUM
RUS,12.0,126.514,MEDIUM
RUS,14.0,86.791,SOFT
RUS,15.0,126.577,SOFT
TSU,2.0,89.246,MEDIUM
TSU,3.0,126.654,MEDIUM
TSU,5.0,111.177,MEDIUM
ANT,2.0,87.858,MEDIUM
ANT,3.0,120.652,MEDIUM
ANT,4.0,126.587,MEDIUM
ANT,5.0,88.429,MEDIUM
ANT,6.0,127.156,MEDIUM
ANT,8.0,87.727,MEDIUM
ANT,11.0,87.384,MEDIUM
ANT,12.0,117.823,MEDIUM
ANT,14.0,86.482,SOFT
ANT,15.0,134.591,SOFT
ALO,2.0,88.758,MEDIUM
ALO,3.0,119.52,MEDIUM
ALO,5.0,88.455,MEDIUM
ALO,6.0,123.754,MEDIUM
ALO,9.0,87.766,MEDIUM
ALO,10.0,124.058,MEDIUM
ALO,12.0,87.79,SOFT
LAW,2.0,88.914,MEDIUM
LAW,3.0,121.335,MEDIUM
LAW,5.0,99.153,MEDIUM
LAW,7.0,88.375,MEDIUM
LAW,8.0,120.604,MEDIUM
NOR,2.0,87.89,MEDIUM
NOR,3.0,123.857,MEDIUM
NOR,4.0,134.89,MEDIUM
NOR,5.0,139.4,MEDIUM
NOR,7.0,87.537,MEDIUM
NOR,8.0,120.745,MEDIUM
NOR,9.0,128.253,MEDIUM
NOR,10.0,87.109,MEDIUM
NOR,11.0,116.289,MEDIUM
NOR,13.0,86.582,SOFT
NOR,14.0,126.383,SOFT
HAM,2.0,88.231,MEDIUM
HAM,3.0,122.067,MEDIUM
HAM,4.0,122.465,MEDIUM
HAM,5.0,88.371,MEDIUM
HAM,6.0,126.687,MEDIUM
HAM,8.0,88.31,MEDIUM
HAM,9.0,134.43,MEDIUM
HAM,11.0,87.546,MEDIUM
HAM,14.0,87.03,SOFT
HUL,2.0,88.911,MEDIUM
HUL,3.0,149.727,MEDIUM
HUL,5.0,88.542,MEDIUM
HUL,6.0,121.01,MEDIUM
HUL,8.0,87.85,MEDIUM
HUL,9.0,117.948,MEDIUM
BOR,2.0,89.689,MEDIUM
BOR,3.0,118.315,MEDIUM
BOR,5.0,89.312,MEDIUM
BOR,6.0,132.037,MEDIUM
BEA,2.0,89.825,MEDIUM
BEA,5.0,119.912,MEDIUM
GAS,2.0,88.863,MEDIUM
GAS,5.0,88.345,MEDIUM
GAS,6.0,124.346,MEDIUM
GAS,8.0,88.167,MEDIUM
GAS,9.0,120.592,MEDIUM
OCO,2.0,88.773,MEDIUM
OCO,3.0,124.037,MEDIUM
OCO,5.0,88.303,MEDIUM
OCO,6.0,119.236,MEDIUM
OCO,8.0,88.07,MEDIUM
DOO,2.0,89.171,MEDIUM
DOO,3.0,125.465,MEDIUM
DOO,5.0,121.543,MEDIUM
STR,2.0,89.028,MEDIUM
STR,3.0,125.902,MEDIUM
STR,5.0,89.053,MEDIUM
