Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-02 20:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-02 20:35:14,Other,CAR 6 (HAD) TIME 1:29.901 DELETED - TRACK LIMITS AT TURN 17 LAP 3 16:34:03,,,,,,
2025-05-02 20:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-02 20:42:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,,
2025-05-02 20:43:25,Other,CAR 44 (HAM) LAP DELETED - TRACK LIMITS AT TURN 17 LAP 7 16:42:44,,,,,,
2025-05-02 20:45:42,Other,TURN 17 INCIDENT INVOLVING CARS 87 (BEA) AND 27 (HUL) NOTED - IMPEDING,,,,,,
2025-05-02 20:47:16,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 55 (SAI), 63 (RUS), 23 (ALB), 30 (LAW) AND 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-05-02 20:47:45,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 55 (SAI), 63 (RUS), 23 (ALB), 30 (LAW) AND 5 (BOR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-05-02 20:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-02 20:51:09,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 87 (BEA) AND 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2025-05-02 20:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-02 20:59:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 27 (HUL),,,,,,
2025-05-02 21:00:19,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 9 16:59:28 (PIT),,,,,,
2025-05-02 21:03:01,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CAR 1 (VER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-02 21:03:15,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CAR 1 (VER) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-02 21:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-02 21:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-02 21:14:16,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2025-05-02 21:18:02,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 55 (SAI), 63 (RUS), 23 (ALB), 30 (LAW) AND 5 (BOR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-05-02 21:20:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2025-05-02 21:20:13,Other,DRS DISABLED IN ZONE 3,,,,,,
2025-05-02 21:22:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2025-05-02 21:22:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2025-05-02 21:25:34,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2025-05-02 21:25:39,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
