Driver,LapNumber,LapTime,Compound
VER,2.0,78.885,SOFT
VER,3.0,132.004,SOFT
VER,5.0,77.751,SOFT
VER,6.0,145.984,SOFT
VER,7.0,139.397,SOFT
VER,8.0,76.905,SOFT
VER,9.0,91.528,SOFT
VER,11.0,76.977,SOFT
VER,13.0,138.923,SOFT
VER,14.0,127.036,SOFT
NOR,2.0,78.797,SOFT
NOR,3.0,134.613,SOFT
NOR,4.0,128.969,SOFT
NOR,5.0,77.491,SOFT
NOR,6.0,117.358,SOFT
NOR,8.0,77.125,SOFT
NOR,9.0,116.14,SOFT
NOR,11.0,79.888,SOFT
NOR,12.0,137.679,SOFT
NOR,13.0,76.577,SOFT
NOR,14.0,105.879,SOFT
NOR,16.0,76.942,SOFT
NOR,17.0,83.168,SOFT
NOR,18.0,79.445,SOFT
NOR,19.0,78.748,SOFT
NOR,20.0,79.044,SOFT
NOR,21.0,79.988,SOFT
NOR,22.0,80.244,SOFT
BOR,3.0,80.397,MEDIUM
BOR,4.0,118.259,MEDIUM
BOR,5.0,79.046,MEDIUM
BOR,6.0,133.835,MEDIUM
BOR,7.0,78.49,MEDIUM
BOR,8.0,136.899,MEDIUM
BOR,9.0,77.548,MEDIUM
BOR,10.0,117.352,MEDIUM
BOR,12.0,76.925,SOFT
BOR,13.0,130.398,SOFT
BOR,14.0,147.98,SOFT
BOR,15.0,77.459,SOFT
BOR,16.0,115.496,SOFT
BOR,18.0,81.601,SOFT
BOR,19.0,82.103,SOFT
BOR,20.0,81.392,SOFT
BOR,21.0,81.337,SOFT
BOR,22.0,81.281,SOFT
HAD,2.0,79.968,SOFT
HAD,3.0,126.893,SOFT
HAD,4.0,126.515,SOFT
HAD,5.0,78.055,SOFT
HAD,6.0,126.858,SOFT
HAD,7.0,116.506,SOFT
HAD,8.0,77.662,SOFT
HAD,9.0,111.892,SOFT
HAD,11.0,89.218,SOFT
HAD,13.0,77.641,SOFT
HAD,14.0,137.469,SOFT
HAD,16.0,134.821,SOFT
HAD,17.0,87.952,SOFT
HAD,18.0,81.313,SOFT
GAS,2.0,79.346,MEDIUM
GAS,3.0,121.355,MEDIUM
GAS,5.0,78.11,MEDIUM
GAS,6.0,133.394,MEDIUM
GAS,7.0,138.846,MEDIUM
GAS,8.0,77.644,MEDIUM
GAS,9.0,134.539,MEDIUM
GAS,11.0,76.907,MEDIUM
GAS,12.0,116.467,MEDIUM
GAS,14.0,76.696,SOFT
GAS,16.0,144.985,SOFT
GAS,17.0,77.165,SOFT
GAS,18.0,113.631,SOFT
GAS,19.0,127.232,SOFT
GAS,21.0,90.402,MEDIUM
ANT,2.0,78.78,SOFT
ANT,3.0,148.484,SOFT
ANT,4.0,143.263,SOFT
ANT,5.0,77.938,SOFT
ANT,6.0,111.759,SOFT
ANT,8.0,77.094,SOFT
ANT,9.0,113.08,SOFT
ANT,11.0,78.038,SOFT
ANT,12.0,117.92,SOFT
ANT,14.0,82.084,SOFT
ANT,15.0,81.888,SOFT
ANT,16.0,81.824,SOFT
ANT,17.0,82.031,SOFT
ANT,18.0,81.735,SOFT
ANT,19.0,81.56,SOFT
ANT,20.0,81.854,SOFT
ANT,21.0,93.837,SOFT
ALO,2.0,92.369,SOFT
ALO,3.0,115.947,SOFT
ALO,4.0,78.281,SOFT
ALO,5.0,127.533,SOFT
