Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-16 11:15:01,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-05-16 11:15:05,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,,
2025-05-16 11:15:01,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-05-16 11:15:05,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,,
2025-05-16 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-16 11:35:19,Other,TURN 15 INCIDENT INVOLVING CARS 16 (LEC) AND 14 (ALO) NOTED - IMPEDING,,,,,,
2025-05-16 11:36:30,Other,FIA STEWARDS: TURN 15 INCIDENT INVOLVING CARS 16 (LEC) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2025-05-16 12:27:27,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2025-05-16 12:27:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2025-05-16 12:27:30,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-05-16 12:27:30,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2025-05-16 12:27:31,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2025-05-16 12:27:37,Flag,RED FLAG,,RED,Track,,,
2025-05-16 12:27:37,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2025-05-16 12:27:37,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2025-05-16 12:33:27,Flag,TRACK CLEAR,,CLEAR,Track,,,
