Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-17 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-17 14:05:39,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2025-05-17 14:05:41,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2025-05-17 14:05:48,Flag,RED FLAG,,RED,Track,,,
2025-05-17 14:05:48,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-05-17 14:05:48,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-05-17 14:16:17,Other,ESTIMATED TIME OF Q1 RESUMPTION - 16:20,,,,,,
2025-05-17 14:18:11,Other,Q1 WILL RESUME AT 16:20,,,,,,
2025-05-17 14:18:21,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-05-17 14:18:23,Drs,DRS ENABLED,ENABLED,,,,,
2025-05-17 14:20:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-17 14:21:30,Other,INCIDENT INVOLVING CAR 43 (COL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ENTERING THE FAST LANE BEFORE RESUMPTION TIME ANNOUNCED,,,,,,
2025-05-17 14:22:27,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 43 (COL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ENTERING THE FAST LANE BEFORE RESUMPTION TIME ANNOUNCED,,,,,,
2025-05-17 14:30:03,Other,PIT LANE INCIDENT INVOLVING CAR 27 (HUL) NOTED - UNSAFE RELEASE,,,,,,
2025-05-17 14:31:21,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 27 (HUL) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE,,,,,,
2025-05-17 14:31:40,Other,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 15 LAP 7 16:31:06 (PIT),,,,,,
