Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-30 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-30 11:35:38,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,,
2025-05-30 11:35:40,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2025-05-30 12:22:44,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2025-05-30 12:23:16,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
2025-05-30 12:23:17,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-05-30 12:23:19,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-05-30 12:23:19,Other,DRS ENABLED IN ZONE 1,,,,,,
2025-05-30 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-30 12:30:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI),,,,,,
2025-05-30 12:36:00,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2025-05-30 12:36:26,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2025-05-30 12:36:30,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2025-05-30 12:36:31,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2025-05-30 12:36:32,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-05-30 12:36:37,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2025-05-30 12:36:39,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
