Driver,LapNumber,LapTime,Compound
VER,2.0,73.91,MEDIUM
VER,3.0,147.638,MEDIUM
VER,4.0,130.946,MEDIUM
VER,5.0,84.95,MEDIUM
VER,7.0,73.07,SOFT
VER,8.0,92.638,SOFT
VER,10.0,79.758,MEDIUM
VER,11.0,79.961,MEDIUM
VER,12.0,79.716,MEDIUM
VER,13.0,79.797,MEDIUM
VER,14.0,82.921,MEDIUM
VER,15.0,80.486,MEDIUM
VER,16.0,80.451,MEDIUM
VER,17.0,80.45,MEDIUM
VER,18.0,84.73,MEDIUM
VER,19.0,103.673,SOFT
VER,20.0,79.924,SOFT
VER,21.0,79.62,SOFT
VER,22.0,79.998,SOFT
VER,23.0,79.528,SOFT
VER,24.0,79.865,SOFT
VER,25.0,80.297,SOFT
VER,26.0,79.961,SOFT
VER,27.0,80.011,SOFT
VER,28.0,80.062,SOFT
VER,29.0,140.914,SOFT
VER,30.0,120.493,SOFT
NOR,2.0,73.636,MEDIUM
NOR,3.0,133.205,MEDIUM
NOR,5.0,73.922,MEDIUM
NOR,6.0,103.443,MEDIUM
NOR,8.0,73.07,SOFT
NOR,9.0,102.59,SOFT
NOR,10.0,146.648,SOFT
NOR,11.0,86.17,SOFT
NOR,13.0,80.066,SOFT
NOR,14.0,79.911,SOFT
NOR,15.0,80.067,SOFT
NOR,16.0,80.292,SOFT
NOR,17.0,80.255,SOFT
NOR,18.0,80.18,SOFT
NOR,19.0,80.135,SOFT
NOR,20.0,80.273,SOFT
NOR,21.0,80.488,SOFT
NOR,22.0,80.54,SOFT
NOR,23.0,84.169,SOFT
NOR,24.0,98.694,MEDIUM
NOR,25.0,78.503,MEDIUM
NOR,26.0,78.916,MEDIUM
NOR,27.0,78.792,MEDIUM
NOR,28.0,78.853,MEDIUM
NOR,29.0,87.938,MEDIUM
NOR,30.0,108.293,MEDIUM
NOR,31.0,135.559,MEDIUM
BOR,2.0,75.261,MEDIUM
BOR,3.0,140.398,MEDIUM
BOR,4.0,126.408,MEDIUM
BOR,5.0,75.315,MEDIUM
BOR,6.0,134.443,MEDIUM
BOR,7.0,143.897,MEDIUM
BOR,8.0,87.325,MEDIUM
BOR,10.0,73.959,SOFT
BOR,11.0,130.996,SOFT
BOR,12.0,144.545,SOFT
BOR,13.0,80.485,SOFT
BOR,15.0,79.946,SOFT
BOR,16.0,81.075,SOFT
BOR,17.0,80.847,SOFT
BOR,18.0,80.981,SOFT
BOR,19.0,81.301,SOFT
BOR,20.0,80.719,SOFT
BOR,21.0,80.982,SOFT
BOR,22.0,81.598,SOFT
BOR,23.0,81.828,SOFT
BOR,24.0,82.184,SOFT
BOR,25.0,82.18,SOFT
BOR,27.0,107.993,SOFT
HAD,2.0,74.81,MEDIUM
HAD,3.0,129.505,MEDIUM
HAD,5.0,74.481,MEDIUM
HAD,6.0,125.822,MEDIUM
HAD,8.0,75.155,MEDIUM
HAD,9.0,88.583,MEDIUM
HAD,11.0,73.4,SOFT
HAD,12.0,99.584,SOFT
HAD,14.0,113.082,SOFT
HAD,15.0,81.221,SOFT
HAD,16.0,81.008,SOFT
HAD,17.0,80.975,SOFT
HAD,18.0,80.58,SOFT
HAD,19.0,80.816,SOFT
HAD,20.0,81.002,SOFT
HAD,21.0,81.016,SOFT
HAD,22.0,85.616,SOFT
HAD,23.0,80.405,SOFT
HAD,24.0,81.067,SOFT
HAD,25.0,80.796,SOFT
HAD,26.0,85.231,SOFT
HAD,28.0,114.088,MEDIUM
HAD,29.0,142.192,MEDIUM
GAS,2.0,74.551,MEDIUM
GAS,3.0,143.599,MEDIUM
GAS,4.0,125.671,MEDIUM
GAS,5.0,74.591,MEDIUM
GAS,6.0,139.362,MEDIUM
GAS,7.0,139.232,MEDIUM
GAS,8.0,80.315,MEDIUM
GAS,10.0,73.385,SOFT
GAS,11.0,136.597,SOFT
GAS,13.0,81.792,SOFT
GAS,15.0,79.572,SOFT
GAS,16.0,80.065,SOFT
GAS,17.0,80.286,SOFT
GAS,18.0,80.85,SOFT
GAS,19.0,80.914,SOFT
GAS,20.0,85.382,SOFT
GAS,21.0,111.079,MEDIUM
GAS,22.0,80.222,MEDIUM
GAS,23.0,80.083,MEDIUM
GAS,24.0,80.122,MEDIUM
GAS,25.0,80.334,MEDIUM
GAS,26.0,80.361,MEDIUM
GAS,27.0,80.433,MEDIUM
GAS,28.0,80.738,MEDIUM
GAS,29.0,133.238,MEDIUM
GAS,30.0,122.521,MEDIUM
ANT,2.0,74.518,MEDIUM
ANT,3.0,137.07,MEDIUM
ANT,5.0,74.212,MEDIUM
ANT,6.0,107.504,MEDIUM
ANT,8.0,73.298,SOFT
ANT,9.0,114.687,SOFT
ANT,11.0,80.454,SOFT
ANT,12.0,81.463,SOFT
ANT,13.0,80.281,SOFT
ANT,14.0,80.487,SOFT
ANT,15.0,80.443,SOFT
ANT,16.0,85.37,SOFT
ANT,17.0,81.292,SOFT
ANT,18.0,81.056,SOFT
ANT,19.0,80.947,SOFT
ANT,20.0,81.017,SOFT
ANT,21.0,84.05,SOFT
ANT,22.0,81.279,SOFT
ANT,23.0,81.358,SOFT
ANT,24.0,81.24,SOFT
ANT,25.0,82.738,SOFT
ANT,26.0,85.93,SOFT
ANT,27.0,105.388,MEDIUM
ANT,28.0,79.621,MEDIUM
ANT,29.0,79.894,MEDIUM
ANT,30.0,146.181,MEDIUM
ALO,2.0,74.256,MEDIUM
ALO,3.0,141.069,MEDIUM
ALO,4.0,125.503,MEDIUM
ALO,5.0,123.049,MEDIUM
ALO,6.0,88.255,MEDIUM
ALO,7.0,143.598,MEDIUM
ALO,8.0,74.841,MEDIUM
ALO,9.0,88.262,MEDIUM
ALO,11.0,73.301,SOFT
ALO,12.0,131.44,SOFT
ALO,14.0,81.17,SOFT
ALO,15.0,80.865,SOFT
ALO,16.0,81.176,SOFT
ALO,17.0,80.975,SOFT
ALO,18.0,81.482,SOFT
ALO,19.0,80.326,SOFT
ALO,20.0,80.891,SOFT
ALO,21.0,87.142,SOFT
ALO,22.0,80.482,SOFT
ALO,23.0,80.917,SOFT
ALO,24.0,80.945,SOFT
ALO,25.0,86.221,SOFT
ALO,26.0,101.506,MEDIUM
ALO,27.0,106.588,MEDIUM
ALO,28.0,130.837,MEDIUM
LEC,2.0,74.367,MEDIUM
LEC,3.0,116.032,MEDIUM
LEC,5.0,88.276,MEDIUM
LEC,6.0,131.831,MEDIUM
LEC,7.0,74.518,MEDIUM
LEC,8.0,132.588,MEDIUM
LEC,10.0,74.103,MEDIUM
LEC,11.0,101.424,MEDIUM
LEC,13.0,73.26,SOFT
LEC,14.0,125.727,SOFT
LEC,16.0,81.882,SOFT
LEC,18.0,80.483,MEDIUM
LEC,19.0,84.536,MEDIUM
LEC,20.0,80.607,MEDIUM
LEC,21.0,80.636,MEDIUM
LEC,22.0,80.975,MEDIUM
LEC,23.0,87.674,MEDIUM
LEC,24.0,106.906,SOFT
LEC,25.0,80.304,SOFT
LEC,26.0,79.992,SOFT
LEC,27.0,80.096,SOFT
LEC,28.0,82.534,SOFT
LEC,29.0,81.135,SOFT
LEC,30.0,79.912,SOFT
LEC,31.0,80.652,SOFT
STR,2.0,75.058,HARD
STR,3.0,144.148,HARD
STR,4.0,108.26,HARD
STR,5.0,75.408,HARD
STR,6.0,143.341,HARD
STR,7.0,140.426,HARD
STR,8.0,108.172,HARD
STR,10.0,73.839,SOFT
STR,11.0,140.406,SOFT
STR,13.0,89.503,SOFT
STR,15.0,81.982,HARD
STR,16.0,80.733,HARD
STR,17.0,95.326,HARD
TSU,2.0,74.828,MEDIUM
