Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-05-31 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-31 14:09:23,Other,CAR 43 (COL) TIME 4:25.949 DELETED - TRACK LIMITS AT TURN 2 LAP 5 16:07:51,,,,,,
2025-05-31 14:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-31 14:18:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 30 (LAW),,,,,,
2025-05-31 14:18:44,Other,PIT LANE INCIDENT INVOLVING CAR 43 (COL) NOTED,,,,,,
2025-05-31 14:19:29,Other,CAR 14 (ALO) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 6 16:18:15 (PIT),,,,,,
2025-05-31 14:21:03,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 43 (COL) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2025-05-31 14:21:39,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 31 (OCO) AND 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-31 14:22:05,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 31 (OCO) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-31 14:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-31 14:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-31 14:40:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 6 (HAD),,,,,,
2025-05-31 14:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-05-31 14:55:01,Other,INCIDENT INVOLVING CAR 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – DRIVER WEIGHING,,,,,,
2025-05-31 14:56:01,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – DRIVER WEIGHING,,,,,,
2025-05-31 15:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-05-31 15:00:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,,
2025-05-31 15:02:57,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-31 15:03:09,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-31 15:03:45,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 43 (COL) NO FURTHER ACTION,,,,,,
2025-05-31 15:03:59,Other,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 31 (OCO) AND 18 (STR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-05-31 15:04:08,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CAR 44 (HAM) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
