Driver,LapNumber,GapTime
VER,0.6666666666666666,0.75
GAS,0.6666666666666666,11.734
ANT,0.6666666666666666,1.5310000000000001
ALO,0.6666666666666666,2.859
LEC,0.6666666666666666,3.968
STR,0.6666666666666666,8.047
TSU,0.6666666666666666,7.734
ALB,0.6666666666666666,5.859
HUL,0.6666666666666666,5.609
LAW,0.6666666666666666,10.844
OCO,0.6666666666666666,6.593
NOR,0.6666666666666666,3.5
COL,0.6666666666666666,5.828
HAM,0.6666666666666666,2.468
BOR,0.6666666666666666,7.39
SAI,0.6666666666666666,7.297
HAD,0.6666666666666666,5.937
RUS,0.6666666666666666,0.0
PIA,0.6666666666666666,1.968
BEA,0.6666666666666666,6.328
VER,1.0,0.672
GAS,1.0,12.454
ANT,1.0,1.407
ALO,1.0,3.344
LEC,1.0,4.391
STR,1.0,9.75
TSU,1.0,9.438
ALB,1.0,7.594
HUL,1.0,6.0
LAW,1.0,11.375
OCO,1.0,8.313
NOR,1.0,3.844
COL,1.0,6.86
HAM,1.0,2.86
BOR,1.0,8.75
SAI,1.0,9.11
HAD,1.0,7.36
RUS,1.0,0.0
PIA,1.0,2.016
BEA,1.0,8.141
VER,1.3333333333333333,0.97
GAS,1.3333333333333333,13.551
ANT,1.3333333333333333,1.889
ALO,1.3333333333333333,3.919
LEC,1.3333333333333333,5.427
STR,1.3333333333333333,11.63
TSU,1.3333333333333333,11.331
ALB,1.3333333333333333,8.916
HUL,1.3333333333333333,6.83
LAW,1.3333333333333333,12.585
OCO,1.3333333333333333,9.81
NOR,1.3333333333333333,4.538
COL,1.3333333333333333,7.823
HAM,1.3333333333333333,3.499
BOR,1.3333333333333333,10.183
SAI,1.3333333333333333,10.614
HAD,1.3333333333333333,8.609
RUS,1.3333333333333333,0.0
PIA,1.3333333333333333,2.672
BEA,1.3333333333333333,9.358
VER,1.6666666666666665,0.971
GAS,1.6666666666666665,14.7
ANT,1.6666666666666665,1.975
ALO,1.6666666666666665,4.295
LEC,1.6666666666666665,5.751
STR,1.6666666666666665,12.78
TSU,1.6666666666666665,12.138
ALB,1.6666666666666665,9.567
HUL,1.6666666666666665,7.162
LAW,1.6666666666666665,13.813
OCO,1.6666666666666665,10.635
NOR,1.6666666666666665,4.942
COL,1.6666666666666665,8.344
HAM,1.6666666666666665,3.6310000000000002
BOR,1.6666666666666665,10.988
SAI,1.6666666666666665,11.515
HAD,1.6666666666666665,9.01
RUS,1.6666666666666665,0.0
PIA,1.6666666666666665,3.039
BEA,1.6666666666666665,10.134
VER,2.0,0.687
GAS,2.0,15.365
ANT,2.0,1.627
ALO,2.0,4.444
LEC,2.0,5.851
STR,2.0,13.497
TSU,2.0,13.067
ALB,2.0,9.886
HUL,2.0,7.513
LAW,2.0,14.545
OCO,2.0,11.144
NOR,2.0,5.129
COL,2.0,9.047
HAM,2.0,3.725
BOR,2.0,11.555
SAI,2.0,12.148
HAD,2.0,9.413
RUS,2.0,0.0
PIA,2.0,3.174
BEA,2.0,10.467
VER,2.3333333333333335,0.862
GAS,2.3333333333333335,16.573
ANT,2.3333333333333335,1.936
ALO,2.3333333333333335,4.932
LEC,2.3333333333333335,6.731
STR,2.3333333333333335,14.613
TSU,2.3333333333333335,13.983
ALB,2.3333333333333335,10.927
HUL,2.3333333333333335,8.238
LAW,2.3333333333333335,15.498
OCO,2.3333333333333335,12.027
NOR,2.3333333333333335,5.82
COL,2.3333333333333335,9.636
HAM,2.3333333333333335,4.357
BOR,2.3333333333333335,12.533
SAI,2.3333333333333335,13.177
HAD,2.3333333333333335,10.318
RUS,2.3333333333333335,0.0
PIA,2.3333333333333335,3.436
BEA,2.3333333333333335,11.506
VER,2.6666666666666665,0.747
GAS,2.6666666666666665,17.351
ANT,2.6666666666666665,2.118
ALO,2.6666666666666665,5.266
LEC,2.6666666666666665,7.095
STR,2.6666666666666665,15.678
TSU,2.6666666666666665,14.594
ALB,2.6666666666666665,11.516
HUL,2.6666666666666665,8.561
LAW,2.6666666666666665,16.253
OCO,2.6666666666666665,12.6
NOR,2.6666666666666665,6.045
COL,2.6666666666666665,10.001
HAM,2.6666666666666665,4.396
BOR,2.6666666666666665,13.229
SAI,2.6666666666666665,13.839
HAD,2.6666666666666665,10.65
RUS,2.6666666666666665,0.0
PIA,2.6666666666666665,3.574
BEA,2.6666666666666665,12.049
VER,3.0,0.528
GAS,3.0,17.947
ANT,3.0,2.252
ALO,3.0,5.304
LEC,3.0,7.551
STR,3.0,16.082
TSU,3.0,15.18
ALB,3.0,11.764
HUL,3.0,9.114
LAW,3.0,16.774
OCO,3.0,12.905
NOR,3.0,6.231
COL,3.0,10.494
HAM,3.0,4.339
BOR,3.0,13.475999999999999
SAI,3.0,14.294
HAD,3.0,10.757
RUS,3.0,0.0
PIA,3.0,3.635
BEA,3.0,12.222
VER,3.3333333333333335,0.782
GAS,3.3333333333333335,18.949
ANT,3.3333333333333335,2.466
ALO,3.3333333333333335,5.43
LEC,3.3333333333333335,8.237
STR,3.3333333333333335,17.016
TSU,3.3333333333333335,15.877
ALB,3.3333333333333335,12.350999999999999
HUL,3.3333333333333335,9.934
LAW,3.3333333333333335,17.801
OCO,3.3333333333333335,13.638
NOR,3.3333333333333335,6.66
COL,3.3333333333333335,10.973
HAM,3.3333333333333335,4.787
BOR,3.3333333333333335,14.333
SAI,3.3333333333333335,14.983
HAD,3.3333333333333335,11.761
RUS,3.3333333333333335,0.0
PIA,3.3333333333333335,3.753
BEA,3.3333333333333335,12.964
VER,3.6666666666666665,0.768
GAS,3.6666666666666665,19.931
ANT,3.6666666666666665,2.65
ALO,3.6666666666666665,5.702
LEC,3.6666666666666665,8.919
STR,3.6666666666666665,17.612
TSU,3.6666666666666665,16.478
ALB,3.6666666666666665,13.026
HUL,3.6666666666666665,10.56
LAW,3.6666666666666665,18.722
OCO,3.6666666666666665,14.229
NOR,3.6666666666666665,7.146
COL,3.6666666666666665,11.596
HAM,3.6666666666666665,5.024
BOR,3.6666666666666665,14.837
SAI,3.6666666666666665,15.671
HAD,3.6666666666666665,12.481
RUS,3.6666666666666665,0.0
PIA,3.6666666666666665,3.8890000000000002
BEA,3.6666666666666665,13.613
VER,4.0,0.467
GAS,4.0,20.672
ANT,4.0,2.623
ALO,4.0,5.995
LEC,4.0,9.449
STR,4.0,18.238
TSU,4.0,16.971
ALB,4.0,13.254
HUL,4.0,11.023
LAW,4.0,19.39
OCO,4.0,14.5
NOR,4.0,7.311
COL,4.0,12.059
HAM,4.0,5.335
BOR,4.0,14.997
SAI,4.0,15.818999999999999
HAD,4.0,12.651
RUS,4.0,0.0
PIA,4.0,4.186
BEA,4.0,13.952
VER,4.333333333333333,0.613
GAS,4.333333333333333,21.359
ANT,4.333333333333333,2.63
ALO,4.333333333333333,6.298
LEC,4.333333333333333,10.175
STR,4.333333333333333,19.004
TSU,4.333333333333333,17.445
ALB,4.333333333333333,13.907
HUL,4.333333333333333,11.494
LAW,4.333333333333333,20.154
OCO,4.333333333333333,15.362
