Driver,LapNumber,GapTime
NOR,0.6666666666666666,0.0
LEC,0.6666666666666666,1.428
PIA,0.6666666666666666,0.674
HAM,0.6666666666666666,1.575
RUS,0.6666666666666666,1.819
LAW,0.6666666666666666,4.126
VER,0.6666666666666666,
BOR,0.6666666666666666,3.665
ANT,0.6666666666666666,
GAS,0.6666666666666666,3.052
ALO,0.6666666666666666,4.555
ALB,0.6666666666666666,3.65
HAD,0.6666666666666666,6.469
COL,0.6666666666666666,5.128
BEA,0.6666666666666666,5.276
STR,0.6666666666666666,5.366
OCO,0.6666666666666666,5.75
TSU,0.6666666666666666,6.453
SAI,0.6666666666666666,
HUL,0.6666666666666666,6.656
NOR,1.0,0.0
LEC,1.0,5.326
PIA,1.0,1.892
HAM,1.0,7.874
RUS,1.0,8.785
LAW,1.0,15.912
VER,1.0,
BOR,1.0,13.738
ANT,1.0,
GAS,1.0,11.412
ALO,1.0,16.995
ALB,1.0,13.204
HAD,1.0,28.175
COL,1.0,18.92
BEA,1.0,20.491
STR,1.0,21.878
OCO,1.0,22.939
TSU,1.0,25.466
SAI,1.0,
HUL,1.0,29.811
NOR,1.3333333333333333,0.0
LEC,1.3333333333333333,2.989
PIA,1.3333333333333333,1.501
HAM,1.3333333333333333,4.247
RUS,1.3333333333333333,5.511
LAW,1.3333333333333333,14.123
BOR,1.3333333333333333,12.251
GAS,1.3333333333333333,6.156
ALO,1.3333333333333333,15.801
ALB,1.3333333333333333,10.328
HAD,1.3333333333333333,26.373
COL,1.3333333333333333,16.809
BEA,1.3333333333333333,19.557
STR,1.3333333333333333,20.563
OCO,1.3333333333333333,21.906
TSU,1.3333333333333333,24.383
HUL,1.3333333333333333,29.257
NOR,1.6666666666666665,0.0
LEC,1.6666666666666665,2.715
PIA,1.6666666666666665,1.362
HAM,1.6666666666666665,3.732
RUS,1.6666666666666665,5.385
LAW,1.6666666666666665,9.508
BOR,1.6666666666666665,8.044
GAS,1.6666666666666665,6.666
ALO,1.6666666666666665,11.305
ALB,1.6666666666666665,7.527
HAD,1.6666666666666665,19.194
COL,1.6666666666666665,12.464
BEA,1.6666666666666665,13.513
STR,1.6666666666666665,14.853
OCO,1.6666666666666665,15.775
TSU,1.6666666666666665,17.309
HUL,1.6666666666666665,21.418
NOR,2.0,0.0
LEC,2.0,2.435
PIA,2.0,0.919
HAM,2.0,3.878
RUS,2.0,5.717
LAW,2.0,10.118
BOR,2.0,9.241
GAS,2.0,7.261
ALO,2.0,11.103
ALB,2.0,8.461
HAD,2.0,16.092
COL,2.0,11.922
BEA,2.0,13.273
STR,2.0,15.076
OCO,2.0,15.862
TSU,2.0,17.807
HUL,2.0,20.222
NOR,2.3333333333333335,0.0
LEC,2.3333333333333335,2.531
PIA,2.3333333333333335,1.242
HAM,2.3333333333333335,3.111
RUS,2.3333333333333335,4.432
LAW,2.3333333333333335,9.442
BOR,2.3333333333333335,8.452
GAS,2.3333333333333335,5.992
ALO,2.3333333333333335,10.535
ALB,2.3333333333333335,7.552
HAD,2.3333333333333335,25.709
COL,2.3333333333333335,11.824
BEA,2.3333333333333335,12.514
