Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-07-04 14:45:08,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2025-07-04 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-07-04 15:06:18,Other,TURN 7 INCIDENT INVOLVING CARS 87 (BEA) AND 30 (LAW) NOTED - IMPEDING,,,,,,
2025-07-04 15:07:47,Other,FIA STEWARDS: TURN 7 INCIDENT INVOLVING CARS 87 (BEA) AND 30 (LAW) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2025-07-04 15:16:09,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2025-07-04 15:16:16,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2025-07-04 15:16:17,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-07-04 15:16:30,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-07-04 15:16:30,Other,DRS ENABLED IN ZONE 1,,,,,,
2025-07-04 15:16:34,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2025-07-04 15:16:49,Other,TURN 7 INCIDENT INVOLVING CAR 55 (SAI) NOTED - REJOINING UNSAFELY,,,,,,
2025-07-04 15:17:59,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 9 16:16:23,,,,,,
2025-07-04 15:25:13,Other,FIA STEWARDS: TURN 7 INCIDENT INVOLVING CAR 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2025-07-04 16:00:01,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-07-04 16:00:08,Other,FIRST CAR TO TAKE THE FLAG - CAR 31 (OCO),,,,,,
