Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-07-26 13:45:33.000,Other,RISK OF RAIN FOR F1 SPRINT QUALIFYING IS 10%,,,,,,
2025-07-26 13:00:26.000,Other,AIR TEMPERATURE 1 HOUR BEFORE Q1 = 22.8 DEGREES,,,,,,
2025-07-26 13:45:00.000,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-07-26 13:49:47.424,Other,RISK OF RAIN FOR F1 QUALIFYING IS 10%,,,,,,
2025-07-26 13:59:41.000,Other,PIT LANE INCIDENT INVOLVING CARS 87 (BEA) AND 14 (ALO) NOTED - UNSAFE RELEASE,,,,,,
2025-07-26 14:00:00.000,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-07-26 14:01:54.000,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 87 (BEA) AND 14 (ALO) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE,,,,,,
2025-07-26 14:02:10.000,Other,PIT LANE INCIDENT INVOLVING CARS 27 (HUL) AND 18 (STR) NOTED - UNSAFE RELEASE,,,,,,
2025-07-26 14:04:26.000,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 27 (HUL) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE,,,,,,
2025-07-26 14:17:37.000,Other,CAR 44 (HAM) TIME 4:36.382 DELETED - TRACK LIMITS AT TURN 6 LAP 7 16:16:00,,,,,,
2025-07-26 14:18:00.000,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-07-26 14:18:18.000,Other,FIRST CAR TO TAKE THE FLAG - CAR 87 (BEA),,,,,,
2025-07-26 14:20:07.000,Other,CAR 44 (HAM) TIME 1:41.664 DELETED - TRACK LIMITS AT TURN 4 LAP 8 16:17:52,,,,,,
2025-07-26 14:22:18.000,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 1 (VER), 22 (TSU), 10 (GAS), 4 (NOR), 43 (COL), 81 (PIA), 12 (ANT) AND 55 (SAI) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-07-26 14:22:42.000,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 1 (VER), 22 (TSU), 10 (GAS), 4 (NOR), 43 (COL), 81 (PIA), 12 (ANT) AND 55 (SAI) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-07-26 14:25:00.000,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-07-26 14:33:00.000,Other,CAR 87 (BEA) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 11 16:30:35 (PIT),,,,,,
