Driver,LapNumber,GapTime
PIA,0.667,0.64
NOR,0.667,0.0
LEC,0.667,1.3900000000000001
VER,0.667,3.304
RUS,0.667,8.04
ALB,0.667,5.548
HAM,0.667,36.17
LAW,0.667,13.707
BOR,0.667,14.684
GAS,0.667,20.002
BEA,0.667,18.448
HUL,0.667,23.095
TSU,0.667,10.217
STR,0.667,27.189
OCO,0.667,16.101
ANT,0.667,38.78
ALO,0.667,44.467
SAI,0.667,29.173
COL,0.667,24.658
HAD,0.667,12.243
PIA,1.000,0.875
NOR,1.000,0.0
LEC,1.000,3.875
VER,1.000,5.532
RUS,1.000,9.141
ALB,1.000,6.782
HAM,1.000,29.1
LAW,1.000,13.844
BOR,1.000,15.016
GAS,1.000,19.891
BEA,1.000,17.438
HUL,1.000,21.985
TSU,1.000,11.079
STR,1.000,24.533
OCO,1.000,16.875
ANT,1.000,31.806
ALO,1.000,34.087
SAI,1.000,26.806
COL,1.000,22.954
HAD,1.000,12.313
PIA,1.333,1.047
NOR,1.333,0.0
LEC,1.333,3.734
VER,1.333,5.937
RUS,1.333,9.093
ALB,1.333,6.781
HAM,1.333,32.013
LAW,1.333,17.253
BOR,1.333,18.267
GAS,1.333,22.635
BEA,1.333,21.062
HUL,1.333,24.013
TSU,1.333,13.328
STR,1.333,27.699
OCO,1.333,20.018
ANT,1.333,33.689
ALO,1.333,36.193
SAI,1.333,29.25
COL,1.333,25.37
HAD,1.333,15.203
PIA,1.667,0.969
NOR,1.667,0.0
LEC,1.667,1.8599999999999999
VER,1.667,2.891
RUS,1.667,5.063
ALB,1.667,3.891
HAM,1.667,21.188
LAW,1.667,9.922
BOR,1.667,11.125
GAS,1.667,14.579
BEA,1.667,12.86
HUL,1.667,16.829
TSU,1.667,7.36
STR,1.667,18.469
OCO,1.667,12.438
ANT,1.667,22.001
ALO,1.667,24.329
SAI,1.667,20.672
COL,1.667,17.438
HAD,1.667,8.391
PIA,2.000,1.617
NOR,2.000,0.0
LEC,2.000,3.843
VER,2.000,5.163
RUS,2.000,8.023
ALB,2.000,6.482
HAM,2.000,27.001
LAW,2.000,13.086
BOR,2.000,13.778
GAS,2.000,17.778
BEA,2.000,16.254
HUL,2.000,18.902
TSU,2.000,10.403
STR,2.000,23.901
OCO,2.000,14.873
ANT,2.000,28.391
ALO,2.000,31.233
SAI,2.000,25.818
COL,2.000,21.398
HAD,2.000,11.986
PIA,2.333,1.767
NOR,2.333,0.0
LEC,2.333,3.36
VER,2.333,3.86
RUS,2.333,5.767
ALB,2.333,4.876
HAM,2.333,27.688
LAW,2.333,13.251
BOR,2.333,14.407
GAS,2.333,19.095
BEA,2.333,17.329
HUL,2.333,21.095
TSU,2.333,8.876
STR,2.333,24.735
OCO,2.333,16.439
ANT,2.333,28.588
ALO,2.333,29.949
SAI,2.333,26.142
COL,2.333,22.954
HAD,2.333,10.735
PIA,2.667,1.139
NOR,2.667,0.0
LEC,2.667,2.96
VER,2.667,3.976
RUS,2.667,5.725
ALB,2.667,4.663
HAM,2.667,21.88
LAW,2.667,9.31
BOR,2.667,9.864
GAS,2.667,13.921
BEA,2.667,12.208
HUL,2.667,16.117
TSU,2.667,6.952
STR,2.667,19.067
OCO,2.667,10.945
ANT,2.667,24.138
ALO,2.667,25.516
SAI,2.667,21.005
COL,2.667,17.191
HAD,2.667,8.15
PIA,3.000,0.813
NOR,3.000,0.0
LEC,3.000,2.734
VER,3.000,4.438
RUS,3.000,7.453
ALB,3.000,4.859
HAM,3.000,27.036
LAW,3.000,12.406
BOR,3.000,13.985
GAS,3.000,18.719
BEA,3.000,16.547
HUL,3.000,20.609
TSU,3.000,9.219
STR,3.000,23.786
OCO,3.000,15.735
ANT,3.000,28.271
ALO,3.000,30.38
SAI,3.000,25.896
COL,3.000,21.849
HAD,3.000,11.172
PIA,3.333,0.547
NOR,3.333,0.0
LEC,3.333,2.172
VER,3.333,4.766
RUS,3.333,8.141
ALB,3.333,5.625
HAM,3.333,33.938
LAW,3.333,14.516
BOR,3.333,16.75
GAS,3.333,22.219
BEA,3.333,20.11
HUL,3.333,25.813
TSU,3.333,10.125
STR,3.333,29.672
OCO,3.333,19.047
ANT,3.333,35.594
ALO,3.333,37.282
SAI,3.333,31.969
COL,3.333,26.563
HAD,3.333,11.657
PIA,3.667,0.583
NOR,3.667,0.0
LEC,3.667,1.377
VER,3.667,2.211
RUS,3.667,4.073
ALB,3.667,3.203
HAM,3.667,17.796
