Driver,LapNumber,LapTime,Compound
PIA,2.0,101.769,MEDIUM
PIA,3.0,144.356,MEDIUM
PIA,5.0,101.736,MEDIUM
PIA,6.0,137.473,MEDIUM
PIA,7.0,102.128,MEDIUM
PIA,8.0,136.073,MEDIUM
PIA,10.0,100.51,SOFT
PIA,11.0,143.735,SOFT
VER,2.0,102.043,MEDIUM
VER,3.0,140.998,MEDIUM
VER,5.0,101.583,MEDIUM
VER,6.0,142.283,MEDIUM
VER,8.0,100.987,SOFT
VER,9.0,148.564,SOFT
NOR,2.0,102.068,MEDIUM
NOR,3.0,142.659,MEDIUM
NOR,5.0,102.182,MEDIUM
NOR,6.0,142.595,MEDIUM
NOR,7.0,144.299,MEDIUM
NOR,8.0,101.412,MEDIUM
NOR,9.0,129.709,MEDIUM
NOR,11.0,101.128,SOFT
NOR,12.0,140.921,SOFT
RUS,2.0,102.65,MEDIUM
RUS,5.0,123.506,MEDIUM
RUS,7.0,102.33,MEDIUM
RUS,8.0,142.951,MEDIUM
LEC,2.0,102.763,MEDIUM
LEC,3.0,140.179,MEDIUM
LEC,4.0,141.886,MEDIUM
LEC,5.0,102.921,MEDIUM
LEC,6.0,141.122,MEDIUM
LEC,8.0,101.786,MEDIUM
LEC,9.0,145.44,MEDIUM
LEC,11.0,101.278,SOFT
ANT,2.0,124.851,MEDIUM
ANT,4.0,138.481,MEDIUM
ANT,5.0,105.394,MEDIUM
ANT,6.0,141.227,MEDIUM
HAM,2.0,103.408,MEDIUM
HAM,3.0,149.99,MEDIUM
HAM,6.0,148.315,MEDIUM
STR,2.0,102.736,MEDIUM
STR,3.0,137.554,MEDIUM
STR,4.0,103.587,MEDIUM
STR,5.0,143.041,MEDIUM
STR,7.0,102.832,MEDIUM
STR,8.0,138.407,MEDIUM
ALO,2.0,102.427,MEDIUM
ALO,3.0,146.252,MEDIUM
ALO,4.0,121.82,MEDIUM
ALO,6.0,102.453,MEDIUM
ALO,7.0,147.264,MEDIUM
HAD,2.0,102.711,MEDIUM
HAD,3.0,148.552,MEDIUM
HAD,5.0,114.957,MEDIUM
HAD,7.0,102.088,MEDIUM
HAD,8.0,139.263,MEDIUM
HAD,10.0,101.971,SOFT
SAI,2.0,102.776,MEDIUM
SAI,5.0,114.378,MEDIUM
SAI,7.0,102.051,MEDIUM
SAI,8.0,142.02,MEDIUM
SAI,10.0,101.761,SOFT
ALB,2.0,103.249,MEDIUM
ALB,3.0,149.825,MEDIUM
ALB,5.0,103.212,MEDIUM
ALB,6.0,176.162,MEDIUM
BOR,2.0,102.806,MEDIUM
BOR,5.0,103.255,MEDIUM
BOR,6.0,147.496,MEDIUM
BOR,8.0,101.901,MEDIUM
BOR,9.0,142.147,MEDIUM
BOR,11.0,102.176,SOFT
HUL,2.0,103.217,MEDIUM
HUL,3.0,139.841,MEDIUM
HUL,5.0,103.651,MEDIUM
HUL,6.0,144.834,MEDIUM
LAW,2.0,102.897,MEDIUM
LAW,3.0,138.778,MEDIUM
LAW,5.0,103.271,MEDIUM
LAW,6.0,145.24,MEDIUM
LAW,8.0,102.169,MEDIUM
LAW,9.0,184.45,MEDIUM
OCO,2.0,102.822,MEDIUM
OCO,3.0,144.045,MEDIUM
OCO,5.0,105.299,MEDIUM
OCO,6.0,144.115,MEDIUM
OCO,8.0,101.801,MEDIUM
OCO,9.0,142.16,MEDIUM
OCO,11.0,101.565,SOFT
GAS,2.0,103.569,MEDIUM
GAS,5.0,103.171,MEDIUM
GAS,6.0,147.444,MEDIUM
GAS,8.0,101.949,MEDIUM
GAS,9.0,143.225,MEDIUM
GAS,11.0,101.959,SOFT
TSU,2.0,102.912,MEDIUM
TSU,3.0,146.952,MEDIUM
TSU,4.0,102.89,MEDIUM
TSU,5.0,136.501,MEDIUM
TSU,7.0,143.704,MEDIUM
TSU,8.0,102.184,MEDIUM
TSU,9.0,142.731,MEDIUM
COL,2.0,103.889,MEDIUM
COL,3.0,149.992,MEDIUM
COL,5.0,103.587,MEDIUM
COL,6.0,148.697,MEDIUM
BEA,2.0,102.943,MEDIUM
BEA,3.0,143.57,MEDIUM
BEA,5.0,103.024,MEDIUM
BEA,6.0,139.76,MEDIUM
BEA,8.0,102.019,MEDIUM
BEA,9.0,141.104,MEDIUM
BEA,11.0,101.857,SOFT
