Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-07-25 14:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-07-25 14:32:06,Other,PIT LANE INCIDENT INVOLVING CARS 27 (HUL) AND 30 (LAW) NOTED - UNSAFE RELEASE,,,,,,
2025-07-25 14:35:19,Other,CAR 87 (BEA) TIME 1:42.943 DELETED - TRACK LIMITS AT TURN 4 LAP 3 16:33:49,,,,,,
2025-07-25 14:35:41,Other,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CARS 27 (HUL) AND 30 (LAW) REVIEWED NO FURTHER INVESTIGATION - UNSAFE RELEASE,,,,,,
2025-07-25 14:36:35,Other,CAR 12 (ANT) TIME 2:04.851 DELETED - TRACK LIMITS AT TURN 15 LAP 3 16:35:08,,,,,,
2025-07-25 14:41:24,Other,TURN 17 INCIDENT INVOLVING CARS 10 (GAS) AND 22 (TSU) NOTED - IMPEDING,,,,,,
2025-07-25 14:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-07-25 14:42:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,,
2025-07-25 14:42:52,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,
2025-07-25 14:42:57,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2025-07-25 14:42:59,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,
2025-07-25 14:43:02,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2025-07-25 14:43:07,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,
2025-07-25 14:43:16,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2025-07-25 14:43:26,Flag,YELLOW IN TRACK SECTOR 21,,YELLOW,Sector,21.0,,
2025-07-25 14:43:27,Other,DRS DISABLED IN ZONE 2,,,,,,
2025-07-25 14:43:33,Other,CAR 22 (TSU) TIME 1:42.890 DELETED - TRACK LIMITS AT TURN 19 LAP 5 16:42:03,,,,,,
2025-07-25 14:44:01,Other,DRS ENABLED IN ZONE 2,,,,,,
2025-07-25 14:44:01,Flag,CLEAR IN TRACK SECTOR 21,,CLEAR,Sector,21.0,,
2025-07-25 14:44:50,Other,FIA STEWARDS: TURN 17 INCIDENT INVOLVING CARS 10 (GAS) AND 22 (TSU) WILL BE INVESTIGATED AFTER THE SESSION - IMPEDING,,,,,,
2025-07-25 14:45:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-07-25 14:46:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2025-07-25 14:46:28,Other,START OF SQ2 WILL BE DELAYED,,,,,,
2025-07-25 14:46:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
2025-07-25 14:46:35,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2025-07-25 14:46:48,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-07-25 14:47:10,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2025-07-25 14:47:16,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2025-07-25 14:47:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2025-07-25 14:48:13,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 10 (GAS), 63 (RUS), 12 (ANT), 22 (TSU), 55 (SAI), 6 (HAD) AND 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
