Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-07-26 09:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-07-26 09:31:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 21,,DOUBLE YELLOW,Sector,21.0,,1
2025-07-26 09:31:57,Other,DRS DISABLED IN ZONE 2,,,,,,1
2025-07-26 09:32:19,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,1
2025-07-26 09:32:22,Flag,CLEAR IN TRACK SECTOR 21,,CLEAR,Sector,21.0,,1
2025-07-26 09:32:22,Other,DRS ENABLED IN ZONE 2,,,,,,1
2025-07-26 09:32:36,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,1
2025-07-26 09:35:01,Other,PIT EXIT CLOSED,,,,,,1
2025-07-26 09:36:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,1
2025-07-26 09:36:51,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,1
2025-07-26 09:36:51,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,1
2025-07-26 09:38:10,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,1
2025-07-26 09:38:44,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,1
2025-07-26 09:38:48,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,1
2025-07-26 09:40:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,1
2025-07-26 09:42:03,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,1
2025-07-26 09:42:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,1
2025-07-26 09:43:20,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,1
2025-07-26 09:44:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,1
2025-07-26 09:44:14,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,1
2025-07-26 09:44:45,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,1
2025-07-26 09:45:15,Other,RISK OF RAIN FOR F1 SPRINT IS 0%,,,,,,1
2025-07-26 09:45:19,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,1
2025-07-26 09:45:43,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,1
2025-07-26 09:45:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,1
2025-07-26 09:46:13,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,1
2025-07-26 09:47:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,1
2025-07-26 09:47:44,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,1
2025-07-26 09:47:45,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,1
2025-07-26 09:48:39,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1
2025-07-26 09:49:13,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,1
2025-07-26 09:49:39,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,1
2025-07-26 09:50:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,1
2025-07-26 09:50:05,Other,DRS DISABLED IN ZONE 1,,,,,,1
2025-07-26 09:50:25,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,1
2025-07-26 09:50:31,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,1
2025-07-26 09:50:31,Other,DRS ENABLED IN ZONE 1,,,,,,1
2025-07-26 09:50:52,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1
2025-07-26 09:51:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,1
2025-07-26 09:52:11,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,1
2025-07-26 09:52:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,1
2025-07-26 09:53:14,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,1
2025-07-26 09:57:03,Drs,DRS DISABLED,DISABLED,,,,,1
2025-07-26 10:03:52,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-07-26 10:05:40,Drs,DRS ENABLED,ENABLED,,,,,2
2025-07-26 10:21:59,Other,CAR 5 (BOR) TIME 1:47.766 DELETED - TRACK LIMITS AT TURN 9 LAP 10 12:20:57,,,,,,11
2025-07-26 10:24:45,Other,CAR 10 (GAS) TIME 1:47.744 DELETED - TRACK LIMITS AT TURN 4 LAP 9 12:23:12,,,,,,12
2025-07-26 10:30:29,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,15
2025-07-26 10:34:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,15
2025-07-26 10:34:59,Other,DRS DISABLED IN ZONE 1,,,,,,15
2025-07-26 10:35:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,15
2025-07-26 10:35:07,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,15
2025-07-26 10:35:08,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,15
2025-07-26 10:35:29,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,15
2025-07-26 10:35:31,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,15
2025-07-26 10:35:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,15
2025-07-26 10:35:47,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,15
2025-07-26 10:35:48,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,15
2025-07-26 10:36:18,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,15
2025-07-26 10:36:33,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,15
2025-07-26 10:36:41,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,15
2025-07-26 10:36:42,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,15
2025-07-26 10:36:50,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,15
2025-07-26 10:36:51,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,15
2025-07-26 10:36:54,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,15
2025-07-26 10:36:56,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,15
2025-07-26 10:37:15,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,15
2025-07-26 10:37:24,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,15
2025-07-26 10:37:25,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,15
2025-07-26 10:37:44,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,15
2025-07-26 10:39:47,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,15
2025-07-26 10:40:57,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,15
2025-07-26 10:42:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,15
2025-07-26 10:43:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 12,,DOUBLE YELLOW,Sector,12.0,,15
2025-07-26 10:43:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,15
2025-07-26 10:43:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,15
2025-07-26 10:43:25,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,15
2025-07-26 10:43:26,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,15
2025-07-26 10:43:41,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,15
2025-07-26 10:43:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,15
2025-07-26 10:55:38,Other,F1 - POST-SPRINT PARC FERME - WORK MAY COMMENCE AT 12:58,,,,,,15
