Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-08-02 10:15:13,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0 %,,,,,,
2025-08-02 10:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-08-02 11:18:34,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2025-08-02 11:18:35,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2025-08-02 11:18:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2025-08-02 11:18:36,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2025-08-02 11:18:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2025-08-02 11:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-08-02 11:30:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 22 (TSU),,,,,,
2025-08-02 11:36:46,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
