Driver,LapNumber,LapTime,Compound
PIA,2.0,75.554,SOFT
PIA,3.0,107.054,SOFT
PIA,5.0,75.211,SOFT
PIA,6.0,125.765,SOFT
PIA,8.0,74.941,SOFT
PIA,9.0,99.979,SOFT
PIA,11.0,75.176,SOFT
PIA,12.0,98.184,SOFT
PIA,14.0,75.398,SOFT
PIA,15.0,97.977,SOFT
PIA,17.0,75.58,SOFT
PIA,18.0,106.83,SOFT
NOR,2.0,75.927,SOFT
NOR,3.0,112.698,SOFT
NOR,5.0,75.523,SOFT
NOR,6.0,99.498,SOFT
NOR,8.0,74.89,SOFT
NOR,9.0,100.171,SOFT
NOR,11.0,75.081,SOFT
NOR,12.0,107.131,SOFT
NOR,14.0,75.494,SOFT
NOR,15.0,94.867,SOFT
NOR,17.0,75.413,SOFT
NOR,18.0,102.49,SOFT
LEC,2.0,76.216,SOFT
LEC,3.0,104.113,SOFT
LEC,5.0,75.582,SOFT
LEC,6.0,104.566,SOFT
LEC,8.0,76.185,SOFT
LEC,9.0,92.034,SOFT
LEC,11.0,75.455,SOFT
LEC,12.0,106.036,SOFT
LEC,14.0,76.63,SOFT
LEC,15.0,91.493,SOFT
LEC,17.0,75.372,SOFT
LEC,18.0,111.472,SOFT
HAM,2.0,75.949,SOFT
HAM,3.0,130.389,SOFT
HAM,5.0,75.733,SOFT
HAM,6.0,105.049,SOFT
HAM,8.0,76.201,SOFT
HAM,9.0,96.096,SOFT
HAM,11.0,75.702,SOFT
HAM,12.0,114.362,SOFT
ANT,2.0,75.782,SOFT
ANT,3.0,104.284,SOFT
ANT,5.0,76.386,SOFT
ANT,6.0,103.41,SOFT
ANT,8.0,75.693,SOFT
ANT,9.0,129.004,SOFT
ALO,2.0,75.979,SOFT
ALO,3.0,108.746,SOFT
ALO,5.0,75.281,SOFT
ALO,6.0,107.305,SOFT
ALO,8.0,75.395,SOFT
ALO,9.0,107.155,SOFT
ALO,11.0,76.025,SOFT
ALO,12.0,100.031,SOFT
ALO,14.0,75.481,SOFT
ALO,15.0,107.278,SOFT
STR,2.0,76.135,SOFT
STR,3.0,102.505,SOFT
STR,5.0,75.673,SOFT
STR,6.0,125.834,SOFT
STR,8.0,75.68,SOFT
STR,9.0,104.085,SOFT
