Driver,LapNumber,LapTime,Compound
VER,2.0,71.572,HARD
VER,3.0,121.942,HARD
VER,6.0,71.876,HARD
VER,7.0,115.222,HARD
VER,9.0,70.478,SOFT
VER,12.0,75.015,SOFT
VER,13.0,75.171,SOFT
VER,14.0,75.357,SOFT
VER,15.0,75.189,SOFT
VER,16.0,78.267,SOFT
VER,17.0,95.716,HARD
VER,18.0,74.777,HARD
VER,19.0,75.259,HARD
VER,20.0,77.515,HARD
VER,21.0,75.978,HARD
VER,22.0,115.366,HARD
VER,23.0,108.299,HARD
NOR,2.0,72.615,MEDIUM
NOR,3.0,113.34,MEDIUM
NOR,4.0,71.294,MEDIUM
NOR,5.0,119.406,MEDIUM
NOR,6.0,104.286,MEDIUM
NOR,9.0,131.103,MEDIUM
NOR,10.0,87.003,MEDIUM
NOR,11.0,78.057,MEDIUM
NOR,12.0,124.452,SOFT
NOR,13.0,69.89,SOFT
NOR,14.0,128.524,SOFT
NOR,17.0,74.877,MEDIUM
NOR,18.0,74.509,MEDIUM
NOR,19.0,74.525,MEDIUM
NOR,20.0,74.903,MEDIUM
NOR,21.0,75.043,MEDIUM
NOR,22.0,75.086,MEDIUM
NOR,23.0,75.036,MEDIUM
NOR,24.0,75.796,MEDIUM
NOR,25.0,79.004,MEDIUM
NOR,26.0,89.713,SOFT
NOR,27.0,122.777,SOFT
NOR,28.0,114.497,SOFT
BOR,2.0,73.782,MEDIUM
BOR,3.0,93.08,MEDIUM
BOR,4.0,108.329,SOFT
BOR,5.0,71.32,SOFT
BOR,6.0,118.078,SOFT
BOR,9.0,72.017,SOFT
BOR,10.0,93.276,SOFT
BOR,12.0,78.678,MEDIUM
BOR,13.0,76.23,MEDIUM
BOR,14.0,77.261,MEDIUM
BOR,15.0,76.624,MEDIUM
BOR,16.0,76.185,MEDIUM
BOR,17.0,76.295,MEDIUM
BOR,18.0,77.079,MEDIUM
BOR,19.0,75.887,MEDIUM
BOR,20.0,76.246,MEDIUM
BOR,21.0,75.76,MEDIUM
BOR,22.0,75.601,MEDIUM
BOR,23.0,75.651,MEDIUM
BOR,24.0,125.815,MEDIUM
BOR,25.0,126.537,MEDIUM
GAS,2.0,90.731,MEDIUM
GAS,3.0,73.082,MEDIUM
GAS,4.0,113.622,MEDIUM
GAS,5.0,80.315,MEDIUM
GAS,8.0,105.971,MEDIUM
GAS,9.0,99.881,MEDIUM
GAS,10.0,72.199,MEDIUM
GAS,11.0,121.528,MEDIUM
GAS,12.0,72.122,MEDIUM
GAS,13.0,104.718,MEDIUM
GAS,14.0,106.628,SOFT
GAS,17.0,78.587,MEDIUM
GAS,18.0,76.7,MEDIUM
GAS,19.0,76.063,MEDIUM
GAS,20.0,76.05,MEDIUM
GAS,21.0,76.299,MEDIUM
GAS,22.0,75.937,MEDIUM
GAS,23.0,76.076,MEDIUM
GAS,24.0,76.561,MEDIUM
GAS,25.0,77.616,MEDIUM
GAS,26.0,76.647,MEDIUM
GAS,27.0,116.786,MEDIUM
GAS,28.0,102.77,MEDIUM
ANT,2.0,96.784,SOFT
ANT,3.0,72.375,SOFT
ANT,4.0,113.884,SOFT
ANT,5.0,72.15,SOFT
ANT,8.0,107.782,SOFT
ANT,10.0,72.267,SOFT
ANT,11.0,107.826,SOFT
ANT,14.0,71.185,SOFT
ANT,15.0,123.585,SOFT
ANT,17.0,72.015,SOFT
ANT,18.0,93.797,SOFT
ANT,20.0,128.885,SOFT
ANT,21.0,143.904,SOFT
ALO,2.0,86.651,MEDIUM
ALO,3.0,72.131,MEDIUM
ALO,4.0,117.721,MEDIUM
ALO,5.0,71.884,MEDIUM
ALO,6.0,117.488,MEDIUM
ALO,9.0,69.977,SOFT
ALO,10.0,136.709,SOFT
ALO,12.0,70.221,SOFT
ALO,13.0,87.963,SOFT
ALO,15.0,74.951,MEDIUM
ALO,16.0,75.82,MEDIUM
ALO,17.0,75.452,MEDIUM
ALO,18.0,75.231,MEDIUM
ALO,19.0,144.886,MEDIUM
ALO,20.0,93.224,MEDIUM
LEC,2.0,79.771,HARD
LEC,3.0,94.66,HARD
LEC,4.0,73.53,HARD
LEC,5.0,111.957,HARD
LEC,6.0,72.972,HARD
LEC,9.0,72.06,HARD
LEC,10.0,96.001,HARD
LEC,11.0,105.051,SOFT
LEC,12.0,70.834,SOFT
LEC,15.0,70.978,SOFT
LEC,16.0,108.773,SOFT
LEC,17.0,79.147,SOFT
LEC,19.0,74.99,SOFT
LEC,20.0,75.579,SOFT
LEC,21.0,76.921,SOFT
LEC,23.0,109.12,SOFT
STR,2.0,73.778,MEDIUM
STR,3.0,107.056,MEDIUM
STR,4.0,71.975,MEDIUM
STR,5.0,121.39,MEDIUM
STR,6.0,117.618,MEDIUM
TSU,2.0,72.765,MEDIUM
TSU,3.0,122.736,MEDIUM
TSU,4.0,105.952,MEDIUM
TSU,5.0,72.134,MEDIUM
TSU,8.0,93.963,MEDIUM
TSU,9.0,111.831,MEDIUM
TSU,10.0,105.427,MEDIUM
TSU,12.0,70.795,SOFT
TSU,15.0,75.963,MEDIUM
TSU,16.0,76.081,MEDIUM
TSU,17.0,76.149,MEDIUM
TSU,18.0,76.253,MEDIUM
TSU,19.0,76.586,MEDIUM
TSU,20.0,78.925,MEDIUM
TSU,21.0,76.16,MEDIUM
TSU,22.0,76.322,MEDIUM
TSU,23.0,78.957,MEDIUM
TSU,24.0,76.827,MEDIUM
TSU,25.0,146.44,MEDIUM
TSU,26.0,116.294,MEDIUM
ALB,2.0,82.892,HARD
ALB,3.0,83.404,HARD
ALB,4.0,115.231,HARD
ALB,5.0,79.753,HARD
ALB,8.0,102.438,HARD
ALB,9.0,120.688,HARD
ALB,10.0,89.813,HARD
ALB,11.0,71.756,HARD
ALB,12.0,123.827,HARD
ALB,13.0,76.745,HARD
ALB,14.0,102.154,HARD
ALB,15.0,106.828,SOFT
HUL,2.0,73.58,MEDIUM
HUL,3.0,97.72,MEDIUM
HUL,4.0,104.324,SOFT
HUL,5.0,71.433,SOFT
HUL,6.0,121.56,SOFT
HUL,9.0,71.08,SOFT
HUL,10.0,88.951,SOFT
HUL,12.0,75.179,MEDIUM
HUL,13.0,77.974,MEDIUM
HUL,14.0,75.023,MEDIUM
HUL,15.0,75.209,MEDIUM
HUL,16.0,75.957,MEDIUM
HUL,17.0,75.972,MEDIUM
HUL,18.0,76.064,MEDIUM
HUL,19.0,75.639,MEDIUM
HUL,20.0,77.47,MEDIUM
HUL,21.0,75.576,MEDIUM
HUL,22.0,75.649,MEDIUM
HUL,23.0,75.799,MEDIUM
HUL,24.0,140.899,MEDIUM
HUL,25.0,90.072,MEDIUM
LAW,2.0,77.854,HARD
LAW,3.0,89.739,HARD
LAW,4.0,72.521,HARD
LAW,5.0,119.638,HARD
LAW,6.0,71.717,HARD
LAW,7.0,103.543,HARD
LAW,9.0,115.065,HARD
LAW,10.0,129.927,HARD
LAW,11.0,90.275,HARD
LAW,12.0,72.017,HARD
LAW,13.0,95.192,HARD
LAW,17.0,71.339,SOFT
LAW,18.0,104.929,SOFT
LAW,20.0,75.705,SOFT
LAW,21.0,75.453,SOFT
LAW,22.0,75.545,SOFT
LAW,23.0,75.865,SOFT
LAW,24.0,144.75,SOFT
LAW,25.0,100.772,SOFT
OCO,2.0,74.595,MEDIUM
OCO,3.0,107.461,MEDIUM
OCO,4.0,72.788,MEDIUM
OCO,5.0,103.981,MEDIUM
OCO,6.0,121.149,SOFT
OCO,9.0,71.361,SOFT
OCO,10.0,116.236,SOFT
OCO,11.0,123.876,SOFT
OCO,14.0,71.419,SOFT
OCO,15.0,90.22,SOFT
OCO,17.0,75.536,MEDIUM
OCO,18.0,76.023,MEDIUM
OCO,19.0,75.852,MEDIUM
OCO,20.0,75.715,MEDIUM
OCO,21.0,75.338,MEDIUM
OCO,22.0,144.831,MEDIUM
OCO,23.0,91.487,MEDIUM
COL,2.0,73.502,MEDIUM
COL,3.0,118.934,MEDIUM
COL,4.0,73.405,MEDIUM
COL,5.0,107.184,MEDIUM
COL,8.0,109.861,MEDIUM
COL,9.0,136.618,MEDIUM
COL,10.0,83.978,MEDIUM
COL,11.0,72.705,MEDIUM
COL,12.0,142.407,MEDIUM
COL,13.0,72.31,MEDIUM
COL,14.0,94.363,MEDIUM
COL,17.0,70.957,SOFT
COL,18.0,98.843,SOFT
COL,20.0,74.412,SOFT
COL,21.0,74.206,SOFT
COL,22.0,74.4,SOFT
COL,23.0,74.964,SOFT
COL,24.0,75.178,SOFT
COL,25.0,112.549,SOFT
COL,26.0,109.265,SOFT
HAM,2.0,80.563,HARD
HAM,3.0,72.759,HARD
HAM,4.0,131.49,HARD
HAM,5.0,91.262,HARD
HAM,6.0,72.421,HARD
HAM,9.0,116.059,SOFT
HAM,10.0,122.471,SOFT
HAM,11.0,70.738,SOFT
HAM,14.0,75.412,SOFT
HAM,16.0,75.407,HARD
HAM,17.0,75.326,HARD
HAM,18.0,75.308,HARD
HAM,19.0,75.019,HARD
HAM,20.0,76.24,HARD
HAM,22.0,89.563,HARD
SAI,2.0,73.456,HARD
SAI,3.0,72.564,HARD
SAI,4.0,120.835,HARD
SAI,5.0,86.779,HARD
SAI,6.0,128.546,SOFT
SAI,9.0,100.63,HARD
SAI,10.0,126.028,HARD
SAI,11.0,88.74,HARD
SAI,12.0,71.682,HARD
SAI,13.0,120.064,HARD
SAI,14.0,72.008,HARD
SAI,15.0,98.912,HARD
SAI,16.0,108.068,SOFT
SAI,19.0,94.434,HARD
SAI,20.0,75.334,HARD
SAI,21.0,75.505,HARD
SAI,22.0,75.389,HARD
SAI,23.0,75.436,HARD
SAI,24.0,75.418,HARD
SAI,25.0,75.626,HARD
SAI,26.0,75.936,HARD
SAI,27.0,76.224,HARD
SAI,28.0,76.059,HARD
SAI,30.0,97.368,HARD
RUS,2.0,95.53,HARD
RUS,3.0,72.182,HARD
RUS,4.0,119.584,HARD
RUS,5.0,71.903,HARD
RUS,8.0,112.86,HARD
RUS,10.0,70.274,SOFT
RUS,11.0,135.001,SOFT
RUS,14.0,75.805,HARD
RUS,15.0,75.257,HARD
RUS,16.0,75.238,HARD
RUS,17.0,75.175,HARD
RUS,18.0,75.407,HARD
RUS,19.0,74.762,HARD
RUS,20.0,74.877,HARD
RUS,21.0,76.408,HARD
RUS,22.0,75.335,HARD
RUS,23.0,75.646,HARD
RUS,25.0,111.93,HARD
PIA,2.0,74.04,MEDIUM
PIA,3.0,107.392,MEDIUM
PIA,4.0,72.375,MEDIUM
PIA,5.0,113.23,MEDIUM
PIA,6.0,102.812,MEDIUM
PIA,9.0,103.102,MEDIUM
PIA,11.0,71.435,MEDIUM
PIA,12.0,103.712,MEDIUM
PIA,13.0,114.74,SOFT
PIA,14.0,69.979,SOFT
PIA,17.0,78.815,MEDIUM
PIA,18.0,75.4,MEDIUM
PIA,19.0,75.786,MEDIUM
PIA,20.0,75.062,MEDIUM
PIA,21.0,75.934,MEDIUM
PIA,22.0,75.483,MEDIUM
PIA,23.0,76.224,MEDIUM
PIA,24.0,75.263,MEDIUM
PIA,25.0,77.9,MEDIUM
PIA,26.0,91.965,SOFT
PIA,27.0,74.012,SOFT
PIA,29.0,99.189,SOFT
BEA,2.0,102.72,MEDIUM
BEA,3.0,72.899,MEDIUM
BEA,4.0,95.458,MEDIUM
BEA,5.0,117.036,SOFT
BEA,6.0,71.113,SOFT
BEA,9.0,89.828,SOFT
BEA,10.0,71.138,SOFT
BEA,11.0,92.776,SOFT
BEA,13.0,75.432,MEDIUM
BEA,14.0,75.278,MEDIUM
BEA,15.0,75.115,MEDIUM
BEA,16.0,75.177,MEDIUM
BEA,17.0,75.37,MEDIUM
BEA,18.0,75.832,MEDIUM
BEA,19.0,75.656,MEDIUM
BEA,20.0,75.712,MEDIUM
BEA,21.0,76.839,MEDIUM
BEA,22.0,75.396,MEDIUM
BEA,23.0,76.002,MEDIUM
BEA,24.0,76.064,MEDIUM
BEA,26.0,111.789,MEDIUM
