Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-08-29 13:46:23,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 100%,,,,,,
2025-08-29 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-08-29 14:00:00,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2025-08-29 14:00:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-08-29 14:00:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2025-08-29 14:00:35,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-08-29 14:00:37,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2025-08-29 14:01:12,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,
2025-08-29 14:01:25,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-08-29 14:01:26,Drs,DRS ENABLED,ENABLED,,,,,
2025-08-29 14:10:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,
2025-08-29 14:11:05,Flag,RED FLAG,,RED,Track,,,
2025-08-29 14:11:05,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2025-08-29 14:20:49,Other,SESSION WILL RESUME AT 16:22,,,,,,
2025-08-29 14:21:00,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-08-29 14:21:02,Drs,DRS ENABLED,ENABLED,,,,,
2025-08-29 14:21:16,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,
2025-08-29 14:22:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-08-29 14:24:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
2025-08-29 14:25:14,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
