Driver,LapNumber,LapTime,Compound
NOR,2.0,69.469,SOFT
NOR,3.0,97.605,SOFT
NOR,5.0,69.719,SOFT
NOR,6.0,96.96,SOFT
NOR,8.0,68.874,SOFT
NOR,9.0,94.491,SOFT
NOR,11.0,69.435,SOFT
NOR,12.0,100.726,SOFT
NOR,14.0,68.674,SOFT
NOR,15.0,93.623,SOFT
NOR,17.0,68.75,SOFT
NOR,18.0,100.945,SOFT
PIA,2.0,69.627,SOFT
PIA,3.0,103.336,SOFT
PIA,5.0,69.338,SOFT
PIA,6.0,103.748,SOFT
PIA,8.0,68.964,SOFT
PIA,9.0,94.515,SOFT
PIA,11.0,69.498,SOFT
PIA,12.0,95.113,SOFT
PIA,14.0,68.662,SOFT
PIA,15.0,97.263,SOFT
PIA,17.0,68.754,SOFT
PIA,18.0,104.304,SOFT
RUS,2.0,70.055,SOFT
RUS,3.0,104.837,SOFT
RUS,5.0,69.676,SOFT
RUS,6.0,100.677,SOFT
RUS,8.0,69.636,SOFT
RUS,9.0,89.367,SOFT
RUS,11.0,69.313,SOFT
RUS,12.0,98.749,SOFT
RUS,14.0,69.255,SOFT
RUS,15.0,94.642,SOFT
RUS,17.0,69.334,SOFT
SAI,2.0,70.355,SOFT
SAI,3.0,92.745,SOFT
SAI,5.0,69.98,SOFT
SAI,6.0,93.645,SOFT
SAI,8.0,69.765,SOFT
SAI,9.0,98.814,SOFT
SAI,11.0,69.472,SOFT
SAI,12.0,97.924,SOFT
SAI,14.0,69.94,SOFT
SAI,15.0,92.525,SOFT
SAI,17.0,69.505,SOFT
SAI,18.0,98.543,SOFT
VER,2.0,69.754,SOFT
VER,3.0,100.569,SOFT
VER,5.0,69.696,SOFT
VER,6.0,94.678,SOFT
VER,8.0,69.122,SOFT
VER,9.0,98.914,SOFT
VER,11.0,69.336,SOFT
VER,12.0,97.067,SOFT
VER,14.0,69.048,SOFT
VER,15.0,82.084,SOFT
VER,17.0,68.925,SOFT
VER,18.0,113.075,SOFT
LEC,2.0,70.621,SOFT
LEC,3.0,96.871,SOFT
LEC,5.0,70.387,SOFT
LEC,6.0,83.499,SOFT
LEC,8.0,69.906,SOFT
LEC,9.0,97.963,SOFT
LEC,11.0,70.034,SOFT
LEC,12.0,88.004,SOFT
LEC,14.0,69.304,SOFT
LEC,15.0,86.544,SOFT
LEC,18.0,69.536,SOFT
LEC,19.0,88.857,SOFT
LEC,21.0,69.34,SOFT
ALB,2.0,70.423,SOFT
ALB,3.0,92.784,SOFT
ALB,5.0,69.792,SOFT
ALB,6.0,103.111,SOFT
ALB,8.0,69.652,SOFT
ALB,9.0,96.677,SOFT
ALB,11.0,69.938,SOFT
ALB,12.0,95.937,SOFT
STR,2.0,92.046,SOFT
HAD,2.0,70.106,SOFT
HAD,3.0,96.582,SOFT
HAD,5.0,69.966,SOFT
HAD,6.0,101.591,SOFT
HAD,8.0,69.515,SOFT
HAD,9.0,91.079,SOFT
HAD,11.0,69.439,SOFT
HAD,12.0,96.592,SOFT
HAD,14.0,69.723,SOFT
HAD,15.0,93.96,SOFT
HAD,17.0,69.208,SOFT
ALO,2.0,69.95,SOFT
ALO,3.0,101.055,SOFT
ALO,5.0,96.991,SOFT
ALO,7.0,69.657,SOFT
ALO,8.0,91.968,SOFT
ALO,10.0,69.366,SOFT
ALO,11.0,101.239,SOFT
ALO,13.0,69.938,SOFT
ALO,14.0,91.471,SOFT
ALO,16.0,69.63,SOFT
LAW,2.0,70.2,SOFT
LAW,3.0,97.089,SOFT
LAW,5.0,69.779,SOFT
LAW,6.0,94.997,SOFT
LAW,8.0,69.726,SOFT
LAW,9.0,93.761,SOFT
LAW,11.0,69.383,SOFT
LAW,12.0,98.175,SOFT
LAW,14.0,70.331,SOFT
LAW,15.0,93.535,SOFT
LAW,17.0,69.5,SOFT
TSU,2.0,70.661,SOFT
TSU,3.0,107.859,SOFT
TSU,5.0,70.449,SOFT
TSU,6.0,83.933,SOFT
TSU,8.0,69.954,SOFT
TSU,9.0,95.194,SOFT
TSU,11.0,69.622,SOFT
TSU,12.0,93.889,SOFT
TSU,14.0,69.632,SOFT
TSU,15.0,98.137,SOFT
BOR,2.0,70.425,SOFT
BOR,3.0,88.945,SOFT
BOR,5.0,70.037,SOFT
BOR,6.0,99.734,SOFT
BOR,8.0,69.77,SOFT
BOR,9.0,94.044,SOFT
BOR,11.0,69.622,SOFT
BOR,12.0,99.702,SOFT
HAM,2.0,70.224,SOFT
HAM,3.0,99.036,SOFT
HAM,5.0,80.726,SOFT
HAM,7.0,69.9,SOFT
HAM,8.0,101.543,SOFT
HAM,10.0,70.14,SOFT
HAM,11.0,103.845,SOFT
HAM,13.0,69.261,SOFT
HAM,14.0,99.833,SOFT
HAM,17.0,69.526,SOFT
HAM,18.0,98.979,SOFT
HAM,20.0,69.39,SOFT
BEA,2.0,70.262,SOFT
BEA,3.0,96.657,SOFT
BEA,5.0,70.424,SOFT
BEA,6.0,86.044,SOFT
BEA,8.0,70.319,SOFT
BEA,9.0,102.876,SOFT
HUL,2.0,70.865,SOFT
HUL,3.0,92.774,SOFT
HUL,5.0,70.195,SOFT
HUL,6.0,85.507,SOFT
HUL,8.0,70.261,SOFT
HUL,9.0,98.65,SOFT
ANT,2.0,70.004,SOFT
ANT,3.0,112.26,SOFT
ANT,5.0,69.845,SOFT
ANT,6.0,101.942,SOFT
ANT,8.0,69.601,SOFT
ANT,9.0,100.452,SOFT
ANT,11.0,69.493,SOFT
ANT,12.0,101.386,SOFT
OCO,2.0,71.183,SOFT
OCO,3.0,102.127,SOFT
OCO,5.0,70.643,SOFT
OCO,6.0,98.098,SOFT
OCO,8.0,70.197,SOFT
OCO,9.0,94.608,SOFT
GAS,2.0,70.981,SOFT
GAS,3.0,99.633,SOFT
GAS,5.0,70.043,SOFT
GAS,6.0,96.304,SOFT
GAS,8.0,69.894,SOFT
GAS,9.0,102.76,SOFT
GAS,11.0,70.237,SOFT
GAS,12.0,97.23,SOFT
GAS,14.0,69.637,SOFT
GAS,15.0,105.773,SOFT
COL,2.0,71.132,SOFT
COL,3.0,97.041,SOFT
COL,5.0,70.561,SOFT
COL,6.0,91.854,SOFT
COL,8.0,70.104,SOFT
COL,9.0,97.84,SOFT
