Driver,LapNumber,LapTime,Compound
BAD,2.0,82.644,MEDIUM
BAD,3.0,138.801,MEDIUM
BAD,4.0,81.518,MEDIUM
BAD,6.0,81.166,MEDIUM
BAD,8.0,80.751,MEDIUM
BAD,9.0,109.768,MEDIUM
BAD,11.0,80.692,SOFT
BAD,15.0,80.877,SOFT
BAD,16.0,97.525,SOFT
BAD,18.0,84.431,MEDIUM
BAD,19.0,84.16,MEDIUM
BAD,20.0,117.779,MEDIUM
BAD,21.0,144.48,MEDIUM
GAS,2.0,84.004,MEDIUM
GAS,3.0,141.344,MEDIUM
GAS,4.0,83.021,MEDIUM
GAS,6.0,138.861,MEDIUM
GAS,7.0,105.232,MEDIUM
GAS,8.0,82.317,MEDIUM
GAS,10.0,112.993,MEDIUM
GAS,11.0,82.21,MEDIUM
GAS,12.0,103.653,MEDIUM
GAS,16.0,102.955,SOFT
GAS,17.0,81.792,SOFT
GAS,19.0,131.808,SOFT
GAS,20.0,81.653,SOFT
GAS,21.0,112.29,SOFT
GAS,22.0,108.252,MEDIUM
GAS,23.0,97.081,MEDIUM
GAS,24.0,123.888,MEDIUM
GAS,25.0,122.472,MEDIUM
ANT,2.0,84.675,MEDIUM
ANT,3.0,135.79,MEDIUM
ANT,4.0,145.619,MEDIUM
ANT,5.0,82.961,MEDIUM
ANT,7.0,138.311,MEDIUM
ANT,8.0,82.331,MEDIUM
ANT,10.0,131.162,MEDIUM
ANT,11.0,81.585,MEDIUM
ANT,12.0,115.642,MEDIUM
ANT,14.0,81.789,SOFT
ANT,17.0,126.062,SOFT
ANT,18.0,81.427,SOFT
ANT,20.0,120.043,SOFT
ANT,21.0,80.94,SOFT
ANT,22.0,144.137,SOFT
ANT,24.0,131.975,SOFT
ALO,2.0,82.308,MEDIUM
ALO,3.0,145.242,MEDIUM
ALO,4.0,124.022,MEDIUM
ALO,5.0,81.813,MEDIUM
ALO,6.0,137.296,MEDIUM
ALO,7.0,81.192,MEDIUM
ALO,8.0,116.178,MEDIUM
ALO,9.0,84.018,MEDIUM
ALO,10.0,107.59,MEDIUM
ALO,13.0,97.931,SOFT
ALO,14.0,149.346,SOFT
ALO,15.0,81.114,SOFT
ALO,16.0,149.562,SOFT
ALO,18.0,128.71,SOFT
ALO,19.0,125.455,SOFT
LEC,2.0,97.276,MEDIUM
LEC,3.0,82.021,MEDIUM
LEC,4.0,144.366,MEDIUM
LEC,5.0,81.682,MEDIUM
LEC,6.0,138.139,MEDIUM
LEC,7.0,81.239,MEDIUM
LEC,8.0,124.594,MEDIUM
LEC,9.0,107.982,MEDIUM
LEC,10.0,80.97,MEDIUM
LEC,11.0,109.014,MEDIUM
LEC,13.0,107.338,SOFT
LEC,14.0,118.2,SOFT
LEC,17.0,80.286,SOFT
LEC,18.0,103.086,SOFT
LEC,20.0,83.696,MEDIUM
LEC,21.0,84.23,MEDIUM
LEC,22.0,117.207,MEDIUM
LEC,23.0,141.902,MEDIUM
STR,2.0,83.065,MEDIUM
STR,3.0,132.006,MEDIUM
STR,4.0,82.082,MEDIUM
STR,5.0,141.861,MEDIUM
STR,6.0,116.03,MEDIUM
STR,7.0,81.927,MEDIUM
STR,8.0,128.865,MEDIUM
STR,9.0,82.809,MEDIUM
STR,10.0,122.563,MEDIUM
STR,11.0,81.456,MEDIUM
STR,12.0,116.61,MEDIUM
STR,14.0,96.998,SOFT
STR,17.0,81.295,SOFT
STR,18.0,125.161,SOFT
STR,20.0,83.753,MEDIUM
STR,21.0,83.399,MEDIUM
STR,22.0,83.291,MEDIUM
STR,23.0,84.311,MEDIUM
STR,24.0,114.851,MEDIUM
STR,25.0,147.782,MEDIUM
TSU,2.0,85.036,MEDIUM
TSU,3.0,141.988,MEDIUM
TSU,4.0,83.49,MEDIUM
TSU,6.0,119.912,MEDIUM
TSU,7.0,81.956,MEDIUM
TSU,9.0,113.042,MEDIUM
TSU,10.0,113.106,MEDIUM
TSU,11.0,81.585,MEDIUM
TSU,12.0,101.796,MEDIUM
TSU,14.0,81.292,SOFT
TSU,17.0,81.303,SOFT
TSU,18.0,103.81,SOFT
TSU,20.0,84.964,MEDIUM
TSU,21.0,84.907,MEDIUM
TSU,22.0,113.254,MEDIUM
TSU,23.0,144.565,MEDIUM
VOI,2.0,82.712,HARD
VOI,3.0,143.054,HARD
VOI,4.0,81.479,HARD
VOI,6.0,117.67,HARD
VOI,7.0,81.073,HARD
VOI,8.0,141.905,HARD
VOI,9.0,124.786,HARD
VOI,10.0,105.089,HARD
VOI,12.0,81.183,MEDIUM
VOI,15.0,81.274,MEDIUM
VOI,16.0,146.618,MEDIUM
VOI,17.0,123.279,HARD
VOI,18.0,83.61,HARD
VOI,19.0,83.076,HARD
VOI,20.0,84.203,HARD
VOI,21.0,82.588,HARD
VOI,22.0,82.403,HARD
VOI,23.0,100.238,HARD
VOI,24.0,114.078,HARD
VOI,25.0,140.379,HARD
MAR,2.0,138.684,MEDIUM
MAR,3.0,104.013,MEDIUM
MAR,4.0,82.781,MEDIUM
MAR,5.0,133.894,MEDIUM
MAR,6.0,82.451,MEDIUM
MAR,7.0,136.215,MEDIUM
MAR,8.0,82.226,MEDIUM
MAR,9.0,143.489,MEDIUM
MAR,10.0,82.188,MEDIUM
MAR,11.0,99.382,MEDIUM
MAR,13.0,81.538,SOFT
MAR,14.0,134.526,SOFT
MAR,17.0,116.034,SOFT
MAR,18.0,138.413,SOFT
MAR,19.0,81.535,SOFT
MAR,20.0,138.944,SOFT
MAR,21.0,148.743,SOFT
MAR,22.0,81.179,SOFT
MAR,23.0,96.357,SOFT
MAR,24.0,147.334,MEDIUM
MAR,25.0,147.203,MEDIUM
LAW,2.0,84.341,HARD
LAW,3.0,148.273,HARD
LAW,4.0,82.511,HARD
LAW,5.0,133.22,HARD
LAW,7.0,82.166,HARD
LAW,8.0,128.266,HARD
LAW,10.0,81.901,HARD
LAW,11.0,135.338,HARD
LAW,12.0,114.256,HARD
LAW,13.0,81.344,HARD
LAW,14.0,110.023,HARD
LAW,18.0,124.877,SOFT
LAW,19.0,81.402,SOFT
LAW,20.0,148.166,SOFT
LAW,22.0,81.201,SOFT
LAW,23.0,98.027,SOFT
LAW,24.0,83.459,SOFT
LAW,25.0,119.262,SOFT
LAW,26.0,143.714,SOFT
CHO,2.0,84.697,MEDIUM
CHO,3.0,139.558,MEDIUM
CHO,4.0,83.424,MEDIUM
CHO,5.0,128.066,MEDIUM
CHO,6.0,82.992,MEDIUM
CHO,7.0,147.367,MEDIUM
CHO,8.0,120.515,MEDIUM
CHO,9.0,82.25,MEDIUM
CHO,10.0,120.986,MEDIUM
CHO,14.0,81.974,SOFT
CHO,15.0,132.242,SOFT
CHO,16.0,125.6,SOFT
CHO,17.0,81.642,SOFT
CHO,18.0,94.512,SOFT
CHO,20.0,116.011,MEDIUM
CHO,21.0,146.868,MEDIUM
NOR,2.0,84.998,MEDIUM
NOR,3.0,129.859,MEDIUM
NOR,4.0,81.513,MEDIUM
NOR,5.0,137.037,MEDIUM
