Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-09-05 11:29:46,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2025-09-05 11:30:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2025-09-05 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-09-05 11:30:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-09-05 11:30:24,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2025-09-05 11:30:26,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-09-05 11:30:41,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,
2025-09-05 11:30:53,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-09-05 11:30:55,Drs,DRS ENABLED,ENABLED,,,,,
2025-09-05 11:38:09,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8,,,,,,
2025-09-05 11:38:38,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2025-09-05 11:41:42,Flag,BLACK AND WHITE FLAG FOR CAR 6 (HAD) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,BLACK AND WHITE,Driver,,6,
2025-09-05 11:49:16,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2025-09-05 11:49:32,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-09-05 12:05:00,Flag,RED FLAG,,RED,Track,,,
2025-09-05 12:08:44,Other,INCIDENT INVOLVING CAR 16 (LEC) NOTED - RED FLAG INFRINGEMENT,,,,,,
2025-09-05 12:11:29,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-09-05 12:11:31,Drs,DRS ENABLED,ENABLED,,,,,
2025-09-05 12:11:52,Other,SESSION WILL RESUME AT 14:13,,,,,,
2025-09-05 12:12:14,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 16 (LEC) REVIEWED NO FURTHER INVESTIGATION - RED FLAG INFRINGEMENT,,,,,,
2025-09-05 12:13:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-09-05 12:26:30,Flag,BLACK AND WHITE FLAG FOR CAR 63 (RUS) - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,BLACK AND WHITE,Driver,,63,
2025-09-05 12:29:20,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2025-09-05 12:29:22,Flag,DOUBLE YELLOW IN TRACK SECTOR 7,,DOUBLE YELLOW,Sector,7.0,,
2025-09-05 12:29:30,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2025-09-05 12:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-09-05 12:30:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2025-09-05 12:37:49,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,
2025-09-05 12:38:02,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-09-05 12:38:02,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2025-09-05 12:38:17,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2025-09-05 12:38:18,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-09-05 12:38:37,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2025-09-05 12:38:38,Other,DRS DISABLED IN ZONE 2,,,,,,
2025-09-05 12:45:52,Other,RISK OF RAIN FOR F3 QUALIFYING SESSION IS 0%,,,,,,
2025-09-05 12:55:00,Other,"SESSION TEMPERATURES: AIR = 26, TRACK = 44",,,,,,
2025-09-05 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-09-05 13:06:30,Other,TURN 4 INCIDENT INVOLVING CAR 1 (BAD) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2025-09-05 13:07:18,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CAR 1 (BAD) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS – ESCAPE ROAD INSTRUCTIONS,,,,,,
2025-09-05 13:08:32,Other,CAR 1 (BAD) TIME 1:52.545 DELETED - TRACK LIMITS AT TURN 4 LAP 2 15:05:03,,,,,,
2025-09-05 13:10:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-09-05 13:10:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 21 (HED),,,,,,
2025-09-05 13:10:24,Other,CAR 23 (VOI) TIME 1:39.944 DELETED - TRACK LIMITS AT TURN 6 LAP 3 15:09:04,,,,,,
2025-09-05 13:11:12,Other,CAR 5 (CAM) TIME 1:38.520 DELETED - TRACK LIMITS AT TURN 5 LAP 3 15:09:09,,,,,,
2025-09-05 13:12:56,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
