Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-09-20 11:56:53,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 6,,,,,,
2025-09-20 11:56:54,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-09-20 12:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-09-20 12:04:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-09-20 12:04:40,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-09-20 12:06:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-09-20 12:06:18,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2025-09-20 12:06:28,Flag,RED FLAG,,RED,Track,,,
2025-09-20 12:06:28,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-09-20 12:08:20,Other,CAR 12 (ANT) LAP DELETED - DOUBLE YELLOW AT TURN 1,,,,,,
2025-09-20 12:08:21,Other,CAR 55 (SAI) LAP DELETED - DOUBLE YELLOW AT TURN 1,,,,,,
2025-09-20 12:08:22,Other,CAR 6 (HAD) LAP DELETED - DOUBLE YELLOW AT TURN 1,,,,,,
2025-09-20 12:08:30,Other,RECOVERY VEHICLE ON TRACK AT TURN 1,,,,,,
2025-09-20 12:09:06,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-09-20 12:09:08,Drs,DRS ENABLED,ENABLED,,,,,
2025-09-20 12:09:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,
2025-09-20 12:11:03,Other,INCIDENT INVOLVING CAR 12 (ANT) NOTED - YELLOW FLAG INFRINGEMENT,,,,,,
2025-09-20 12:11:27,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-09-20 12:11:56,Other,Q1 WILL RESUME AT 16:15,,,,,,
2025-09-20 12:13:00,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2025-09-20 12:13:18,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2025-09-20 12:13:19,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-09-20 12:13:36,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-09-20 12:13:38,Other,DRS ENABLED IN ZONE 1,,,,,,
2025-09-20 12:13:38,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2025-09-20 12:15:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-09-20 12:17:49,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 12 (ANT) WILL BE INVESTIGATED AFTER THE SESSION - YELLOW FLAG INFRINGEMENT,,,,,,
2025-09-20 12:19:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2025-09-20 12:19:49,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2025-09-20 12:19:50,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-09-20 12:19:58,Flag,RED FLAG,,RED,Track,,,
2025-09-20 12:19:58,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2025-09-20 12:19:58,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-09-20 12:21:42,Other,CAR 12 (ANT) TIME 1:43.040 DELETED - TRACK LIMITS AT TURN 16 LAP 5 16:19:00,,,,,,
2025-09-20 12:23:01,Other,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 6 16:19:43 (PIT),,,,,,
2025-09-20 12:23:21,Other,INCIDENT INVOLVING CAR 18 (STR) NOTED - YELLOW FLAG INFRINGEMENT,,,,,,
2025-09-20 12:23:23,Flag,TRACK CLEAR,,CLEAR,Track,,,
2025-09-20 12:23:24,Drs,DRS ENABLED,ENABLED,,,,,
2025-09-20 12:23:27,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2025-09-20 12:23:30,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2025-09-20 12:23:31,Other,DRS DISABLED IN ZONE 1,,,,,,
2025-09-20 12:24:02,Other,INCIDENT INVOLVING CAR 5 (BOR) NOTED - YELLOW FLAG INFRINGEMENT,,,,,,
2025-09-20 12:24:09,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
2025-09-20 12:24:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,
2025-09-20 12:24:21,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2025-09-20 12:24:22,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2025-09-20 12:24:24,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2025-09-20 12:24:29,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
