Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-10-04 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-10-04 13:04:21,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2025-10-04 13:04:29,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2025-10-04 13:05:30,Other,CAR 44 (HAM) TIME 2:03.780 DELETED - TRACK LIMITS AT TURN 2 LAP 3 21:03:12,,,,,,
2025-10-04 13:06:31,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 3 LAP 4 21:04:28 (PIT),,,,,,
2025-10-04 13:09:36,Other,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 3 21:07:18 (PIT),,,,,,
2025-10-04 13:09:41,Other,TURN 3 INCIDENT INVOLVING CARS 55 (SAI) AND 12 (ANT) NOTED - IMPEDING,,,,,,
2025-10-04 13:10:06,Other,CAR 31 (OCO) LAP DELETED - TRACK LIMITS AT TURN 11 LAP 4 21:09:06 (PIT),,,,,,
2025-10-04 13:12:14,Other,FIA STEWARDS: TURN 3 INCIDENT INVOLVING CARS 55 (SAI) AND 12 (ANT) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2025-10-04 13:12:54,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 11 LAP 7 21:11:48,,,,,,
2025-10-04 13:16:59,Other,CAR 63 (RUS) TIME 6:14.921 DELETED - TRACK LIMITS AT TURN 11 LAP 5 21:16:05,,,,,,
2025-10-04 13:17:45,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2025-10-04 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-10-04 13:18:05,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2025-10-04 13:18:28,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2025-10-04 13:18:34,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2025-10-04 13:20:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,
2025-10-04 13:21:51,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 10 (GAS), 18 (STR), 12 (ANT), 6 (HAD), 5 (BOR) AND 27 (HUL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-10-04 13:22:09,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 10 (GAS), 18 (STR), 12 (ANT), 6 (HAD), 5 (BOR) AND 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-10-04 13:22:19,Other,START OF Q2 WILL BE DELAYED,,,,,,
2025-10-04 13:23:09,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2025-10-04 13:27:40,Other,Q2 WILL START AT 21:31,,,,,,
2025-10-04 13:27:52,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
