Driver,LapNumber,GapTime
RUS,0.667,0.0
VER,0.667,1.375
PIA,0.667,2.75
ANT,0.667,4.063
NOR,0.667,2.016
HAM,0.667,4.875
LEC,0.667,3.422
HAD,0.667,5.802
BEA,0.667,6.747
ALO,0.667,6.202
HUL,0.667,7.332
LAW,0.667,7.969
TSU,0.667,10.448
BOR,0.667,10.201
STR,0.667,9.829
COL,0.667,8.350999999999999
OCO,0.667,10.912
SAI,0.667,11.453
GAS,0.667,11.707
ALB,0.667,12.066
RUS,1.000,0.0
VER,1.000,0.957
PIA,1.000,3.032
ANT,1.000,3.855
NOR,1.000,1.643
HAM,1.000,4.703
LEC,1.000,3.653
HAD,1.000,5.473
BEA,1.000,6.772
ALO,1.000,6.177
HUL,1.000,7.451
LAW,1.000,8.056
TSU,1.000,11.164
BOR,1.000,10.005
STR,1.000,9.81
COL,1.000,8.483
OCO,1.000,11.585
SAI,1.000,12.164
GAS,1.000,12.414
ALB,1.000,12.882
RUS,1.333,0.0
VER,1.333,1.1400000000000001
PIA,1.333,3.406
ANT,1.333,4.7
NOR,1.333,1.795
HAM,1.333,5.312
LEC,1.333,4.064
HAD,1.333,5.943
BEA,1.333,7.337
ALO,1.333,6.688
HUL,1.333,8.2
LAW,1.333,8.625
TSU,1.333,11.993
BOR,1.333,10.491
STR,1.333,10.014
COL,1.333,9.295
OCO,1.333,12.069
SAI,1.333,12.891
GAS,1.333,13.373
ALB,1.333,13.631
RUS,1.667,0.0
VER,1.667,1.71
PIA,1.667,3.997
ANT,1.667,6.012
NOR,1.667,2.267
HAM,1.667,6.95
LEC,1.667,5.482
HAD,1.667,7.984
BEA,1.667,9.087
ALO,1.667,8.377
HUL,1.667,9.615
LAW,1.667,10.177
TSU,1.667,14.188
BOR,1.667,12.02
STR,1.667,11.556000000000001
COL,1.667,11.041
OCO,1.667,13.512
SAI,1.667,14.806000000000001
GAS,1.667,15.429
ALB,1.667,15.717
RUS,2.000,0.0
VER,2.000,1.5590000000000002
PIA,2.000,4.283
ANT,2.000,6.234
NOR,2.000,2.208
HAM,2.000,6.971
LEC,2.000,5.635
HAD,2.000,7.918
BEA,2.000,9.136
ALO,2.000,8.465
HUL,2.000,9.825
LAW,2.000,10.55
TSU,2.000,14.357
BOR,2.000,12.245
STR,2.000,11.878
COL,2.000,11.383
OCO,2.000,13.553
SAI,2.000,15.2
GAS,2.000,15.767
ALB,2.000,16.093
RUS,2.333,0.0
VER,2.333,1.637
PIA,2.333,4.667
ANT,2.333,6.361
NOR,2.333,2.265
HAM,2.333,7.269
LEC,2.333,5.714
HAD,2.333,7.967
BEA,2.333,9.196
ALO,2.333,8.394
HUL,2.333,10.098
LAW,2.333,10.714
TSU,2.333,14.471
BOR,2.333,12.633
STR,2.333,12.051
COL,2.333,11.454
OCO,2.333,14.166
SAI,2.333,15.267
GAS,2.333,16.1
ALB,2.333,16.385
RUS,2.667,0.0
VER,2.667,2.136
PIA,2.667,5.039
ANT,2.667,7.436
NOR,2.667,2.816
HAM,2.667,8.382
LEC,2.667,6.54
HAD,2.667,9.645
BEA,2.667,10.593
ALO,2.667,9.384
HUL,2.667,11.228
LAW,2.667,11.951
TSU,2.667,15.975
BOR,2.667,14.122
STR,2.667,13.434
COL,2.667,12.92
OCO,2.667,15.716
SAI,2.667,16.696
GAS,2.667,17.511
ALB,2.667,17.778
RUS,3.000,0.0
VER,3.000,2.005
PIA,3.000,5.216
ANT,3.000,7.46
NOR,3.000,2.926
HAM,3.000,8.255
LEC,3.000,6.642
HAD,3.000,10.14
BEA,3.000,11.134
ALO,3.000,9.413
HUL,3.000,11.531
LAW,3.000,12.347
TSU,3.000,16.51
BOR,3.000,14.291
STR,3.000,13.806000000000001
COL,3.000,13.137
OCO,3.000,15.86
SAI,3.000,17.161
GAS,3.000,17.75
ALB,3.000,18.229
RUS,3.333,0.0
VER,3.333,2.122
PIA,3.333,5.478
ANT,3.333,7.487
NOR,3.333,3.034
HAM,3.333,8.371
LEC,3.333,6.757
HAD,3.333,10.358
BEA,3.333,11.301
ALO,3.333,9.777
HUL,3.333,12.09
LAW,3.333,12.622
TSU,3.333,16.876
BOR,3.333,14.733
STR,3.333,13.962
COL,3.333,13.366
OCO,3.333,16.345
SAI,3.333,17.542
GAS,3.333,18.308
ALB,3.333,18.937
RUS,3.667,0.0
VER,3.667,2.44
PIA,3.667,5.676
ANT,3.667,7.999
NOR,3.667,3.337
HAM,3.667,9.176
LEC,3.667,7.128
HAD,3.667,11.599
BEA,3.667,12.42
ALO,3.667,10.739
HUL,3.667,13.211
LAW,3.667,13.886
TSU,3.667,18.125
BOR,3.667,16.053
STR,3.667,15.323
COL,3.667,14.727
OCO,3.667,17.307
SAI,3.667,18.743
GAS,3.667,19.518
ALB,3.667,20.159
RUS,4.000,0.0
VER,4.000,2.512
PIA,4.000,6.064
ANT,4.000,8.096
NOR,4.000,3.567
HAM,4.000,9.375
LEC,4.000,7.337
HAD,4.000,11.896
BEA,4.000,12.526
ALO,4.000,11.124
HUL,4.000,13.503
LAW,4.000,14.313
TSU,4.000,18.535
BOR,4.000,16.398
STR,4.000,15.825
COL,4.000,15.171
OCO,4.000,17.715
SAI,4.000,19.216
GAS,4.000,19.933
ALB,4.000,20.75
RUS,4.333,0.0
VER,4.333,2.681
PIA,4.333,6.491
ANT,4.333,8.307
NOR,4.333,4.0
HAM,4.333,9.698
LEC,4.333,7.6129999999999995
HAD,4.333,12.161
BEA,4.333,12.878
ALO,4.333,11.562
HUL,4.333,13.908
LAW,4.333,14.573
TSU,4.333,18.92
BOR,4.333,17.127
STR,4.333,16.193
COL,4.333,15.47
OCO,4.333,18.323
SAI,4.333,19.669
GAS,4.333,20.5
ALB,4.333,21.268
RUS,4.667,0.0
VER,4.667,2.8449999999999998
PIA,4.667,6.446
ANT,4.667,8.797
NOR,4.667,4.316
HAM,4.667,9.962
LEC,4.667,8.044
HAD,4.667,13.062
BEA,4.667,13.877
ALO,4.667,12.276
HUL,4.667,14.955
LAW,4.667,15.556000000000001
TSU,4.667,20.307
BOR,4.667,18.35
STR,4.667,17.487
COL,4.667,16.562
OCO,4.667,19.523
SAI,4.667,21.054
GAS,4.667,21.84
ALB,4.667,22.249
RUS,5.000,0.0
VER,5.000,2.832
PIA,5.000,6.829
ANT,5.000,8.956
NOR,5.000,4.449
HAM,5.000,9.975999999999999
LEC,5.000,8.214
HAD,5.000,13.451
BEA,5.000,14.015
ALO,5.000,12.557
HUL,5.000,15.174
LAW,5.000,15.901
TSU,5.000,20.513
BOR,5.000,18.666
STR,5.000,17.881
COL,5.000,16.894
OCO,5.000,19.74
SAI,5.000,21.463
GAS,5.000,22.297
ALB,5.000,22.708
RUS,5.333,0.0
VER,5.333,3.05
PIA,5.333,7.486
ANT,5.333,9.016
NOR,5.333,4.799
HAM,5.333,10.372
LEC,5.333,8.478
HAD,5.333,13.648
BEA,5.333,14.313
ALO,5.333,13.002
HUL,5.333,15.684
LAW,5.333,16.269
TSU,5.333,20.897
BOR,5.333,19.509
STR,5.333,18.342
COL,5.333,17.201
OCO,5.333,20.134
SAI,5.333,22.071
GAS,5.333,22.741
ALB,5.333,23.359
RUS,5.667,0.0
VER,5.667,3.2800000000000002
PIA,5.667,7.596
ANT,5.667,9.62
NOR,5.667,4.959
HAM,5.667,10.837
LEC,5.667,8.863
HAD,5.667,14.797
BEA,5.667,15.418
ALO,5.667,13.784
HUL,5.667,16.582
LAW,5.667,17.387
TSU,5.667,22.424
BOR,5.667,20.916
STR,5.667,19.488
COL,5.667,18.581
OCO,5.667,21.622
SAI,5.667,23.731
