Driver,LapNumber,LapTime,Compound
RUS,2.0,99.149,MEDIUM
RUS,3.0,98.035,MEDIUM
RUS,4.0,97.57,MEDIUM
RUS,5.0,97.184,MEDIUM
RUS,6.0,96.854,MEDIUM
RUS,7.0,96.768,MEDIUM
RUS,8.0,96.655,MEDIUM
RUS,9.0,96.726,MEDIUM
RUS,10.0,96.665,MEDIUM
RUS,11.0,96.712,MEDIUM
RUS,12.0,96.485,MEDIUM
RUS,13.0,96.63,MEDIUM
RUS,14.0,96.822,MEDIUM
RUS,15.0,97.152,MEDIUM
RUS,16.0,96.903,MEDIUM
RUS,17.0,96.973,MEDIUM
RUS,18.0,97.039,MEDIUM
RUS,19.0,96.916,MEDIUM
RUS,20.0,97.259,MEDIUM
RUS,21.0,97.109,MEDIUM
RUS,22.0,97.226,MEDIUM
RUS,23.0,97.158,MEDIUM
RUS,24.0,97.199,MEDIUM
RUS,25.0,103.178,MEDIUM
RUS,26.0,113.098,HARD
RUS,27.0,95.676,HARD
RUS,28.0,95.843,HARD
RUS,29.0,95.795,HARD
RUS,30.0,96.027,HARD
RUS,31.0,95.912,HARD
RUS,32.0,95.836,HARD
RUS,33.0,96.123,HARD
RUS,34.0,95.904,HARD
RUS,35.0,95.879,HARD
RUS,36.0,95.91,HARD
RUS,37.0,96.119,HARD
RUS,38.0,96.189,HARD
RUS,39.0,96.248,HARD
RUS,40.0,96.357,HARD
RUS,41.0,96.128,HARD
RUS,42.0,97.0,HARD
RUS,43.0,97.065,HARD
RUS,44.0,97.89,HARD
RUS,45.0,97.401,HARD
RUS,46.0,97.026,HARD
RUS,47.0,96.761,HARD
RUS,48.0,96.183,HARD
RUS,49.0,96.077,HARD
RUS,50.0,96.223,HARD
RUS,51.0,97.317,HARD
RUS,52.0,97.388,HARD
RUS,53.0,96.261,HARD
RUS,54.0,96.254,HARD
RUS,55.0,96.153,HARD
RUS,56.0,96.333,HARD
RUS,57.0,96.133,HARD
RUS,58.0,96.088,HARD
RUS,59.0,96.405,HARD
RUS,60.0,96.381,HARD
RUS,61.0,96.257,HARD
RUS,62.0,96.455,HARD
VER,2.0,99.698,SOFT
VER,3.0,98.481,SOFT
VER,4.0,98.077,SOFT
VER,5.0,97.504,SOFT
VER,6.0,97.326,SOFT
VER,7.0,97.149,SOFT
VER,8.0,97.136,SOFT
VER,9.0,97.165,SOFT
VER,10.0,97.239,SOFT
VER,11.0,97.223,SOFT
VER,12.0,97.187,SOFT
VER,13.0,97.332,SOFT
VER,14.0,97.472,SOFT
VER,15.0,97.292,SOFT
VER,16.0,97.318,SOFT
VER,17.0,97.231,SOFT
VER,18.0,97.449,SOFT
VER,19.0,103.287,SOFT
VER,20.0,113.036,HARD
VER,21.0,96.786,HARD
VER,22.0,96.33,HARD
VER,23.0,96.084,HARD
VER,24.0,96.359,HARD
VER,25.0,95.87,HARD
VER,26.0,95.938,HARD
VER,27.0,96.002,HARD
VER,28.0,95.732,HARD
VER,29.0,96.15,HARD
VER,30.0,95.649,HARD
VER,31.0,95.751,HARD
VER,32.0,95.684,HARD
VER,33.0,95.676,HARD
VER,34.0,95.815,HARD
VER,35.0,95.898,HARD
VER,36.0,97.774,HARD
VER,37.0,96.42,HARD
VER,38.0,96.064,HARD
VER,39.0,96.298,HARD
VER,40.0,96.13,HARD
VER,41.0,96.263,HARD
VER,42.0,96.448,HARD
VER,43.0,97.09,HARD
VER,44.0,96.872,HARD
VER,45.0,97.805,HARD
VER,46.0,97.54,HARD
VER,47.0,97.51,HARD
VER,48.0,97.119,HARD
VER,49.0,96.211,HARD
VER,50.0,96.08,HARD
VER,51.0,96.257,HARD
VER,52.0,96.687,HARD
VER,53.0,97.611,HARD
VER,54.0,96.581,HARD
VER,55.0,96.326,HARD
VER,56.0,96.666,HARD
VER,57.0,96.142,HARD
VER,58.0,95.982,HARD
VER,59.0,95.999,HARD
VER,60.0,96.194,HARD
VER,61.0,96.036,HARD
VER,62.0,96.479,HARD
PIA,2.0,100.284,MEDIUM
PIA,3.0,98.968,MEDIUM
PIA,4.0,98.418,MEDIUM
PIA,5.0,97.949,MEDIUM
PIA,6.0,97.924,MEDIUM
PIA,7.0,97.249,MEDIUM
PIA,8.0,97.212,MEDIUM
PIA,9.0,97.212,MEDIUM
PIA,10.0,97.736,MEDIUM
PIA,11.0,97.428,MEDIUM
PIA,12.0,97.685,MEDIUM
PIA,13.0,97.334,MEDIUM
PIA,14.0,97.478,MEDIUM
PIA,15.0,97.412,MEDIUM
PIA,16.0,97.347,MEDIUM
PIA,17.0,97.388,MEDIUM
PIA,18.0,96.923,MEDIUM
PIA,19.0,97.117,MEDIUM
PIA,20.0,96.992,MEDIUM
PIA,21.0,96.796,MEDIUM
PIA,22.0,96.609,MEDIUM
PIA,23.0,96.846,MEDIUM
PIA,24.0,97.546,MEDIUM
PIA,25.0,96.701,MEDIUM
PIA,26.0,96.84,MEDIUM
PIA,27.0,102.83,MEDIUM
PIA,28.0,116.043,HARD
PIA,29.0,95.649,HARD
PIA,30.0,95.535,HARD
PIA,31.0,95.408,HARD
PIA,32.0,95.565,HARD
PIA,33.0,95.668,HARD
PIA,34.0,95.737,HARD
PIA,35.0,95.92,HARD
PIA,36.0,95.449,HARD
PIA,37.0,95.66,HARD
PIA,38.0,95.585,HARD
PIA,39.0,95.688,HARD
PIA,40.0,96.172,HARD
PIA,41.0,95.744,HARD
PIA,42.0,95.93,HARD
PIA,43.0,96.449,HARD
PIA,44.0,96.738,HARD
PIA,45.0,97.103,HARD
PIA,46.0,95.98,HARD
PIA,47.0,96.413,HARD
PIA,48.0,97.661,HARD
PIA,49.0,97.286,HARD
PIA,50.0,97.368,HARD
PIA,51.0,96.174,HARD
PIA,52.0,95.882,HARD
PIA,53.0,95.556,HARD
PIA,54.0,96.978,HARD
PIA,55.0,95.881,HARD
PIA,56.0,96.078,HARD
PIA,57.0,96.4,HARD
PIA,58.0,95.867,HARD
PIA,59.0,95.606,HARD
PIA,60.0,95.858,HARD
PIA,61.0,95.89,HARD
PIA,62.0,96.386,HARD
ANT,2.0,101.392,MEDIUM
ANT,3.0,99.261,MEDIUM
ANT,4.0,98.206,MEDIUM
ANT,5.0,98.044,MEDIUM
ANT,6.0,97.733,MEDIUM
ANT,7.0,97.906,MEDIUM
ANT,8.0,97.588,MEDIUM
ANT,9.0,97.736,MEDIUM
ANT,10.0,97.905,MEDIUM
ANT,11.0,97.615,MEDIUM
ANT,12.0,97.615,MEDIUM
ANT,13.0,97.621,MEDIUM
ANT,14.0,97.711,MEDIUM
ANT,15.0,97.851,MEDIUM
ANT,16.0,97.705,MEDIUM
ANT,17.0,97.529,MEDIUM
ANT,18.0,97.73,MEDIUM
ANT,19.0,97.704,MEDIUM
ANT,20.0,97.744,MEDIUM
ANT,21.0,97.466,MEDIUM
ANT,22.0,96.842,MEDIUM
ANT,23.0,97.176,MEDIUM
ANT,24.0,96.971,MEDIUM
ANT,25.0,102.347,MEDIUM
ANT,26.0,114.51,HARD
ANT,27.0,95.303,HARD
ANT,28.0,96.339,HARD
ANT,29.0,96.676,HARD
ANT,30.0,96.351,HARD
ANT,31.0,96.808,HARD
ANT,32.0,97.339,HARD
ANT,33.0,96.324,HARD
ANT,34.0,96.64,HARD
ANT,35.0,95.984,HARD
ANT,36.0,96.426,HARD
ANT,37.0,96.431,HARD
ANT,38.0,96.73,HARD
ANT,39.0,96.49,HARD
ANT,40.0,96.189,HARD
ANT,41.0,95.997,HARD
ANT,42.0,96.022,HARD
ANT,43.0,96.406,HARD
ANT,44.0,96.331,HARD
ANT,45.0,96.586,HARD
ANT,46.0,96.744,HARD
ANT,47.0,96.486,HARD
ANT,48.0,96.136,HARD
ANT,49.0,97.413,HARD
ANT,50.0,96.287,HARD
ANT,51.0,97.036,HARD
ANT,52.0,97.788,HARD
ANT,53.0,97.875,HARD
ANT,54.0,96.969,HARD
ANT,55.0,96.558,HARD
ANT,56.0,96.629,HARD
ANT,57.0,96.303,HARD
ANT,58.0,96.307,HARD
ANT,59.0,97.901,HARD
ANT,60.0,96.757,HARD
ANT,61.0,96.394,HARD
ANT,62.0,99.323,HARD
NOR,2.0,99.639,MEDIUM
NOR,3.0,98.753,MEDIUM
NOR,4.0,98.211,MEDIUM
NOR,5.0,98.066,MEDIUM
NOR,6.0,97.597,MEDIUM
NOR,7.0,97.199,MEDIUM
NOR,8.0,97.032,MEDIUM
NOR,9.0,97.125,MEDIUM
NOR,10.0,97.259,MEDIUM
NOR,11.0,97.13,MEDIUM
NOR,12.0,97.157,MEDIUM
NOR,13.0,97.04,MEDIUM
NOR,14.0,97.333,MEDIUM
NOR,15.0,97.198,MEDIUM
NOR,16.0,97.329,MEDIUM
NOR,17.0,97.177,MEDIUM
NOR,18.0,97.444,MEDIUM
NOR,19.0,97.559,MEDIUM
NOR,20.0,97.016,MEDIUM
NOR,21.0,96.638,MEDIUM
NOR,22.0,96.688,MEDIUM
NOR,23.0,96.81,MEDIUM
NOR,24.0,96.959,MEDIUM
NOR,25.0,97.153,MEDIUM
NOR,26.0,102.705,MEDIUM
NOR,27.0,111.946,HARD
NOR,28.0,95.623,HARD
NOR,29.0,95.697,HARD
NOR,30.0,95.765,HARD
NOR,31.0,95.721,HARD
NOR,32.0,95.636,HARD
NOR,33.0,95.709,HARD
NOR,34.0,95.847,HARD
NOR,35.0,95.987,HARD
NOR,36.0,95.555,HARD
NOR,37.0,95.996,HARD
NOR,38.0,96.0,HARD
NOR,39.0,95.926,HARD
NOR,40.0,96.261,HARD
NOR,41.0,97.06,HARD
NOR,42.0,96.631,HARD
NOR,43.0,96.633,HARD
NOR,44.0,96.381,HARD
NOR,45.0,97.45,HARD
