Driver,LapNumber,LapTime,Compound
VER,2.0,98.797,HARD
VER,4.0,96.192,HARD
VER,6.0,95.426,HARD
VER,8.0,95.68,HARD
VER,9.0,122.616,HARD
VER,11.0,99.824,HARD
VER,12.0,100.058,HARD
VER,13.0,105.657,HARD
VER,14.0,99.71,HARD
VER,15.0,99.431,HARD
VER,16.0,99.236,HARD
VER,17.0,98.883,HARD
VER,18.0,98.747,HARD
VER,19.0,100.546,HARD
VER,21.0,93.648,SOFT
VER,24.0,141.261,SOFT
VER,25.0,121.442,SOFT
VER,26.0,136.585,SOFT
NOR,2.0,97.546,HARD
NOR,4.0,96.126,HARD
NOR,6.0,95.786,HARD
NOR,7.0,120.456,HARD
NOR,9.0,122.609,HARD
NOR,10.0,95.397,HARD
NOR,11.0,148.037,HARD
NOR,12.0,105.748,HARD
NOR,13.0,96.823,HARD
NOR,14.0,96.901,HARD
NOR,15.0,97.043,HARD
NOR,16.0,97.876,HARD
NOR,17.0,98.009,HARD
NOR,19.0,93.294,SOFT
NOR,21.0,118.123,SOFT
NOR,22.0,137.304,SOFT
BOR,2.0,99.372,HARD
BOR,4.0,146.515,HARD
BOR,5.0,97.59,HARD
BOR,7.0,97.976,HARD
BOR,8.0,145.413,HARD
BOR,10.0,97.171,HARD
BOR,11.0,145.471,HARD
BOR,12.0,96.696,HARD
BOR,14.0,96.398,HARD
BOR,15.0,109.794,HARD
BOR,16.0,98.631,HARD
BOR,17.0,100.128,HARD
BOR,19.0,94.478,SOFT
BOR,21.0,142.323,SOFT
BOR,22.0,94.935,SOFT
HAD,2.0,116.98,HARD
HAD,3.0,97.573,HARD
HAD,5.0,97.15,HARD
HAD,7.0,136.599,HARD
HAD,8.0,96.261,HARD
HAD,11.0,101.378,HARD
HAD,12.0,100.676,HARD
HAD,13.0,99.803,HARD
HAD,14.0,99.814,HARD
HAD,15.0,99.477,HARD
HAD,16.0,99.064,HARD
HAD,17.0,99.77,HARD
HAD,19.0,132.97,MEDIUM
HAD,20.0,94.965,MEDIUM
HAD,21.0,135.49,MEDIUM
HAD,23.0,94.155,MEDIUM
HAD,25.0,138.097,MEDIUM
GAS,2.0,99.478,HARD
GAS,3.0,149.159,HARD
GAS,4.0,97.921,HARD
GAS,6.0,96.819,HARD
GAS,8.0,96.541,HARD
GAS,9.0,135.732,HARD
GAS,11.0,104.777,HARD
GAS,12.0,120.164,HARD
GAS,13.0,98.703,HARD
GAS,14.0,98.824,HARD
GAS,15.0,98.95,HARD
GAS,16.0,98.37,HARD
GAS,17.0,99.016,HARD
GAS,19.0,94.704,SOFT
GAS,22.0,94.665,SOFT
GAS,24.0,133.506,SOFT
ANT,2.0,100.008,HARD
ANT,4.0,98.07,HARD
ANT,6.0,96.943,HARD
ANT,8.0,96.178,HARD
ANT,9.0,127.411,HARD
ANT,11.0,100.78,HARD
ANT,12.0,100.907,HARD
ANT,13.0,104.702,HARD
ANT,14.0,99.416,HARD
ANT,15.0,98.834,HARD
ANT,16.0,98.586,HARD
ANT,17.0,98.488,HARD
ANT,18.0,98.684,HARD
ANT,19.0,99.472,HARD
ANT,20.0,114.697,HARD
ANT,22.0,122.212,MEDIUM
ANT,24.0,94.737,MEDIUM
ANT,26.0,148.254,MEDIUM
ALO,3.0,97.653,HARD
ALO,4.0,139.771,HARD
ALO,5.0,96.505,HARD
ALO,7.0,96.259,HARD
ALO,8.0,126.547,HARD
ALO,10.0,96.497,HARD
ALO,11.0,141.938,HARD
ALO,12.0,96.389,HARD
ALO,13.0,99.402,HARD
ALO,14.0,99.202,HARD
ALO,15.0,99.0,HARD
ALO,16.0,98.341,HARD
ALO,17.0,103.291,HARD
ALO,19.0,93.639,SOFT
ALO,20.0,144.192,SOFT
ALO,22.0,127.283,HARD
ALO,23.0,145.476,HARD
LEC,2.0,103.433,HARD
LEC,4.0,96.966,HARD
LEC,6.0,119.499,HARD
LEC,7.0,96.08,HARD
LEC,11.0,115.589,HARD
LEC,12.0,96.082,HARD
LEC,13.0,124.618,HARD
LEC,14.0,97.405,HARD
LEC,15.0,97.823,HARD
LEC,16.0,98.183,HARD
LEC,17.0,101.089,HARD
STR,3.0,98.416,HARD
STR,4.0,97.046,HARD
STR,6.0,96.556,HARD
STR,8.0,96.409,HARD
STR,11.0,119.757,HARD
STR,12.0,97.265,HARD
STR,13.0,99.736,HARD
STR,14.0,99.45,HARD
STR,15.0,98.895,HARD
STR,16.0,99.039,HARD
STR,17.0,112.261,HARD
STR,19.0,94.61,SOFT
STR,22.0,115.512,SOFT
STR,23.0,115.144,SOFT
TSU,2.0,99.32,HARD
TSU,4.0,96.514,HARD
TSU,6.0,95.755,HARD
TSU,8.0,135.654,HARD
TSU,9.0,105.35,HARD
TSU,11.0,99.975,HARD
TSU,12.0,100.094,HARD
TSU,13.0,100.105,HARD
TSU,14.0,100.388,HARD
TSU,15.0,100.066,HARD
TSU,16.0,99.678,HARD
TSU,17.0,102.024,HARD
TSU,19.0,94.531,SOFT
TSU,23.0,137.215,SOFT
TSU,24.0,146.34,SOFT
ALB,2.0,98.638,HARD
ALB,3.0,139.844,HARD
ALB,4.0,96.377,HARD
ALB,6.0,98.087,HARD
ALB,8.0,138.755,HARD
ALB,11.0,99.547,HARD
ALB,12.0,145.067,HARD
ALB,13.0,99.491,HARD
ALB,14.0,98.775,HARD
ALB,15.0,98.427,HARD
ALB,16.0,98.228,HARD
ALB,17.0,98.27,HARD
ALB,18.0,98.347,HARD
ALB,19.0,102.0,HARD
ALB,22.0,137.216,SOFT
