Driver,LapNumber,LapTime,Compound
NOR,2.0,94.322,MEDIUM
NOR,3.0,136.425,MEDIUM
NOR,4.0,143.696,MEDIUM
NOR,5.0,93.224,MEDIUM
NOR,6.0,122.429,MEDIUM
NOR,8.0,93.033,MEDIUM
NOR,9.0,130.989,MEDIUM
NOR,11.0,92.214,SOFT
NOR,12.0,128.568,SOFT
HUL,2.0,94.758,MEDIUM
HUL,3.0,132.44,MEDIUM
HUL,5.0,94.236,MEDIUM
HUL,6.0,126.696,MEDIUM
HUL,8.0,93.577,MEDIUM
HUL,9.0,129.049,MEDIUM
HUL,11.0,92.645,SOFT
HUL,12.0,134.184,SOFT
PIA,2.0,94.292,MEDIUM
PIA,3.0,135.649,MEDIUM
PIA,4.0,133.822,MEDIUM
PIA,5.0,93.889,MEDIUM
PIA,6.0,124.423,MEDIUM
PIA,8.0,93.371,MEDIUM
PIA,9.0,134.503,MEDIUM
PIA,10.0,137.258,MEDIUM
PIA,12.0,92.523,SOFT
PIA,13.0,131.112,SOFT
ALO,2.0,94.737,MEDIUM
ALO,3.0,138.673,MEDIUM
ALO,6.0,93.951,MEDIUM
ALO,7.0,136.301,MEDIUM
ALO,8.0,136.131,MEDIUM
ALO,9.0,122.8,MEDIUM
ALO,11.0,92.91,SOFT
VER,2.0,94.14,MEDIUM
VER,3.0,137.497,MEDIUM
VER,4.0,141.589,MEDIUM
VER,5.0,93.363,MEDIUM
VER,6.0,116.258,MEDIUM
VER,8.0,93.163,MEDIUM
VER,9.0,138.286,MEDIUM
VER,11.0,92.143,SOFT
VER,12.0,130.416,SOFT
ALB,2.0,95.334,MEDIUM
ALB,3.0,132.294,MEDIUM
ALB,5.0,94.472,MEDIUM
ALB,6.0,128.475,MEDIUM
ALB,8.0,93.831,MEDIUM
ALB,9.0,128.526,MEDIUM
ALB,11.0,121.988,MEDIUM
ALB,13.0,93.099,SOFT
ALB,14.0,126.029,SOFT
RUS,2.0,94.653,MEDIUM
RUS,3.0,137.745,MEDIUM
RUS,4.0,137.699,MEDIUM
RUS,5.0,110.537,MEDIUM
RUS,7.0,93.462,MEDIUM
RUS,8.0,141.436,MEDIUM
RUS,9.0,147.46,MEDIUM
RUS,10.0,110.082,MEDIUM
RUS,12.0,92.888,SOFT
RUS,13.0,133.327,SOFT
HAM,2.0,94.226,MEDIUM
HAM,3.0,133.629,MEDIUM
HAM,5.0,135.504,MEDIUM
HAM,7.0,94.089,MEDIUM
HAM,8.0,123.209,MEDIUM
HAM,9.0,121.364,MEDIUM
HAM,10.0,94.012,MEDIUM
HAM,11.0,119.718,MEDIUM
HAM,13.0,93.035,SOFT
HAM,14.0,132.738,SOFT
HAD,2.0,94.856,MEDIUM
HAD,3.0,136.399,MEDIUM
HAD,5.0,94.243,MEDIUM
HAD,6.0,120.1,MEDIUM
HAD,8.0,94.241,MEDIUM
HAD,9.0,127.188,MEDIUM
BEA,2.0,95.159,MEDIUM
BEA,3.0,133.0,MEDIUM
BEA,5.0,130.684,MEDIUM
OCO,2.0,96.003,MEDIUM
OCO,3.0,128.235,MEDIUM
OCO,5.0,129.903,MEDIUM
BOR,2.0,96.313,MEDIUM
BOR,3.0,134.393,MEDIUM
BOR,5.0,130.734,MEDIUM
TSU,2.0,95.259,MEDIUM
TSU,3.0,148.821,MEDIUM
TSU,5.0,130.992,MEDIUM
STR,2.0,94.988,MEDIUM
STR,3.0,131.622,MEDIUM
STR,5.0,125.088,MEDIUM
STR,7.0,94.394,MEDIUM
STR,8.0,139.173,MEDIUM
STR,9.0,129.118,MEDIUM
STR,10.0,118.024,MEDIUM
LAW,2.0,94.603,MEDIUM
LAW,3.0,127.24,MEDIUM
LAW,5.0,129.576,MEDIUM
LAW,7.0,94.316,MEDIUM
LAW,8.0,124.406,MEDIUM
COL,2.0,96.6,MEDIUM
COL,3.0,136.018,MEDIUM
COL,5.0,95.246,MEDIUM
COL,6.0,125.573,MEDIUM
GAS,2.0,95.358,MEDIUM
GAS,3.0,141.464,MEDIUM
GAS,4.0,139.204,MEDIUM
GAS,5.0,95.144,MEDIUM
GAS,6.0,124.699,MEDIUM
GAS,8.0,94.258,MEDIUM
GAS,9.0,128.855,MEDIUM
ANT,2.0,94.414,MEDIUM
ANT,3.0,131.956,MEDIUM
ANT,4.0,148.416,MEDIUM
ANT,5.0,122.312,MEDIUM
ANT,7.0,94.068,MEDIUM
ANT,8.0,131.934,MEDIUM
ANT,9.0,149.291,MEDIUM
ANT,10.0,94.018,MEDIUM
ANT,11.0,122.623,MEDIUM
SAI,2.0,94.637,MEDIUM
SAI,3.0,138.458,MEDIUM
SAI,5.0,94.239,MEDIUM
SAI,6.0,122.778,MEDIUM
SAI,8.0,93.652,MEDIUM
SAI,9.0,121.099,MEDIUM
SAI,11.0,114.942,MEDIUM
SAI,13.0,92.911,SOFT
SAI,14.0,125.869,SOFT
LEC,2.0,95.347,MEDIUM
LEC,3.0,132.945,MEDIUM
LEC,4.0,139.88,MEDIUM
LEC,5.0,94.913,MEDIUM
LEC,6.0,130.679,MEDIUM
LEC,8.0,94.284,MEDIUM
LEC,9.0,125.371,MEDIUM
LEC,10.0,125.329,MEDIUM
LEC,11.0,93.938,MEDIUM
LEC,12.0,120.885,MEDIUM
LEC,14.0,93.104,SOFT
