Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-10-17 21:12:46,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-10-17 21:15:13,Other,RISK OF RAIN FOR F1 SPRINT QUALIFYING IS 0%,,,,,,
2025-10-17 21:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-10-17 21:35:06,Other,CAR 5 (BOR) TIME 1:36.313 DELETED - TRACK LIMITS AT TURN 19 LAP 3 16:34:16,,,,,,
2025-10-17 21:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-10-17 21:42:06,Other,FIRST CAR TO TAKE THE FLAG - CAR 18 (STR),,,,,,
2025-10-17 21:45:55,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 6 (HAD), 22 (TSU), 23 (ALB), 4 (NOR), 1 (VER), 63 (RUS), 27 (HUL), 12 (ANT) AND 18 (STR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-10-17 21:46:13,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 6 (HAD), 22 (TSU), 23 (ALB), 4 (NOR), 1 (VER), 63 (RUS), 27 (HUL), 12 (ANT) AND 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-10-17 21:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-10-17 21:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-10-17 21:59:09,Other,CAR 30 (LAW) TIME 1:34.316 DELETED - TRACK LIMITS AT TURN 19 LAP 8 16:58:36,,,,,,
2025-10-17 21:59:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB),,,,,,
2025-10-17 22:02:43,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-10-17 22:03:18,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-10-17 22:04:03,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 7 LAP 11 16:57:42,,,,,,
2025-10-17 22:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-10-17 22:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-10-17 22:14:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 4 (NOR),,,,,,
2025-10-17 22:17:08,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 6 (HAD), 22 (TSU), 23 (ALB), 4 (NOR), 1 (VER), 63 (RUS), 27 (HUL), 12 (ANT) AND 18 (STR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-10-17 22:17:13,Other,FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-10-17 22:24:28,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-10-17 22:24:31,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
