Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-10-18 16:16:53,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-10-18 16:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0
2025-10-18 16:35:01,Other,PIT EXIT CLOSED,,,,,,1.0
2025-10-18 16:45:12,Other,RISK OF RAIN FOR F1 SPRINT IS 0 %,,,,,,1.0
2025-10-18 16:57:36,Drs,DRS DISABLED,DISABLED,,,,,1.0
2025-10-18 17:03:49,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1.0
2025-10-18 17:04:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,1.0
2025-10-18 17:04:16,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,1.0
2025-10-18 17:04:18,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,,1.0
2025-10-18 17:04:23,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 4,,,,,,1.0
2025-10-18 17:04:28,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,1.0
2025-10-18 17:04:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,1.0
2025-10-18 17:04:39,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 9,,,,,,1.0
2025-10-18 17:04:46,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1.0
2025-10-18 17:04:47,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1.0
2025-10-18 17:04:47,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,1.0
2025-10-18 17:06:59,Other,RECOVERY VEHICLE ON TRACK AT TURN 2,,,,,,2.0
2025-10-18 17:08:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,2.0
2025-10-18 17:09:11,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,3.0
2025-10-18 17:10:01,Other,RECOVERY VEHICLE ON TRACK AT TURN 9,,,,,,3.0
2025-10-18 17:12:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,4.0
2025-10-18 17:12:35,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,4.0
2025-10-18 17:12:36,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,4.0
2025-10-18 17:13:36,Other,LAP 1 TURN 1 INCIDENT NOTED,,,,,,4.0
2025-10-18 17:13:54,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,5.0
2025-10-18 17:14:07,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,5.0
2025-10-18 17:15:53,Flag,TRACK CLEAR,,CLEAR,Track,,,5.0
2025-10-18 17:16:31,Other,FIA STEWARDS: LAP 1 TURN 1 INCIDENT REVIEWED NO FURTHER INVESTIGATION,,,,,,6.0
2025-10-18 17:17:40,Drs,DRS ENABLED,ENABLED,,,,,7.0
2025-10-18 17:19:48,Other,INCIDENT INVOLVING CAR 16 (LEC) NOTED - SAFETY CAR INFRINGEMENT,,,,,,8.0
2025-10-18 17:19:56,Other,CAR 5 (BOR) TIME 1:39.646 DELETED - TRACK LIMITS AT TURN 9 LAP 6 12:16:44,,,,,,8.0
2025-10-18 17:20:38,Other,CAR 5 (BOR) TIME 1:38.746 DELETED - TRACK LIMITS AT TURN 9 LAP 7 12:18:23,,,,,,8.0
2025-10-18 17:20:39,Other,CAR 63 (RUS) TIME 1:36.556 DELETED - TRACK LIMITS AT TURN 15 LAP 7 12:18:55,,,,,,8.0
2025-10-18 17:21:20,Other,CAR 27 (HUL) TIME 1:38.917 DELETED - TRACK LIMITS AT TURN 9 LAP 8 12:20:04,,,,,,9.0
2025-10-18 17:22:22,Other,TURN 12 INCIDENT INVOLVING CARS 63 (RUS) AND 1 (VER) NOTED - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,9.0
2025-10-18 17:23:28,Other,FIA STEWARDS: TURN 12 INCIDENT INVOLVING CARS 63 (RUS) AND 1 (VER) REVIEWED NO FURTHER INVESTIGATION - FORCING ANOTHER DRIVER OFF THE TRACK,,,,,,10.0
2025-10-18 17:24:00,Other,CAR 30 (LAW) TIME 1:39.105 DELETED - TRACK LIMITS AT TURN 9 LAP 9 12:21:39,,,,,,10.0
2025-10-18 17:24:09,Other,CAR 43 (COL) TIME 1:39.308 DELETED - TRACK LIMITS AT TURN 12 LAP 8 12:20:35,,,,,,11.0
2025-10-18 17:24:10,Other,CAR 6 (HAD) TIME 1:39.018 DELETED - TRACK LIMITS AT TURN 15 LAP 9 12:22:27,,,,,,11.0
2025-10-18 17:25:18,Other,CAR 10 (GAS) TIME 1:40.413 DELETED - TRACK LIMITS AT TURN 12 LAP 9 12:22:08,,,,,,11.0
2025-10-18 17:25:41,Other,CAR 63 (RUS) TIME 1:37.857 DELETED - TRACK LIMITS AT TURN 12 LAP 8 12:20:18,,,,,,11.0
2025-10-18 17:26:10,Other,CAR 1 (VER) TIME 1:37.895 DELETED - TRACK LIMITS AT TURN 12 LAP 8 12:20:19,,,,,,12.0
2025-10-18 17:26:44,Other,CAR 30 (LAW) TIME 1:39.105 DELETED - TRACK LIMITS AT TURN 11 LAP 9 12:21:50,,,,,,12.0
2025-10-18 17:27:14,Other,CAR 6 (HAD) TIME 1:39.959 DELETED - TRACK LIMITS AT TURN 9 LAP 11 12:25:02,,,,,,12.0
2025-10-18 17:27:32,Other,CAR 44 (HAM) TIME 1:38.574 DELETED - TRACK LIMITS AT TURN 9 LAP 12 12:26:25,,,,,,13.0
