Driver,LapNumber,GapTime
VER,0.667,2.481
GAS,0.667,7.701
ANT,0.667,4.014
ALO,0.667,7.444
LEC,0.667,1.2570000000000001
STR,0.667,12.376
TSU,0.667,4.473
ALB,0.667,8.299
HUL,0.667,7.814
LAW,0.667,7.374
OCO,0.667,5.083
NOR,0.667,0.0
COL,0.667,14.07
HAM,0.667,1.932
BOR,0.667,6.426
SAI,0.667,5.973
HAD,0.667,5.364
RUS,0.667,3.115
PIA,0.667,4.708
BEA,0.667,3.581
VER,1.000,3.228
GAS,1.000,9.656
ANT,1.000,4.916
ALO,1.000,10.02
LEC,1.000,1.812
STR,1.000,13.913
TSU,1.000,5.478
ALB,1.000,10.691
HUL,1.000,10.383
LAW,1.000,9.247
OCO,1.000,6.385
NOR,1.000,0.0
COL,1.000,15.334
HAM,1.000,2.541
BOR,1.000,7.9030000000000005
SAI,1.000,7.584
HAD,1.000,7.084
RUS,1.000,3.871
PIA,1.000,5.95
BEA,1.000,4.359
VER,1.333,2.926
GAS,1.333,10.236
ANT,1.333,4.864
ALO,1.333,10.565
LEC,1.333,1.466
STR,1.333,13.83
TSU,1.333,5.429
ALB,1.333,11.296
HUL,1.333,11.023
LAW,1.333,9.718
OCO,1.333,6.444
NOR,1.333,0.0
COL,1.333,16.059
HAM,1.333,2.3970000000000002
BOR,1.333,8.299
SAI,1.333,7.861
HAD,1.333,7.045
RUS,1.333,3.684
PIA,1.333,5.971
BEA,1.333,4.273
VER,1.667,3.354
GAS,1.667,11.779
ANT,1.667,5.324
ALO,1.667,11.718
LEC,1.667,1.834
STR,1.667,14.817
TSU,1.667,5.932
ALB,1.667,13.09
HUL,1.667,12.478
LAW,1.667,11.579
OCO,1.667,6.969
NOR,1.667,0.0
COL,1.667,17.007
HAM,1.667,2.733
BOR,1.667,9.112
SAI,1.667,8.439
HAD,1.667,7.521
RUS,1.667,3.8609999999999998
PIA,1.667,6.433
BEA,1.667,4.714
VER,2.000,3.364
GAS,2.000,14.093
ANT,2.000,5.373
ALO,2.000,13.061
LEC,2.000,1.675
STR,2.000,15.549
TSU,2.000,6.152
ALB,2.000,14.692
HUL,2.000,14.368
LAW,2.000,17.015
OCO,2.000,7.255
NOR,2.000,0.0
COL,2.000,17.565
HAM,2.000,2.69
BOR,2.000,9.326
SAI,2.000,8.542
HAD,2.000,7.805
RUS,2.000,3.977
PIA,2.000,6.694
BEA,2.000,4.728
VER,2.333,2.697
GAS,2.333,14.341
ANT,2.333,4.602
ALO,2.333,12.994
LEC,2.333,1.375
STR,2.333,15.755
TSU,2.333,5.341
ALB,2.333,14.756
HUL,2.333,14.849
LAW,2.333,50.257
OCO,2.333,6.282
NOR,2.333,0.0
COL,2.333,17.872
HAM,2.333,1.9929999999999999
BOR,2.333,8.551
SAI,2.333,7.98
HAD,2.333,6.983
RUS,2.333,3.34
PIA,2.333,5.641
BEA,2.333,4.092
VER,2.667,3.138
GAS,2.667,15.353
ANT,2.667,5.333
ALO,2.667,13.21
LEC,2.667,1.788
STR,2.667,17.33
TSU,2.667,6.024
ALB,2.667,16.063
HUL,2.667,18.097
LAW,2.667,51.967
OCO,2.667,7.113
NOR,2.667,0.0
COL,2.667,19.118
HAM,2.667,2.49
BOR,2.667,9.706
SAI,2.667,8.943999999999999
HAD,2.667,7.658
RUS,2.667,3.992
PIA,2.667,6.5120000000000005
BEA,2.667,4.718
VER,3.000,3.4779999999999998
GAS,3.000,15.785
ANT,3.000,5.787
ALO,3.000,13.584
LEC,3.000,1.912
STR,3.000,17.735
TSU,3.000,6.623
ALB,3.000,16.632
HUL,3.000,18.648
LAW,3.000,52.884
OCO,3.000,7.632
NOR,3.000,0.0
COL,3.000,19.877
HAM,3.000,2.895
BOR,3.000,10.855
SAI,3.000,9.36
HAD,3.000,8.37
RUS,3.000,4.322
PIA,3.000,7.015
BEA,3.000,5.061
VER,3.333,2.862
GAS,3.333,15.856
ANT,3.333,4.931
ALO,3.333,13.516
LEC,3.333,1.6909999999999998
STR,3.333,17.701
TSU,3.333,5.92
ALB,3.333,16.267
HUL,3.333,18.401
LAW,3.333,53.412
OCO,3.333,6.861
NOR,3.333,0.0
COL,3.333,20.309
HAM,3.333,2.213
BOR,3.333,10.697
SAI,3.333,8.873
HAD,3.333,7.59
RUS,3.333,3.66
PIA,3.333,6.419
BEA,3.333,4.348
VER,3.667,3.5380000000000003
GAS,3.667,16.795
ANT,3.667,5.769
ALO,3.667,13.969
LEC,3.667,1.8599999999999999
STR,3.667,18.358
TSU,3.667,6.7379999999999995
ALB,3.667,17.25
HUL,3.667,19.296
LAW,3.667,54.693
OCO,3.667,7.921
NOR,3.667,0.0
COL,3.667,21.396
HAM,3.667,2.844
BOR,3.667,11.159
SAI,3.667,9.676
HAD,3.667,8.537
RUS,3.667,4.445
PIA,3.667,7.188
BEA,3.667,5.206
VER,4.000,3.815
GAS,4.000,17.166
ANT,4.000,6.356
ALO,4.000,14.099
LEC,4.000,1.938
STR,4.000,18.801
TSU,4.000,7.269
ALB,4.000,17.822
HUL,4.000,19.57
LAW,4.000,55.558
OCO,4.000,8.452
NOR,4.000,0.0
COL,4.000,21.995
HAM,4.000,2.991
BOR,4.000,11.86
SAI,4.000,10.232
HAD,4.000,9.1
RUS,4.000,4.694
PIA,4.000,7.784
BEA,4.000,5.621
VER,4.333,3.451
GAS,4.333,18.571
ANT,4.333,5.765
ALO,4.333,14.049
LEC,4.333,1.6440000000000001
STR,4.333,18.922
TSU,4.333,6.7940000000000005
ALB,4.333,18.107
HUL,4.333,19.558
LAW,4.333,56.383
OCO,4.333,7.871
NOR,4.333,0.0
COL,4.333,22.528
HAM,4.333,2.84
BOR,4.333,11.854
SAI,4.333,10.1
HAD,4.333,8.66
RUS,4.333,4.29
PIA,4.333,7.172
BEA,4.333,5.121
VER,4.667,3.625
GAS,4.667,19.874
ANT,4.667,6.279
ALO,4.667,14.221
LEC,4.667,1.8050000000000002
STR,4.667,20.174
TSU,4.667,7.163
ALB,4.667,19.047
HUL,4.667,20.615
LAW,4.667,57.519
OCO,4.667,8.452
NOR,4.667,0.0
COL,4.667,23.526
HAM,4.667,2.941
BOR,4.667,12.228
SAI,4.667,10.61
