Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-11-07 14:15:06,Other,PINK HEAD PADDING MATERIAL MUST BE USED,,,,,,
2025-11-07 14:15:12,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 0%,,,,,,
2025-11-07 14:22:12,Other,START OF FREE PRACTICE 1 WILL BE DELAYED,,,,,,
2025-11-07 14:29:01,Other,SESSION WILL START AT 11:35,,,,,,
2025-11-07 14:35:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-07 14:37:51,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2025-11-07 14:37:52,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2025-11-07 14:41:31,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2025-11-07 14:41:35,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-11-07 15:11:03,Other,TURN 6 INCIDENT INVOLVING CARS 1 (VER) AND 63 (RUS) NOTED - IMPEDING,,,,,,
2025-11-07 15:13:16,Other,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 1 (VER) AND 63 (RUS) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2025-11-07 15:34:48,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2025-11-07 15:34:51,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-11-07 15:35:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-07 15:35:10,Other,FIRST CAR TO TAKE THE FLAG - CAR 87 (BEA),,,,,,
