Driver,LapNumber,LapTime,Compound
NOR,2.0,70.404,SOFT
NOR,3.0,112.994,SOFT
NOR,4.0,115.38,SOFT
NOR,5.0,70.249,SOFT
NOR,6.0,96.284,SOFT
NOR,8.0,69.656,SOFT
NOR,9.0,101.312,SOFT
NOR,11.0,69.93,SOFT
NOR,12.0,93.665,SOFT
NOR,14.0,69.616,SOFT
NOR,15.0,95.735,SOFT
NOR,17.0,70.548,SOFT
NOR,18.0,85.489,SOFT
NOR,20.0,69.511,SOFT
NOR,21.0,105.59,SOFT
ANT,2.0,70.192,SOFT
ANT,3.0,101.058,SOFT
ANT,5.0,90.696,SOFT
ANT,7.0,69.774,SOFT
ANT,8.0,95.329,SOFT
ANT,10.0,78.532,SOFT
ANT,12.0,70.002,SOFT
ANT,13.0,89.983,SOFT
ANT,15.0,69.685,SOFT
ANT,16.0,97.71,SOFT
LEC,2.0,70.899,MEDIUM
LEC,3.0,103.078,MEDIUM
LEC,4.0,106.005,MEDIUM
LEC,5.0,70.434,MEDIUM
LEC,6.0,87.036,MEDIUM
LEC,8.0,69.934,SOFT
LEC,9.0,101.426,SOFT
LEC,11.0,85.982,SOFT
LEC,12.0,70.24,SOFT
LEC,13.0,86.783,SOFT
LEC,15.0,69.801,SOFT
LEC,16.0,98.185,SOFT
LEC,18.0,69.899,SOFT
LEC,19.0,90.087,SOFT
LEC,21.0,69.805,SOFT
LEC,22.0,109.226,SOFT
PIA,2.0,71.845,SOFT
PIA,3.0,97.297,SOFT
PIA,5.0,69.928,SOFT
PIA,6.0,99.883,SOFT
PIA,8.0,113.832,SOFT
PIA,10.0,69.835,SOFT
PIA,11.0,102.749,SOFT
PIA,13.0,84.129,SOFT
PIA,15.0,69.897,SOFT
PIA,16.0,91.937,SOFT
PIA,18.0,69.886,SOFT
HAD,2.0,71.209,SOFT
HAD,3.0,110.552,SOFT
HAD,4.0,107.701,SOFT
HAD,5.0,70.286,SOFT
HAD,6.0,88.662,SOFT
HAD,8.0,70.083,SOFT
HAD,9.0,103.688,SOFT
HAD,11.0,69.97,SOFT
HAD,12.0,105.211,SOFT
HAD,14.0,70.197,SOFT
HAD,15.0,95.097,SOFT
HAD,17.0,70.298,SOFT
HAD,18.0,87.536,SOFT
HAD,20.0,69.931,SOFT
RUS,2.0,70.382,SOFT
RUS,3.0,95.169,SOFT
RUS,5.0,69.935,SOFT
RUS,6.0,102.325,SOFT
RUS,8.0,69.88,SOFT
RUS,9.0,93.631,SOFT
RUS,12.0,70.063,SOFT
RUS,13.0,89.623,SOFT
RUS,15.0,69.942,MEDIUM
LAW,2.0,70.543,SOFT
LAW,3.0,96.361,SOFT
LAW,4.0,110.574,SOFT
LAW,5.0,70.501,SOFT
LAW,6.0,94.445,SOFT
LAW,8.0,70.108,SOFT
LAW,9.0,97.552,SOFT
LAW,11.0,69.95,SOFT
LAW,12.0,94.879,SOFT
LAW,14.0,70.007,SOFT
LAW,15.0,96.444,SOFT
LAW,17.0,70.21,SOFT
LAW,18.0,89.846,SOFT
LAW,20.0,69.962,SOFT
BEA,2.0,70.664,SOFT
BEA,3.0,101.567,SOFT
BEA,5.0,69.891,SOFT
BEA,6.0,98.648,SOFT
BEA,8.0,80.12,SOFT
BEA,10.0,69.755,SOFT
BEA,11.0,101.948,SOFT
BEA,13.0,93.575,SOFT
BEA,15.0,69.977,SOFT
BEA,16.0,100.481,SOFT
BEA,18.0,70.064,SOFT
GAS,2.0,71.53,MEDIUM
GAS,3.0,99.388,MEDIUM
GAS,5.0,70.126,SOFT
GAS,6.0,101.499,SOFT
GAS,8.0,69.885,SOFT
GAS,9.0,102.334,SOFT
GAS,11.0,70.153,SOFT
GAS,12.0,98.084,SOFT
GAS,14.0,69.857,SOFT
GAS,15.0,99.152,SOFT
GAS,17.0,70.161,SOFT
GAS,18.0,97.263,SOFT
GAS,20.0,70.002,SOFT
HUL,2.0,75.885,SOFT
HUL,3.0,109.19,SOFT
HUL,4.0,70.475,SOFT
HUL,5.0,105.663,SOFT
HUL,6.0,123.094,SOFT
HUL,7.0,70.337,SOFT
HUL,8.0,80.845,SOFT
HUL,10.0,70.713,SOFT
HUL,11.0,101.781,SOFT
HUL,13.0,70.471,SOFT
HUL,14.0,83.764,SOFT
HUL,16.0,69.985,SOFT
HUL,17.0,98.028,SOFT
HUL,19.0,70.386,SOFT
HUL,20.0,96.373,SOFT
HUL,22.0,70.039,SOFT
HUL,23.0,110.265,SOFT
ALO,2.0,71.135,MEDIUM
ALO,3.0,99.446,MEDIUM
ALO,5.0,70.226,SOFT
ALO,6.0,102.42,SOFT
ALO,8.0,70.181,SOFT
ALO,9.0,100.314,SOFT
ALO,11.0,70.001,SOFT
ALO,12.0,98.502,SOFT
ALO,14.0,70.158,SOFT
ALO,15.0,103.709,SOFT
ALB,2.0,125.818,SOFT
ALB,3.0,70.847,SOFT
ALB,4.0,95.018,SOFT
ALB,6.0,70.115,SOFT
ALB,7.0,88.948,SOFT
ALB,9.0,98.198,SOFT
ALB,11.0,70.351,SOFT
ALB,12.0,83.823,SOFT
ALB,13.0,120.614,SOFT
ALB,14.0,70.053,SOFT
ALB,15.0,90.969,SOFT
ALB,17.0,70.325,SOFT
ALB,18.0,95.283,SOFT
HAM,2.0,96.558,SOFT
HAM,3.0,70.233,SOFT
HAM,4.0,118.332,SOFT
HAM,6.0,89.38,SOFT
HAM,8.0,70.016,SOFT
HAM,9.0,100.024,SOFT
HAM,11.0,70.108,SOFT
HAM,12.0,102.068,SOFT
HAM,14.0,89.333,SOFT
HAM,15.0,70.1,SOFT
HAM,16.0,100.562,SOFT
STR,2.0,70.981,MEDIUM
STR,3.0,98.607,MEDIUM
STR,4.0,128.752,SOFT
STR,5.0,70.221,SOFT
STR,6.0,97.363,SOFT
STR,8.0,70.041,SOFT
STR,9.0,100.821,SOFT
STR,11.0,70.161,SOFT
STR,12.0,98.345,SOFT
STR,14.0,70.394,SOFT
STR,15.0,100.969,SOFT
SAI,2.0,128.293,SOFT
SAI,3.0,71.282,SOFT
