Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-11-08 17:47:55,Other,START OF QUALIFYING WILL BE DELAYED,,,,,,
2025-11-08 17:58:47,Other,Q1 WILL START AT 15:05,,,,,,
2025-11-08 18:05:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-08 18:23:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-08 18:23:15,Other,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER),,,,,,
2025-11-08 18:25:53,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 18 (STR), 4 (NOR), 1 (VER), 23 (ALB), 81 (PIA) AND 31 (OCO) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-08 18:26:09,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 18 (STR), 4 (NOR), 1 (VER), 23 (ALB), 81 (PIA) AND 31 (OCO) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-08 18:27:01,Other,Q2 WILL START AT 15:30,,,,,,
2025-11-08 18:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-08 18:44:21,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
2025-11-08 18:44:55,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-11-08 18:45:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-08 18:47:02,Other,TURN 11 INCIDENT INVOLVING CARS 63 (RUS) AND 44 (HAM) NOTED - IMPEDING,,,,,,
2025-11-08 18:47:30,Other,Q3 WILL START AT 15:53,,,,,,
2025-11-08 18:53:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-08 18:54:32,Other,FIA STEWARDS: TURN 11 INCIDENT INVOLVING CARS 63 (RUS) AND 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
2025-11-08 19:05:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-08 19:05:14,Other,FIRST CAR TO TAKE THE FLAG - CAR 6 (HAD),,,,,,
2025-11-08 19:07:39,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CARS 27 (HUL) AND 16 (LEC) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-11-08 19:07:53,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CARS 27 (HUL) AND 16 (LEC) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
2025-11-08 19:07:59,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 22 (TSU), 18 (STR), 4 (NOR), 1 (VER), 23 (ALB), 81 (PIA) AND 31 (OCO) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-08 19:08:16,Other,FIA STEWARDS: Q3 INCIDENT INVOLVING CARS 27 (HUL) AND 16 (LEC) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,
