Driver,LapNumber,LapTime,Compound
VER,1.0,87.191,HARD
VER,2.0,120.413,HARD
VER,3.0,109.007,HARD
VER,4.0,106.62,HARD
VER,5.0,107.889,HARD
VER,6.0,78.495,HARD
VER,7.0,107.461,HARD
VER,8.0,104.348,MEDIUM
VER,9.0,73.141,MEDIUM
VER,10.0,73.049,MEDIUM
VER,11.0,73.735,MEDIUM
VER,12.0,74.816,MEDIUM
VER,13.0,75.065,MEDIUM
VER,14.0,75.081,MEDIUM
VER,15.0,75.354,MEDIUM
VER,16.0,75.725,MEDIUM
VER,17.0,75.809,MEDIUM
VER,18.0,75.048,MEDIUM
VER,19.0,75.17,MEDIUM
VER,20.0,75.162,MEDIUM
VER,21.0,74.829,MEDIUM
VER,22.0,74.948,MEDIUM
VER,23.0,74.727,MEDIUM
VER,24.0,74.769,MEDIUM
VER,25.0,74.828,MEDIUM
VER,26.0,75.193,MEDIUM
VER,27.0,74.912,MEDIUM
VER,28.0,75.306,MEDIUM
VER,29.0,75.165,MEDIUM
VER,30.0,74.965,MEDIUM
VER,31.0,75.164,MEDIUM
VER,32.0,75.33,MEDIUM
VER,33.0,76.145,MEDIUM
VER,34.0,79.344,MEDIUM
VER,35.0,91.337,MEDIUM
VER,36.0,73.307,MEDIUM
VER,37.0,74.006,MEDIUM
VER,38.0,73.528,MEDIUM
VER,39.0,73.586,MEDIUM
VER,40.0,73.678,MEDIUM
VER,41.0,73.659,MEDIUM
VER,42.0,73.689,MEDIUM
VER,43.0,73.415,MEDIUM
VER,44.0,73.552,MEDIUM
VER,45.0,73.844,MEDIUM
VER,46.0,73.843,MEDIUM
VER,47.0,74.022,MEDIUM
VER,48.0,73.81,MEDIUM
VER,49.0,73.717,MEDIUM
VER,50.0,73.848,MEDIUM
VER,51.0,73.658,MEDIUM
VER,52.0,73.992,MEDIUM
VER,53.0,74.128,MEDIUM
VER,54.0,77.514,MEDIUM
VER,55.0,90.317,SOFT
VER,56.0,72.447,SOFT
VER,57.0,72.582,SOFT
VER,58.0,72.966,SOFT
VER,59.0,72.833,SOFT
VER,60.0,73.212,SOFT
VER,61.0,73.136,SOFT
VER,62.0,73.296,SOFT
VER,63.0,73.401,SOFT
VER,64.0,73.216,SOFT
VER,65.0,73.124,SOFT
VER,66.0,73.469,SOFT
VER,67.0,73.463,SOFT
VER,68.0,73.536,SOFT
VER,69.0,73.472,SOFT
VER,70.0,73.84,SOFT
VER,71.0,73.699,SOFT
GAS,1.0,83.216,SOFT
GAS,2.0,111.215,SOFT
GAS,3.0,112.063,SOFT
GAS,4.0,108.619,SOFT
GAS,5.0,114.339,SOFT
GAS,6.0,78.106,SOFT
GAS,7.0,103.042,SOFT
GAS,8.0,99.247,SOFT
GAS,9.0,75.653,SOFT
GAS,10.0,74.707,SOFT
GAS,11.0,74.672,SOFT
GAS,12.0,75.674,SOFT
GAS,13.0,76.208,SOFT
GAS,14.0,75.919,SOFT
GAS,15.0,75.877,SOFT
GAS,16.0,75.955,SOFT
GAS,17.0,76.148,SOFT
GAS,18.0,79.74,SOFT
GAS,19.0,92.147,MEDIUM
GAS,20.0,74.027,MEDIUM
GAS,21.0,74.87,MEDIUM
GAS,22.0,74.657,MEDIUM
GAS,23.0,74.229,MEDIUM
GAS,24.0,74.78,MEDIUM
GAS,25.0,74.799,MEDIUM
GAS,26.0,74.739,MEDIUM
GAS,27.0,76.199,MEDIUM
GAS,28.0,75.264,MEDIUM
GAS,29.0,75.119,MEDIUM
GAS,30.0,75.17,MEDIUM
GAS,31.0,75.137,MEDIUM
GAS,32.0,75.102,MEDIUM
GAS,33.0,74.737,MEDIUM
GAS,34.0,75.769,MEDIUM
GAS,35.0,75.672,MEDIUM
GAS,36.0,75.022,MEDIUM
GAS,37.0,75.054,MEDIUM
GAS,38.0,75.387,MEDIUM
GAS,39.0,78.463,MEDIUM
GAS,40.0,92.407,MEDIUM
GAS,41.0,74.774,MEDIUM
GAS,42.0,73.736,MEDIUM
GAS,43.0,74.029,MEDIUM
GAS,44.0,74.281,MEDIUM
GAS,45.0,74.128,MEDIUM
GAS,46.0,74.113,MEDIUM
GAS,47.0,74.447,MEDIUM
GAS,48.0,74.607,MEDIUM
GAS,49.0,75.086,MEDIUM
GAS,50.0,74.576,MEDIUM
GAS,51.0,74.878,MEDIUM
GAS,52.0,74.958,MEDIUM
GAS,53.0,74.78,MEDIUM
GAS,54.0,74.553,MEDIUM
GAS,55.0,74.534,MEDIUM
GAS,56.0,74.518,MEDIUM
GAS,57.0,74.358,MEDIUM
GAS,58.0,74.411,MEDIUM
GAS,59.0,74.529,MEDIUM
GAS,60.0,74.711,MEDIUM
GAS,61.0,74.541,MEDIUM
GAS,62.0,74.309,MEDIUM
GAS,63.0,74.405,MEDIUM
GAS,64.0,74.171,MEDIUM
GAS,65.0,74.56,MEDIUM
GAS,66.0,75.062,MEDIUM
GAS,67.0,75.612,MEDIUM
GAS,68.0,75.403,MEDIUM
GAS,69.0,75.318,MEDIUM
GAS,70.0,75.943,MEDIUM
GAS,71.0,77.029,MEDIUM
ANT,1.0,79.069,SOFT
ANT,2.0,102.524,SOFT
ANT,3.0,113.773,SOFT
ANT,4.0,109.802,SOFT
ANT,5.0,123.198,SOFT
ANT,6.0,76.547,SOFT
