Driver,LapNumber,LapTime,Compound
VER,2.0,70.107,MEDIUM
VER,3.0,127.44,MEDIUM
VER,4.0,119.578,MEDIUM
VER,5.0,69.975,MEDIUM
VER,6.0,101.959,MEDIUM
VER,8.0,69.707,MEDIUM
VER,9.0,117.147,MEDIUM
VER,10.0,114.849,MEDIUM
VER,11.0,69.756,MEDIUM
VER,12.0,94.661,MEDIUM
VER,14.0,69.58,SOFT
NOR,2.0,70.311,MEDIUM
NOR,3.0,111.953,MEDIUM
NOR,4.0,107.117,MEDIUM
NOR,5.0,69.702,MEDIUM
NOR,6.0,115.897,MEDIUM
NOR,7.0,108.152,MEDIUM
NOR,8.0,69.627,MEDIUM
NOR,9.0,96.315,MEDIUM
NOR,11.0,69.373,MEDIUM
NOR,12.0,105.803,MEDIUM
NOR,13.0,107.812,MEDIUM
NOR,14.0,91.242,MEDIUM
NOR,16.0,69.271,SOFT
NOR,17.0,111.257,SOFT
NOR,18.0,104.615,SOFT
NOR,19.0,69.243,SOFT
NOR,20.0,98.401,SOFT
BOR,2.0,70.724,MEDIUM
BOR,3.0,100.73,MEDIUM
BOR,5.0,70.217,MEDIUM
BOR,6.0,99.796,MEDIUM
BOR,8.0,69.963,MEDIUM
BOR,9.0,101.504,MEDIUM
BOR,11.0,69.923,MEDIUM
BOR,12.0,100.083,MEDIUM
HAD,2.0,70.417,MEDIUM
HAD,3.0,105.133,MEDIUM
HAD,5.0,70.095,MEDIUM
HAD,6.0,97.096,MEDIUM
HAD,8.0,69.608,MEDIUM
HAD,9.0,116.985,MEDIUM
HAD,10.0,111.314,MEDIUM
HAD,11.0,69.808,MEDIUM
HAD,12.0,97.74,MEDIUM
HAD,14.0,69.775,SOFT
GAS,2.0,70.28,MEDIUM
GAS,3.0,116.271,MEDIUM
GAS,4.0,130.107,MEDIUM
GAS,5.0,70.097,MEDIUM
GAS,6.0,103.643,MEDIUM
GAS,8.0,69.852,MEDIUM
GAS,9.0,119.399,MEDIUM
GAS,10.0,118.527,MEDIUM
GAS,11.0,70.055,MEDIUM
GAS,12.0,101.56,MEDIUM
ANT,2.0,70.381,MEDIUM
ANT,3.0,116.74,MEDIUM
ANT,4.0,118.299,MEDIUM
ANT,5.0,88.968,MEDIUM
ANT,7.0,69.504,MEDIUM
ANT,8.0,113.282,MEDIUM
ANT,9.0,125.185,MEDIUM
ANT,10.0,79.486,MEDIUM
ANT,12.0,69.34,SOFT
ANT,13.0,97.712,SOFT
ANT,15.0,69.483,SOFT
ANT,16.0,106.634,SOFT
ALO,2.0,70.416,MEDIUM
ALO,3.0,105.573,MEDIUM
ALO,5.0,70.011,MEDIUM
ALO,6.0,102.579,MEDIUM
ALO,8.0,69.33,MEDIUM
ALO,9.0,103.031,MEDIUM
ALO,11.0,69.496,SOFT
ALO,12.0,115.769,SOFT
LEC,2.0,70.762,MEDIUM
LEC,3.0,113.855,MEDIUM
LEC,4.0,102.521,MEDIUM
LEC,5.0,70.395,MEDIUM
LEC,6.0,105.891,MEDIUM
LEC,7.0,70.324,MEDIUM
LEC,8.0,97.54,MEDIUM
LEC,10.0,69.732,MEDIUM
LEC,11.0,98.066,MEDIUM
LEC,13.0,97.099,MEDIUM
LEC,15.0,69.725,SOFT
LEC,16.0,99.207,SOFT
LEC,18.0,69.817,SOFT
STR,2.0,70.451,MEDIUM
STR,3.0,109.123,MEDIUM
STR,5.0,70.326,MEDIUM
STR,6.0,97.095,MEDIUM
STR,8.0,69.647,MEDIUM
STR,9.0,101.479,MEDIUM
STR,11.0,69.973,MEDIUM
STR,12.0,96.586,MEDIUM
STR,14.0,69.671,SOFT
STR,15.0,99.729,SOFT
TSU,2.0,71.353,MEDIUM
TSU,3.0,104.208,MEDIUM
TSU,5.0,70.692,MEDIUM
TSU,6.0,102.003,MEDIUM
ALB,2.0,70.862,MEDIUM
ALB,3.0,109.687,MEDIUM
ALB,5.0,70.275,MEDIUM
ALB,6.0,104.052,MEDIUM
ALB,8.0,69.813,MEDIUM
ALB,9.0,105.616,MEDIUM
ALB,11.0,70.264,MEDIUM
ALB,12.0,94.682,MEDIUM
HUL,2.0,70.778,MEDIUM
HUL,3.0,102.155,MEDIUM
HUL,5.0,70.333,MEDIUM
HUL,6.0,97.649,MEDIUM
HUL,8.0,69.735,MEDIUM
HUL,9.0,99.946,MEDIUM
HUL,11.0,69.827,MEDIUM
HUL,12.0,99.881,MEDIUM
HUL,14.0,69.935,SOFT
HUL,15.0,102.333,SOFT
LAW,2.0,70.666,MEDIUM
LAW,3.0,95.649,MEDIUM
LAW,5.0,84.06,MEDIUM
OCO,2.0,70.872,MEDIUM
OCO,3.0,99.445,MEDIUM
OCO,5.0,70.877,MEDIUM
OCO,6.0,103.08,MEDIUM
COL,2.0,71.077,MEDIUM
COL,3.0,114.748,MEDIUM
COL,4.0,113.279,MEDIUM
COL,5.0,70.441,MEDIUM
COL,6.0,103.915,MEDIUM
HAM,2.0,70.688,MEDIUM
HAM,3.0,117.29,MEDIUM
HAM,4.0,109.062,MEDIUM
HAM,5.0,70.38,MEDIUM
HAM,6.0,108.813,MEDIUM
HAM,7.0,70.224,MEDIUM
HAM,8.0,101.055,MEDIUM
HAM,10.0,69.811,MEDIUM
HAM,11.0,109.392,MEDIUM
HAM,13.0,69.934,MEDIUM
HAM,14.0,104.353,MEDIUM
SAI,2.0,71.12,MEDIUM
SAI,3.0,117.417,MEDIUM
SAI,5.0,71.316,MEDIUM
SAI,6.0,93.941,MEDIUM
RUS,2.0,70.048,MEDIUM
RUS,3.0,123.49,MEDIUM
RUS,4.0,142.936,MEDIUM
RUS,6.0,69.447,MEDIUM
RUS,7.0,120.591,MEDIUM
RUS,8.0,114.455,MEDIUM
RUS,9.0,69.384,MEDIUM
RUS,10.0,95.496,MEDIUM
RUS,12.0,69.556,SOFT
RUS,13.0,97.51,SOFT
RUS,15.0,69.495,SOFT
PIA,2.0,70.286,MEDIUM
PIA,3.0,118.267,MEDIUM
PIA,4.0,115.774,MEDIUM
PIA,5.0,70.017,MEDIUM
PIA,6.0,104.267,MEDIUM
PIA,7.0,123.937,MEDIUM
PIA,8.0,70.084,MEDIUM
PIA,9.0,95.018,MEDIUM
PIA,11.0,69.416,MEDIUM
PIA,12.0,108.595,MEDIUM
PIA,13.0,125.151,MEDIUM
PIA,15.0,69.634,SOFT
PIA,16.0,107.441,SOFT
PIA,17.0,106.357,SOFT
PIA,18.0,69.428,SOFT
PIA,19.0,103.694,SOFT
BEA,2.0,70.842,MEDIUM
BEA,3.0,102.39,MEDIUM
BEA,5.0,70.066,MEDIUM
BEA,6.0,106.269,MEDIUM
BEA,8.0,69.946,MEDIUM
BEA,9.0,99.004,MEDIUM
BEA,11.0,70.188,MEDIUM
BEA,12.0,101.096,MEDIUM
