Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-11-07 18:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-07 18:42:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-07 18:42:12,Other,FIRST CAR TO TAKE THE FLAG - CAR 43 (COL),,,,,,
2025-11-07 18:45:39,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 81 (PIA), 18 (STR), 6 (HAD), 5 (BOR), 4 (NOR), 10 (GAS), 12 (ANT), 55 (SAI), 63 (RUS), 87 (BEA) AND 23 (ALB) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-07 18:46:07,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 81 (PIA), 18 (STR), 6 (HAD), 5 (BOR), 4 (NOR), 10 (GAS), 12 (ANT), 55 (SAI), 63 (RUS), 87 (BEA) AND 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-07 18:49:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-07 18:58:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 11,,DOUBLE YELLOW,Sector,11.0,,
2025-11-07 18:58:58,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-07 18:59:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-07 18:59:21,Other,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM),,,,,,
2025-11-07 18:59:45,Other,CAR 44 (HAM) TIME 1:09.934 DELETED - DOUBLE YELLOW AT TURN 10,,,,,,
2025-11-07 19:01:38,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 6 (HAD), 18 (STR), 81 (PIA), 10 (GAS) AND 16 (LEC) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-07 19:01:59,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 6 (HAD), 18 (STR), 81 (PIA), 10 (GAS) AND 16 (LEC) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-07 19:04:39,Other,TURN 10 INCIDENT INVOLVING CAR 44 (HAM) NOTED - YELLOW FLAG INFRINGEMENT,,,,,,
2025-11-07 19:06:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-07 19:06:19,Other,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - YELLOW FLAG INFRINGEMENT,,,,,,
2025-11-07 19:14:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2025-11-07 19:14:07,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2025-11-07 19:17:14,Other,TURN 1 INCIDENT INVOLVING CARS 18 (STR) AND 16 (LEC) NOTED - IMPEDING,,,,,,
2025-11-07 19:17:35,Other,"FIA STEWARDS: SQ1 INCIDENT INVOLVING CARS 81 (PIA), 18 (STR), 6 (HAD), 5 (BOR), 4 (NOR), 10 (GAS), 12 (ANT), 55 (SAI), 63 (RUS), 87 (BEA) AND 23 (ALB) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-07 19:17:41,Other,"FIA STEWARDS: SQ2 INCIDENT INVOLVING CARS 6 (HAD), 18 (STR), 81 (PIA), 10 (GAS) AND 16 (LEC) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
2025-11-07 19:19:00,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 18 (STR) AND 16 (LEC) REVIEWED NO FURTHER INVESTIGATION - IMPEDING,,,,,,
