Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-11-08 13:23:00,Other,CHANGE IN CLIMATIC CONDITIONS,,,,,,1
2025-11-08 13:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-11-08 13:35:01,Other,PIT EXIT CLOSED,,,,,,1
2025-11-08 13:38:13,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 27 (HUL), 43 (COL) AND 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,1
2025-11-08 13:38:28,Other,"FIA STEWARDS: INCIDENT INVOLVING CARS 27 (HUL), 43 (COL) AND 5 (BOR) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,1
2025-11-08 13:45:10,Other,RISK OF RAIN FOR F1 SPRINT IS 30%,,,,,,1
2025-11-08 13:57:02,Drs,DRS DISABLED,DISABLED,,,,,1
2025-11-08 14:03:21,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-11-08 14:03:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,1
2025-11-08 14:04:06,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,1
2025-11-08 14:04:47,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,2
2025-11-08 14:05:50,Drs,DRS ENABLED,ENABLED,,,,,2
2025-11-08 14:06:03,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,3
2025-11-08 14:06:50,Other,TURN 4 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) NOTED - CAUSING A COLLISION,,,,,,3
2025-11-08 14:08:27,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,5
2025-11-08 14:09:52,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,6
2025-11-08 14:09:53,Other,DRS DISABLED IN ZONE 1,,,,,,6
2025-11-08 14:10:09,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,6
2025-11-08 14:10:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,6
2025-11-08 14:11:59,Flag,RED FLAG,,RED,Track,,,7
2025-11-08 14:11:59,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,7
2025-11-08 14:23:40,Other,RACE WILL RESUME AT 11:35,,,,,,8
2025-11-08 14:24:29,Other,"ORDER FOR RESTART: 4, 12, 63, 1, 14, 16, 44, 18, 10, 23, 6, 5, 30, 31, 87, 22, 55, 27",,,,,,8
2025-11-08 14:28:52,Other,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 30 (LAW) AND 87 (BEA) WILL BE INVESTIGATED AFTER THE SPRINT - CAUSING A COLLISION,,,,,,8
2025-11-08 14:30:00,Other,SAFETY CAR LIGHTS ON,,,,,,8
2025-11-08 14:30:10,Flag,TRACK CLEAR,,CLEAR,Track,,,8
2025-11-08 14:34:00,Other,ROLLING START PROCEDURE,,,,,,8
2025-11-08 14:35:41,Other,ROLLING START,,,,,,8
2025-11-08 14:38:29,Drs,DRS ENABLED,ENABLED,,,,,9
2025-11-08 14:56:13,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,24
2025-11-08 14:56:14,Other,DRS DISABLED IN ZONE 2,,,,,,24
2025-11-08 14:56:16,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,24
2025-11-08 14:56:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,24
2025-11-08 14:56:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,24
2025-11-08 14:56:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,24
2025-11-08 14:56:38,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 5,,,,,,24
2025-11-08 14:56:46,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,24
2025-11-08 15:01:20,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,24
2025-11-08 15:01:22,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,24
2025-11-08 15:02:20,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,24
2025-11-08 15:02:20,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,24
2025-11-08 15:02:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,24
2025-11-08 15:02:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,24
2025-11-08 15:02:23,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,24
2025-11-08 15:02:23,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,24
2025-11-08 15:02:23,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,24
2025-11-08 15:02:50,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,24
2025-11-08 15:05:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,24
2025-11-08 15:05:30,Other,DRS DISABLED IN ZONE 1,,,,,,24
2025-11-08 15:09:33,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,24
