Driver,LapNumber,LapTime,Compound
RUS,3.0,120.768,WET
RUS,4.0,117.851,WET
RUS,5.0,121.921,WET
RUS,6.0,115.722,WET
RUS,7.0,118.706,WET
RUS,8.0,113.144,WET
RUS,9.0,149.622,WET
RUS,11.0,113.442,WET
RUS,12.0,121.445,WET
RUS,13.0,113.921,WET
RUS,14.0,120.543,WET
RUS,15.0,111.754,WET
RUS,16.0,113.908,WET
RUS,17.0,110.935,WET
RUS,18.0,133.552,WET
RUS,20.0,113.351,INTERMEDIATE
RUS,21.0,110.258,INTERMEDIATE
RUS,22.0,117.604,INTERMEDIATE
RUS,23.0,109.901,INTERMEDIATE
RUS,24.0,108.803,INTERMEDIATE
VER,3.0,130.638,WET
VER,4.0,132.507,WET
VER,5.0,117.41,WET
VER,6.0,115.064,WET
VER,7.0,114.464,WET
VER,8.0,113.458,WET
VER,9.0,136.697,WET
VER,11.0,113.835,WET
VER,12.0,112.693,WET
VER,13.0,126.982,WET
VER,14.0,111.593,WET
VER,15.0,133.858,WET
VER,16.0,113.98,WET
VER,17.0,120.715,WET
VER,19.0,112.707,INTERMEDIATE
VER,20.0,111.132,INTERMEDIATE
VER,21.0,109.221,INTERMEDIATE
VER,22.0,116.343,INTERMEDIATE
VER,23.0,108.257,INTERMEDIATE
VER,24.0,137.73,INTERMEDIATE
ALB,2.0,141.24,INTERMEDIATE
ALB,4.0,120.234,WET
ALB,5.0,118.632,WET
ALB,6.0,116.22,WET
ALB,7.0,120.112,WET
ALB,8.0,125.202,WET
HAD,3.0,127.855,WET
HAD,4.0,120.897,WET
HAD,5.0,122.603,WET
HAD,6.0,117.448,WET
HAD,7.0,115.65,WET
HAD,8.0,115.613,WET
HAD,9.0,165.484,WET
HAD,11.0,114.282,WET
HAD,12.0,113.758,WET
HAD,13.0,128.733,WET
HAD,14.0,112.04,WET
HAD,15.0,118.772,WET
HAD,16.0,127.446,WET
HAD,17.0,111.12,WET
HAD,18.0,137.039,WET
HAD,20.0,111.346,INTERMEDIATE
HAD,21.0,111.548,INTERMEDIATE
HAD,22.0,110.044,INTERMEDIATE
HAD,23.0,131.162,INTERMEDIATE
HAD,24.0,109.554,INTERMEDIATE
HAM,2.0,144.116,INTERMEDIATE
HAM,4.0,121.707,WET
HAM,5.0,118.721,WET
HAM,6.0,117.578,WET
HAM,7.0,129.572,WET
HAM,8.0,117.115,WET
HAM,9.0,165.259,WET
ANT,3.0,123.28,WET
ANT,4.0,119.523,WET
ANT,5.0,118.613,WET
ANT,6.0,116.314,WET
ANT,7.0,130.48,WET
ANT,8.0,137.882,WET
LAW,3.0,122.407,WET
LAW,4.0,120.496,WET
LAW,5.0,118.188,WET
LAW,6.0,120.84,WET
LAW,7.0,115.747,WET
LAW,8.0,114.828,WET
LAW,9.0,124.624,WET
LAW,11.0,113.769,WET
LAW,12.0,121.206,WET
LAW,13.0,112.119,WET
LAW,14.0,132.884,WET
LAW,15.0,111.938,WET
LAW,16.0,127.581,WET
LAW,17.0,111.621,WET
LAW,18.0,134.926,WET
LAW,20.0,112.074,INTERMEDIATE
LAW,21.0,110.146,INTERMEDIATE
LAW,22.0,109.367,INTERMEDIATE
LAW,23.0,130.401,INTERMEDIATE
LAW,24.0,109.062,INTERMEDIATE
STR,2.0,124.794,WET
STR,3.0,120.067,WET
STR,4.0,145.941,WET
STR,5.0,124.347,WET
STR,6.0,116.585,WET
STR,7.0,125.217,WET
STR,8.0,114.416,WET
STR,9.0,115.372,WET
STR,10.0,149.284,WET
STR,12.0,113.722,WET
STR,13.0,112.85,WET
STR,16.0,116.255,INTERMEDIATE
STR,17.0,113.217,INTERMEDIATE
STR,18.0,137.141,INTERMEDIATE
ALO,2.0,123.249,WET
ALO,3.0,120.747,WET
ALO,4.0,126.443,WET
ALO,5.0,117.669,WET
ALO,6.0,128.651,WET
ALO,7.0,115.797,WET
ALO,8.0,124.377,WET
ALO,9.0,113.739,WET
ALO,10.0,151.738,WET
ALO,12.0,113.851,WET
ALO,13.0,112.871,WET
ALO,14.0,136.741,WET
ALO,15.0,118.573,WET
ALO,16.0,111.865,WET
ALO,17.0,116.288,WET
ALO,18.0,126.644,WET
ALO,20.0,116.238,INTERMEDIATE
ALO,21.0,111.134,INTERMEDIATE
ALO,22.0,110.347,INTERMEDIATE
ALO,23.0,129.355,INTERMEDIATE
ALO,24.0,109.466,INTERMEDIATE
GAS,3.0,122.649,WET
GAS,4.0,118.889,WET
GAS,5.0,117.98,WET
GAS,6.0,131.888,WET
GAS,7.0,115.681,WET
GAS,8.0,117.969,WET
GAS,9.0,114.432,WET
GAS,10.0,138.156,WET
GAS,12.0,114.165,WET
GAS,13.0,113.796,WET
GAS,14.0,124.455,WET
GAS,15.0,121.823,WET
GAS,16.0,112.806,WET
GAS,17.0,129.016,WET
GAS,18.0,111.76,WET
GAS,19.0,137.959,WET
