Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-11-22 03:51:16,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2025-11-22 03:51:19,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2025-11-22 03:51:22,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2025-11-22 03:51:25,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-11-22 03:56:19,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8,,,,,,
2025-11-22 03:56:26,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2025-11-22 03:57:40,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
2025-11-22 03:57:45,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-11-22 03:57:46,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,
2025-11-22 03:57:50,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-22 03:57:53,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
2025-11-22 03:57:57,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,
2025-11-22 03:58:01,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-22 03:58:05,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-11-22 03:58:08,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,
2025-11-22 03:58:12,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-22 03:58:20,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
2025-11-22 03:58:24,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,
2025-11-22 03:58:26,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-11-22 03:58:27,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-22 03:58:29,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,
2025-11-22 03:58:29,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12,,,,,,
2025-11-22 03:58:30,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2025-11-22 03:58:33,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-22 03:59:00,Drs,DRS DISABLED,DISABLED,,,,,
2025-11-22 04:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2025-11-22 04:01:13,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,
2025-11-22 04:01:16,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-22 04:01:21,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,
2025-11-22 04:01:25,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,
2025-11-22 04:02:57,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2025-11-22 04:03:06,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2025-11-22 04:03:30,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2025-11-22 04:03:36,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2025-11-22 04:03:55,Other,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 14 LAP 2 20:02:53 (PIT),,,,,,
2025-11-22 04:03:57,Other,CAR 63 (RUS) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 2 20:02:10 (PIT),,,,,,
2025-11-22 04:04:07,Other,CAR 1 (VER) LAP DELETED - TRACK LIMITS AT TURN 14 LAP 2 20:03:28 (PIT),,,,,,
2025-11-22 04:05:06,Other,CAR 4 (NOR) LAP DELETED - TRACK LIMITS AT TURN 14 LAP 2 20:03:02 (PIT),,,,,,
2025-11-22 04:05:12,Other,CAR 18 (STR) TIME 2:04.794 DELETED - TRACK LIMITS AT TURN 14 LAP 3 20:04:03,,,,,,
2025-11-22 04:05:23,Other,CAR 23 (ALB) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 3 20:03:53 (PIT),,,,,,
2025-11-22 04:05:36,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2025-11-22 04:05:36,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2025-11-22 04:05:41,Other,CAR 16 (LEC) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 3 20:03:18 (PIT),,,,,,
2025-11-22 04:05:43,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2025-11-22 04:05:43,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2025-11-22 04:06:18,Other,CAR 87 (BEA) TIME 2:35.533 DELETED - TRACK LIMITS AT TURN 14 LAP 3 20:05:00,,,,,,
2025-11-22 04:06:44,Other,CAR 63 (RUS) TIME 2:50.735 DELETED - TRACK LIMITS AT TURN 12 LAP 3 20:05:35,,,,,,
2025-11-22 04:07:59,Other,CAR 44 (HAM) TIME 2:34.950 DELETED - TRACK LIMITS AT TURN 8 LAP 4 20:06:32,,,,,,
2025-11-22 04:09:18,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2025-11-22 04:09:19,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-11-22 04:09:25,Other,CAR 1 (VER) TIME 2:10.638 DELETED - TRACK LIMITS AT TURN 1 LAP 4 20:07:04,,,,,,
2025-11-22 04:09:33,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2025-11-22 04:09:44,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2025-11-22 04:09:45,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2025-11-22 04:09:45,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2025-11-22 04:09:47,Other,CAR 31 (OCO) TIME 2:02.715 DELETED - TRACK LIMITS AT TURN 14 LAP 5 20:09:20,,,,,,
2025-11-22 04:09:49,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2025-11-22 04:09:49,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2025-11-22 04:09:50,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,
2025-11-22 04:09:50,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2025-11-22 04:09:58,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2025-11-22 04:09:58,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2025-11-22 04:10:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2025-11-22 04:10:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,
2025-11-22 04:10:07,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2025-11-22 04:10:07,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2025-11-22 04:10:09,Other,CAR 5 (BOR) TIME 2:14.812 DELETED - TRACK LIMITS AT TURN 14 LAP 5 20:09:29,,,,,,
2025-11-22 04:10:31,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2025-11-22 04:10:36,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2025-11-22 04:10:37,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2025-11-22 04:10:40,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2025-11-22 04:10:54,Other,CAR 16 (LEC) TIME 2:03.210 DELETED - TRACK LIMITS AT TURN 14 LAP 5 20:09:51,,,,,,
2025-11-22 04:10:55,Other,CAR 22 (TSU) TIME 2:17.008 DELETED - TRACK LIMITS AT TURN 12 LAP 5 20:09:41,,,,,,
2025-11-22 04:11:05,Other,CAR 55 (SAI) TIME 2:16.785 DELETED - TRACK LIMITS AT TURN 5 LAP 5 20:09:17,,,,,,
2025-11-22 04:11:52,Other,TURN 5 INCIDENT INVOLVING CAR 55 (SAI) NOTED - REJOINING UNSAFELY,,,,,,
2025-11-22 04:11:54,Other,CAR 18 (STR) TIME 2:04.347 DELETED - TRACK LIMITS AT TURN 14 LAP 6 20:10:29,,,,,,
2025-11-22 04:11:58,Other,CAR 1 (VER) TIME 2:12.507 DELETED - TRACK LIMITS AT TURN 8 LAP 5 20:09:54,,,,,,
2025-11-22 04:12:01,Other,CAR 27 (HUL) TIME 2:01.560 DELETED - TRACK LIMITS AT TURN 1 LAP 6 20:10:00,,,,,,
2025-11-22 04:12:10,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2025-11-22 04:12:10,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2025-11-22 04:12:17,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,
2025-11-22 04:12:17,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2025-11-22 04:12:24,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2025-11-22 04:12:24,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
