Driver,LapNumber,LapTime,Compound
VER,2.0,82.258,MEDIUM
VER,3.0,124.591,MEDIUM
VER,4.0,81.494,MEDIUM
VER,5.0,123.595,MEDIUM
VER,6.0,126.688,MEDIUM
VER,7.0,81.172,MEDIUM
VER,8.0,115.077,MEDIUM
VER,10.0,81.295,MEDIUM
VER,11.0,131.836,MEDIUM
VER,12.0,120.923,MEDIUM
VER,13.0,81.036,MEDIUM
VER,14.0,118.066,MEDIUM
VER,16.0,106.705,SOFT
VER,17.0,105.732,SOFT
VER,18.0,102.611,SOFT
VER,19.0,80.528,SOFT
NOR,2.0,81.621,MEDIUM
NOR,3.0,120.411,MEDIUM
NOR,4.0,81.398,MEDIUM
NOR,5.0,119.824,MEDIUM
NOR,6.0,120.429,MEDIUM
NOR,7.0,114.687,MEDIUM
NOR,9.0,80.956,MEDIUM
NOR,10.0,124.081,MEDIUM
NOR,11.0,130.83,MEDIUM
NOR,12.0,107.144,MEDIUM
NOR,14.0,80.285,SOFT
NOR,15.0,106.252,SOFT
NOR,16.0,109.278,SOFT
NOR,17.0,80.726,SOFT
NOR,18.0,115.033,SOFT
BOR,2.0,82.319,MEDIUM
BOR,3.0,129.129,MEDIUM
BOR,4.0,81.754,MEDIUM
BOR,5.0,115.982,MEDIUM
BOR,6.0,81.623,MEDIUM
BOR,7.0,130.893,MEDIUM
BOR,9.0,82.686,MEDIUM
BOR,10.0,124.097,MEDIUM
BOR,12.0,81.567,MEDIUM
BOR,13.0,118.376,MEDIUM
HAD,2.0,81.987,MEDIUM
HAD,3.0,125.522,MEDIUM
HAD,4.0,108.019,MEDIUM
HAD,5.0,103.507,MEDIUM
HAD,6.0,107.539,MEDIUM
HAD,7.0,81.399,MEDIUM
HAD,8.0,109.947,MEDIUM
HAD,10.0,81.433,MEDIUM
HAD,11.0,127.566,MEDIUM
HAD,12.0,122.415,MEDIUM
HAD,13.0,81.277,MEDIUM
HAD,14.0,133.711,MEDIUM
GAS,2.0,83.835,MEDIUM
GAS,3.0,126.005,MEDIUM
GAS,4.0,82.3,MEDIUM
GAS,5.0,123.078,MEDIUM
GAS,6.0,141.769,MEDIUM
GAS,7.0,82.112,MEDIUM
GAS,8.0,115.579,MEDIUM
ANT,2.0,95.501,MEDIUM
ANT,3.0,82.205,MEDIUM
ANT,4.0,121.083,MEDIUM
ANT,5.0,81.555,MEDIUM
ANT,6.0,112.756,MEDIUM
ANT,8.0,110.677,MEDIUM
ANT,9.0,81.442,MEDIUM
ANT,10.0,140.838,MEDIUM
ANT,11.0,81.376,MEDIUM
ANT,12.0,115.828,MEDIUM
ANT,14.0,80.903,SOFT
ANT,15.0,138.523,SOFT
ANT,16.0,129.459,SOFT
ANT,17.0,80.532,SOFT
ALO,2.0,81.909,MEDIUM
ALO,3.0,120.077,MEDIUM
ALO,4.0,100.635,MEDIUM
ALO,5.0,81.276,MEDIUM
ALO,6.0,121.769,MEDIUM
ALO,8.0,89.225,MEDIUM
ALO,9.0,89.498,MEDIUM
ALO,10.0,102.961,MEDIUM
ALO,11.0,81.272,MEDIUM
ALO,12.0,118.629,MEDIUM
ALO,14.0,80.864,SOFT
ALO,15.0,117.149,SOFT
ALO,16.0,114.587,SOFT
ALO,17.0,80.45,SOFT
LEC,2.0,82.353,MEDIUM
LEC,3.0,125.153,MEDIUM
LEC,4.0,81.99,MEDIUM
LEC,5.0,123.191,MEDIUM
LEC,6.0,117.808,MEDIUM
LEC,7.0,81.636,MEDIUM
LEC,8.0,113.601,MEDIUM
LEC,10.0,81.491,MEDIUM
LEC,11.0,123.309,MEDIUM
LEC,12.0,149.481,MEDIUM
LEC,13.0,81.19,MEDIUM
LEC,14.0,115.687,MEDIUM
LEC,16.0,80.622,SOFT
LEC,17.0,115.626,SOFT
LEC,18.0,116.4,SOFT
LEC,19.0,80.692,SOFT
STR,2.0,83.166,MEDIUM
STR,3.0,129.201,MEDIUM
STR,4.0,82.175,MEDIUM
STR,5.0,117.194,MEDIUM
STR,6.0,81.807,MEDIUM
STR,7.0,128.77,MEDIUM
TSU,2.0,82.693,MEDIUM
TSU,3.0,126.871,MEDIUM
TSU,4.0,81.93,MEDIUM
TSU,5.0,129.323,MEDIUM
TSU,6.0,123.108,MEDIUM
TSU,7.0,81.458,MEDIUM
TSU,8.0,109.823,MEDIUM
TSU,10.0,81.616,MEDIUM
TSU,11.0,138.529,MEDIUM
TSU,13.0,81.152,MEDIUM
TSU,14.0,112.581,MEDIUM
TSU,16.0,82.111,SOFT
TSU,17.0,125.925,SOFT
TSU,18.0,110.399,SOFT
TSU,19.0,80.519,SOFT
ALB,2.0,82.142,MEDIUM
ALB,3.0,124.568,MEDIUM
ALB,4.0,81.959,MEDIUM
ALB,5.0,121.049,MEDIUM
ALB,6.0,120.793,MEDIUM
ALB,7.0,81.721,MEDIUM
ALB,8.0,117.382,MEDIUM
ALB,10.0,82.338,MEDIUM
ALB,11.0,124.331,MEDIUM
ALB,12.0,121.205,MEDIUM
ALB,13.0,81.212,MEDIUM
ALB,14.0,118.066,MEDIUM
ALB,16.0,80.788,SOFT
ALB,17.0,111.04,SOFT
ALB,18.0,116.724,SOFT
ALB,19.0,80.813,SOFT
HUL,2.0,82.559,MEDIUM
HUL,3.0,117.85,MEDIUM
HUL,4.0,81.77,MEDIUM
HUL,5.0,108.486,MEDIUM
HUL,6.0,103.054,MEDIUM
HUL,7.0,81.327,MEDIUM
HUL,8.0,111.274,MEDIUM
HUL,10.0,81.631,MEDIUM
HUL,11.0,127.506,MEDIUM
HUL,13.0,81.98,MEDIUM
HUL,14.0,115.993,MEDIUM
LAW,2.0,82.421,MEDIUM
LAW,3.0,120.643,MEDIUM
LAW,5.0,81.851,MEDIUM
LAW,6.0,115.768,MEDIUM
OCO,2.0,82.819,MEDIUM
OCO,3.0,116.863,MEDIUM
OCO,4.0,82.067,MEDIUM
OCO,5.0,120.844,MEDIUM
OCO,6.0,132.441,MEDIUM
OCO,7.0,81.773,MEDIUM
OCO,8.0,111.302,MEDIUM
OCO,10.0,81.993,MEDIUM
OCO,11.0,119.892,MEDIUM
OCO,13.0,81.666,MEDIUM
OCO,14.0,114.734,MEDIUM
COL,2.0,83.771,MEDIUM
COL,3.0,123.17,MEDIUM
COL,4.0,83.165,MEDIUM
COL,5.0,127.413,MEDIUM
COL,6.0,124.615,MEDIUM
COL,7.0,82.364,MEDIUM
COL,8.0,126.744,MEDIUM
HAM,2.0,83.343,MEDIUM
HAM,3.0,117.434,MEDIUM
HAM,4.0,82.61,MEDIUM
HAM,5.0,117.891,MEDIUM
HAM,6.0,111.933,MEDIUM
HAM,7.0,82.043,MEDIUM
HAM,8.0,117.1,MEDIUM
SAI,2.0,83.055,MEDIUM
SAI,3.0,118.629,MEDIUM
SAI,4.0,81.983,MEDIUM
SAI,5.0,122.743,MEDIUM
SAI,6.0,128.618,MEDIUM
SAI,7.0,81.438,MEDIUM
SAI,8.0,111.4,MEDIUM
SAI,10.0,81.44,MEDIUM
SAI,11.0,127.651,MEDIUM
SAI,12.0,126.066,MEDIUM
SAI,13.0,81.172,MEDIUM
SAI,14.0,112.773,MEDIUM
SAI,16.0,80.812,SOFT
SAI,17.0,126.513,SOFT
SAI,18.0,121.468,SOFT
SAI,19.0,80.542,SOFT
RUS,2.0,100.281,MEDIUM
RUS,3.0,81.76,MEDIUM
RUS,4.0,146.392,MEDIUM
RUS,5.0,81.432,MEDIUM
RUS,6.0,118.002,MEDIUM
RUS,8.0,104.012,MEDIUM
RUS,9.0,81.266,MEDIUM
RUS,10.0,124.952,MEDIUM
RUS,11.0,145.841,MEDIUM
RUS,12.0,81.136,MEDIUM
RUS,13.0,116.288,MEDIUM
