Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2025-11-29 13:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-11-29 13:35:01,Other,PIT EXIT CLOSED,,,,,,1
2025-11-29 13:36:18,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,1
2025-11-29 13:36:29,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,1
2025-11-29 13:36:40,Flag,DOUBLE YELLOW IN TRACK SECTOR 14,,DOUBLE YELLOW,Sector,14.0,,1
2025-11-29 13:36:42,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,1
2025-11-29 13:39:14,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,1
2025-11-29 13:45:07,Other,RISK OF RAIN FOR F1 SPRINT IS 0%,,,,,,1
2025-11-29 13:57:19,Drs,DRS DISABLED,DISABLED,,,,,1
2025-11-29 14:03:35,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2025-11-29 14:05:25,Drs,DRS ENABLED,ENABLED,,,,,2
2025-11-29 14:09:08,Other,CAR 16 (LEC) TIME 1:26.111 DELETED - TRACK LIMITS AT TURN 5 LAP 3 17:07:06,,,,,,4
2025-11-29 14:15:44,Other,CAR 43 (COL) TIME 1:26.242 DELETED - TRACK LIMITS AT TURN 10 LAP 8 17:14:44,,,,,,9
2025-11-29 14:15:50,Other,CAR 22 (TSU) TIME 1:25.261 DELETED - TRACK LIMITS AT TURN 10 LAP 6 17:11:36,,,,,,9
2025-11-29 14:16:17,Other,CAR 22 (TSU) TIME 1:25.882 DELETED - TRACK LIMITS AT TURN 10 LAP 8 17:14:27,,,,,,9
2025-11-29 14:17:11,Other,CAR 12 (ANT) TIME 1:25.574 DELETED - TRACK LIMITS AT TURN 10 LAP 6 17:11:39,,,,,,10
2025-11-29 14:17:40,Other,CAR 43 (COL) TIME 1:25.878 DELETED - TRACK LIMITS AT TURN 10 LAP 9 17:16:10,,,,,,10
2025-11-29 14:18:15,Other,CAR 43 (COL) TIME 1:26.418 DELETED - TRACK LIMITS AT TURN 10 LAP 10 17:17:36,,,,,,11
2025-11-29 14:18:20,Other,CAR 22 (TSU) TIME 1:25.413 DELETED - TRACK LIMITS AT TURN 10 LAP 7 17:13:01,,,,,,11
2025-11-29 14:18:24,Flag,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - TRACK LIMITS,,BLACK AND WHITE,Driver,,22,11
2025-11-29 14:18:39,Other,CAR 6 (HAD) TIME 1:25.942 DELETED - TRACK LIMITS AT TURN 10 LAP 7 17:13:07,,,,,,11
2025-11-29 14:19:00,Flag,BLACK AND WHITE FLAG FOR CAR 43 (COL) - TRACK LIMITS,,BLACK AND WHITE,Driver,,43,11
2025-11-29 14:19:29,Other,CAR 22 (TSU) TIME 1:25.690 DELETED - TRACK LIMITS AT TURN 10 LAP 9 17:15:53,,,,,,12
2025-11-29 14:20:11,Other,CAR 30 (LAW) TIME 1:27.336 DELETED - TRACK LIMITS AT TURN 6 LAP 11 17:18:44,,,,,,12
2025-11-29 14:20:50,Other,TURN 6 INCIDENT INVOLVING CARS 30 (LAW) AND 16 (LEC) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,13
2025-11-29 14:20:52,Other,CAR 12 (ANT) TIME 1:25.597 DELETED - TRACK LIMITS AT TURN 10 LAP 8 17:14:30,,,,,,13
2025-11-29 14:20:57,Other,INCIDENT INVOLVING CAR 22 (TSU) NOTED - TRACK LIMITS,,,,,,13
2025-11-29 14:21:04,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 22 (TSU) UNDER INVESTIGATION - TRACK LIMITS,,,,,,13
2025-11-29 14:21:05,Other,CAR 16 (LEC) TIME 1:28.579 DELETED - TRACK LIMITS AT TURN 4 LAP 11 17:18:32,,,,,,13
2025-11-29 14:21:11,Other,FIA STEWARDS: TURN 6 INCIDENT INVOLVING CARS 30 (LAW) AND 16 (LEC) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,,,13
2025-11-29 14:21:17,Other,CAR 63 (RUS) TIME 1:24.929 DELETED - TRACK LIMITS AT TURN 10 LAP 9 17:15:46,,,,,,13
2025-11-29 14:21:25,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 22 (TSU) - TRACK LIMITS,,,,,,13
2025-11-29 14:21:56,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15,,,,,,13
2025-11-29 14:21:57,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16,,,,,,13
2025-11-29 14:22:06,Other,CAR 6 (HAD) TIME 1:26.116 DELETED - TRACK LIMITS AT TURN 10 LAP 9 17:15:59,,,,,,14
2025-11-29 14:22:08,Other,CAR 14 (ALO) TIME 1:26.323 DELETED - TRACK LIMITS AT TURN 16 LAP 12 17:20:42,,,,,,14
2025-11-29 14:22:10,Other,CAR 31 (OCO) TIME 1:27.271 DELETED - TRACK LIMITS AT TURN 5 LAP 12 17:20:05,,,,,,14
2025-11-29 14:24:10,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,15
2025-11-29 14:24:13,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,15
2025-11-29 14:26:30,Other,CAR 12 (ANT) TIME 1:24.967 DELETED - TRACK LIMITS AT TURN 10 LAP 16 17:25:53,,,,,,17
2025-11-29 14:26:35,Flag,BLACK AND WHITE FLAG FOR CAR 12 (ANT) - TRACK LIMITS,,BLACK AND WHITE,Driver,,12,17
2025-11-29 14:28:11,Other,CAR 87 (BEA) TIME 1:26.419 DELETED - TRACK LIMITS AT TURN 5 LAP 17 17:27:12,,,,,,18
2025-11-29 14:29:07,Other,CAR 12 (ANT) TIME 1:25.936 DELETED - TRACK LIMITS AT TURN 10 LAP 12 17:20:13,,,,,,19
2025-11-29 14:29:44,Other,CAR 12 (ANT) TIME 1:25.936 WILL BE REINSTATED,,,,,,19
2025-11-29 14:30:25,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,19
2025-11-29 14:32:26,Other,CAR 12 (ANT) TIME 1:25.936 DELETED - TRACK LIMITS AT TURN 10 LAP 12 17:20:13,,,,,,19
2025-11-29 14:32:35,Other,INCIDENT INVOLVING CAR 12 (ANT) NOTED - TRACK LIMITS,,,,,,19
2025-11-29 14:32:48,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 12 (ANT) UNDER INVESTIGATION - TRACK LIMITS,,,,,,19
2025-11-29 14:33:10,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 12 (ANT) - TRACK LIMITS,,,,,,19
2025-11-29 14:36:12,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,19
2025-11-29 14:36:15,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,19
2025-11-29 14:36:16,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,19
2025-11-29 14:36:18,Flag,DOUBLE YELLOW IN TRACK SECTOR 5,,DOUBLE YELLOW,Sector,5.0,,19
2025-11-29 14:36:26,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,19
2025-11-29 14:36:28,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,19
2025-11-29 14:36:45,Flag,DOUBLE YELLOW IN TRACK SECTOR 2,,DOUBLE YELLOW,Sector,2.0,,19
2025-11-29 14:36:46,Other,DRS DISABLED IN ZONE 1,,,,,,19
2025-11-29 14:36:51,Flag,DOUBLE YELLOW IN TRACK SECTOR 10,,DOUBLE YELLOW,Sector,10.0,,19
2025-11-29 14:37:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,19
2025-11-29 14:37:20,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,19
2025-11-29 14:37:23,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,19
