Driver,LapNumber,GapTime
VER,0.667,0.0
NOR,0.667,0.617
PIA,0.667,0.625
RUS,0.667,2.268
LEC,0.667,1.389
ALO,0.667,1.435
BOR,0.667,2.634
OCO,0.667,3.51
HAD,0.667,2.876
TSU,0.667,3.528
BEA,0.667,3.6630000000000003
SAI,0.667,4.035
LAW,0.667,3.649
ANT,0.667,5.071
STR,0.667,5.113
HAM,0.667,4.57
ALB,0.667,4.668
HUL,0.667,5.517
GAS,0.667,5.517
COL,0.667,5.666
VER,1.000,0.0
NOR,1.000,2.463
PIA,1.000,1.125
RUS,1.000,3.874
LEC,1.000,3.061
ALO,1.000,3.3890000000000002
BOR,1.000,4.362
OCO,1.000,5.507
HAD,1.000,5.042
TSU,1.000,6.036
BEA,1.000,6.753
SAI,1.000,7.336
LAW,1.000,6.398
ANT,1.000,9.112
STR,1.000,8.713
HAM,1.000,7.75
ALB,1.000,8.167
HUL,1.000,9.333
GAS,1.000,9.661
COL,1.000,10.112
VER,1.333,0.0
NOR,1.333,2.481
PIA,1.333,1.37
RUS,1.333,3.88
LEC,1.333,3.036
ALO,1.333,3.406
BOR,1.333,4.437
OCO,1.333,5.608
HAD,1.333,5.07
TSU,1.333,6.258
BEA,1.333,7.134
SAI,1.333,7.828
LAW,1.333,6.825
ANT,1.333,9.561
STR,1.333,9.061
HAM,1.333,8.031
ALB,1.333,8.53
HUL,1.333,9.953
GAS,1.333,10.568999999999999
COL,1.333,10.752
VER,1.667,0.0
NOR,1.667,2.337
PIA,1.667,1.521
RUS,1.667,3.653
LEC,1.667,2.653
ALO,1.667,3.206
BOR,1.667,4.136
OCO,1.667,5.359
HAD,1.667,4.721
TSU,1.667,5.916
BEA,1.667,7.462
SAI,1.667,7.395
LAW,1.667,6.515
ANT,1.667,9.396
STR,1.667,8.886
HAM,1.667,8.053
ALB,1.667,8.272
HUL,1.667,9.793
GAS,1.667,10.335
COL,1.667,10.582
VER,2.000,0.0
NOR,2.000,3.042
PIA,2.000,1.851
RUS,2.000,5.272
LEC,2.000,3.872
ALO,2.000,4.605
BOR,2.000,5.75
OCO,2.000,6.763
HAD,2.000,6.317
TSU,2.000,7.438
BEA,2.000,8.626
SAI,2.000,10.167
LAW,2.000,8.006
ANT,2.000,11.633
STR,2.000,11.05
HAM,2.000,9.350999999999999
ALB,2.000,10.645
HUL,2.000,12.002
GAS,2.000,12.531
COL,2.000,12.952
VER,2.333,0.0
NOR,2.333,2.901
PIA,2.333,1.76
RUS,2.333,5.173
LEC,2.333,3.77
ALO,2.333,4.623
BOR,2.333,5.742
OCO,2.333,6.873
HAD,2.333,6.353
TSU,2.333,7.688
BEA,2.333,8.693999999999999
SAI,2.333,10.279
LAW,2.333,8.307
ANT,2.333,11.949
STR,2.333,11.368
HAM,2.333,9.49
ALB,2.333,10.681000000000001
HUL,2.333,12.312
GAS,2.333,13.185
COL,2.333,13.527
VER,2.667,0.0
NOR,2.667,2.942
PIA,2.667,1.709
RUS,2.667,4.639
LEC,2.667,3.357
ALO,2.667,4.285
BOR,2.667,5.266
OCO,2.667,6.535
HAD,2.667,6.013
TSU,2.667,7.213
BEA,2.667,8.463
SAI,2.667,9.589
