Driver,LapNumber,LapTime,Compound
VER,2.0,89.117,MEDIUM
VER,3.0,89.555,MEDIUM
VER,4.0,89.563,MEDIUM
VER,5.0,89.695,MEDIUM
VER,6.0,89.772,MEDIUM
VER,7.0,89.744,MEDIUM
VER,8.0,89.601,MEDIUM
VER,9.0,89.413,MEDIUM
VER,10.0,89.465,MEDIUM
VER,11.0,89.538,MEDIUM
VER,12.0,89.543,MEDIUM
VER,13.0,89.633,MEDIUM
VER,14.0,89.526,MEDIUM
VER,15.0,89.703,MEDIUM
VER,16.0,89.46,MEDIUM
VER,17.0,89.578,MEDIUM
VER,18.0,89.596,MEDIUM
VER,19.0,89.614,MEDIUM
VER,20.0,89.557,MEDIUM
VER,21.0,89.441,MEDIUM
VER,22.0,89.243,MEDIUM
VER,23.0,91.365,MEDIUM
VER,24.0,108.923,HARD
VER,25.0,88.693,HARD
VER,26.0,88.312,HARD
VER,27.0,88.327,HARD
VER,28.0,88.371,HARD
VER,29.0,88.003,HARD
VER,30.0,88.049,HARD
VER,31.0,87.844,HARD
VER,32.0,87.801,HARD
VER,33.0,87.909,HARD
VER,34.0,87.924,HARD
VER,35.0,87.981,HARD
VER,36.0,87.81,HARD
VER,37.0,87.745,HARD
VER,38.0,87.751,HARD
VER,39.0,87.625,HARD
VER,40.0,88.142,HARD
VER,41.0,87.973,HARD
VER,42.0,88.22,HARD
VER,43.0,87.935,HARD
VER,44.0,87.893,HARD
VER,45.0,87.752,HARD
VER,46.0,87.961,HARD
VER,47.0,87.871,HARD
VER,48.0,87.818,HARD
VER,49.0,87.75,HARD
VER,50.0,87.986,HARD
VER,51.0,87.983,HARD
VER,52.0,88.455,HARD
VER,53.0,88.395,HARD
VER,54.0,88.175,HARD
VER,55.0,88.817,HARD
VER,56.0,88.621,HARD
VER,57.0,88.782,HARD
VER,58.0,88.473,HARD
NOR,2.0,89.893,MEDIUM
NOR,3.0,89.86,MEDIUM
NOR,4.0,89.841,MEDIUM
NOR,5.0,89.818,MEDIUM
NOR,6.0,89.82,MEDIUM
NOR,7.0,89.817,MEDIUM
NOR,8.0,89.51,MEDIUM
NOR,9.0,89.527,MEDIUM
NOR,10.0,89.635,MEDIUM
NOR,11.0,89.821,MEDIUM
NOR,12.0,89.682,MEDIUM
NOR,13.0,89.745,MEDIUM
NOR,14.0,90.061,MEDIUM
NOR,15.0,89.59,MEDIUM
NOR,16.0,91.722,MEDIUM
NOR,17.0,110.319,HARD
NOR,18.0,89.958,HARD
NOR,19.0,89.681,HARD
NOR,20.0,89.528,HARD
NOR,21.0,89.133,HARD
NOR,22.0,88.983,HARD
NOR,23.0,88.828,HARD
NOR,24.0,88.875,HARD
NOR,25.0,88.355,HARD
NOR,26.0,88.486,HARD
NOR,27.0,87.998,HARD
NOR,28.0,88.202,HARD
NOR,29.0,88.132,HARD
NOR,30.0,88.066,HARD
NOR,31.0,88.153,HARD
NOR,32.0,88.374,HARD
NOR,33.0,88.081,HARD
NOR,34.0,88.108,HARD
NOR,35.0,87.971,HARD
NOR,36.0,87.841,HARD
NOR,37.0,87.814,HARD
NOR,38.0,87.998,HARD
NOR,39.0,88.068,HARD
NOR,40.0,90.069,HARD
NOR,41.0,108.266,HARD
NOR,42.0,88.191,HARD
NOR,43.0,87.829,HARD
NOR,44.0,86.834,HARD
NOR,45.0,86.953,HARD
NOR,46.0,87.074,HARD
NOR,47.0,86.867,HARD
NOR,48.0,86.818,HARD
NOR,49.0,86.907,HARD
NOR,50.0,86.968,HARD
NOR,51.0,87.277,HARD
NOR,52.0,86.895,HARD
NOR,53.0,87.08,HARD
NOR,54.0,87.144,HARD
NOR,55.0,87.975,HARD
NOR,56.0,88.226,HARD
NOR,57.0,88.435,HARD
NOR,58.0,88.987,HARD
PIA,2.0,89.814,HARD
PIA,3.0,89.525,HARD
PIA,4.0,89.926,HARD
PIA,5.0,89.758,HARD
PIA,6.0,89.787,HARD
PIA,7.0,89.568,HARD
PIA,8.0,89.496,HARD
PIA,9.0,89.571,HARD
PIA,10.0,89.468,HARD
PIA,11.0,89.466,HARD
PIA,12.0,89.492,HARD
PIA,13.0,89.261,HARD
PIA,14.0,89.625,HARD
PIA,15.0,89.536,HARD
PIA,16.0,89.681,HARD
PIA,17.0,89.535,HARD
PIA,18.0,89.557,HARD
PIA,19.0,89.598,HARD
PIA,20.0,89.892,HARD
PIA,21.0,89.584,HARD
PIA,22.0,89.503,HARD
PIA,23.0,89.515,HARD
PIA,24.0,89.435,HARD
PIA,25.0,89.261,HARD
PIA,26.0,89.492,HARD
PIA,27.0,89.299,HARD
PIA,28.0,89.004,HARD
PIA,29.0,88.927,HARD
PIA,30.0,89.119,HARD
PIA,31.0,88.983,HARD
PIA,32.0,89.001,HARD
PIA,33.0,89.002,HARD
PIA,34.0,89.313,HARD
PIA,35.0,89.177,HARD
PIA,36.0,89.009,HARD
PIA,37.0,89.126,HARD
PIA,38.0,89.106,HARD
PIA,39.0,89.26,HARD
PIA,40.0,89.388,HARD
PIA,41.0,92.723,HARD
PIA,42.0,108.367,MEDIUM
PIA,43.0,87.369,MEDIUM
PIA,44.0,86.765,MEDIUM
PIA,45.0,87.392,MEDIUM
PIA,46.0,86.965,MEDIUM
PIA,47.0,86.994,MEDIUM
PIA,48.0,87.022,MEDIUM
PIA,49.0,87.112,MEDIUM
PIA,50.0,87.039,MEDIUM
PIA,51.0,87.312,MEDIUM
PIA,52.0,87.498,MEDIUM
PIA,53.0,87.527,MEDIUM
PIA,54.0,87.744,MEDIUM
PIA,55.0,87.79,MEDIUM
PIA,56.0,87.998,MEDIUM
PIA,57.0,88.406,MEDIUM
PIA,58.0,88.074,MEDIUM
RUS,2.0,90.629,MEDIUM
RUS,3.0,90.067,MEDIUM
RUS,4.0,89.337,MEDIUM
RUS,5.0,89.989,MEDIUM
RUS,6.0,89.929,MEDIUM
RUS,7.0,89.759,MEDIUM
RUS,8.0,90.124,MEDIUM
RUS,9.0,90.205,MEDIUM
RUS,10.0,90.006,MEDIUM
RUS,11.0,90.044,MEDIUM
RUS,12.0,90.095,MEDIUM
RUS,13.0,90.06,MEDIUM
RUS,14.0,92.081,MEDIUM
RUS,15.0,109.453,HARD
RUS,16.0,88.648,HARD
RUS,17.0,90.035,HARD
RUS,18.0,89.857,HARD
RUS,19.0,90.191,HARD
RUS,20.0,90.286,HARD
RUS,21.0,90.065,HARD
RUS,22.0,89.399,HARD
RUS,23.0,89.648,HARD
RUS,24.0,89.589,HARD
RUS,25.0,89.32,HARD
RUS,26.0,89.431,HARD
RUS,27.0,89.682,HARD
RUS,28.0,89.75,HARD
RUS,29.0,88.818,HARD
RUS,30.0,89.01,HARD
RUS,31.0,89.144,HARD
RUS,32.0,89.166,HARD
RUS,33.0,89.698,HARD
RUS,34.0,89.485,HARD
RUS,35.0,89.405,HARD
RUS,36.0,89.377,HARD
RUS,37.0,89.348,HARD
RUS,38.0,89.064,HARD
RUS,39.0,89.157,HARD
RUS,40.0,89.278,HARD
RUS,41.0,89.3,HARD
RUS,42.0,89.981,HARD
RUS,43.0,89.457,HARD
RUS,44.0,88.818,HARD
RUS,45.0,89.132,HARD
RUS,46.0,88.944,HARD
RUS,47.0,89.062,HARD
RUS,48.0,88.922,HARD
RUS,49.0,88.773,HARD
RUS,50.0,89.088,HARD
RUS,51.0,88.789,HARD
RUS,52.0,89.041,HARD
RUS,53.0,88.831,HARD
RUS,54.0,88.701,HARD
RUS,55.0,88.824,HARD
RUS,56.0,88.835,HARD
RUS,57.0,88.599,HARD
RUS,58.0,88.853,HARD
LEC,2.0,90.087,MEDIUM
LEC,3.0,89.681,MEDIUM
LEC,4.0,89.943,MEDIUM
LEC,5.0,90.062,MEDIUM
LEC,6.0,89.739,MEDIUM
LEC,7.0,89.671,MEDIUM
LEC,8.0,89.606,MEDIUM
LEC,9.0,89.654,MEDIUM
LEC,10.0,89.63,MEDIUM
LEC,11.0,89.909,MEDIUM
LEC,12.0,90.057,MEDIUM
LEC,13.0,89.938,MEDIUM
LEC,14.0,90.054,MEDIUM
LEC,15.0,89.998,MEDIUM
LEC,16.0,91.99,MEDIUM
LEC,17.0,110.216,HARD
LEC,18.0,89.872,HARD
LEC,19.0,89.529,HARD
LEC,20.0,89.256,HARD
LEC,21.0,89.055,HARD
LEC,22.0,88.891,HARD
LEC,23.0,89.595,HARD
LEC,24.0,89.019,HARD
LEC,25.0,88.171,HARD
LEC,26.0,88.044,HARD
LEC,27.0,88.098,HARD
LEC,28.0,88.149,HARD
LEC,29.0,88.391,HARD
LEC,30.0,88.471,HARD
LEC,31.0,88.548,HARD
LEC,32.0,88.854,HARD
LEC,33.0,88.664,HARD
LEC,34.0,88.58,HARD
LEC,35.0,88.453,HARD
LEC,36.0,88.303,HARD
LEC,37.0,88.35,HARD
LEC,38.0,88.152,HARD
LEC,39.0,90.239,HARD
LEC,40.0,108.177,MEDIUM
LEC,41.0,88.125,MEDIUM
LEC,42.0,87.269,MEDIUM
LEC,43.0,86.919,MEDIUM
LEC,44.0,86.847,MEDIUM
LEC,45.0,86.725,MEDIUM
LEC,46.0,86.856,MEDIUM
LEC,47.0,86.974,MEDIUM
LEC,48.0,86.845,MEDIUM
LEC,49.0,86.936,MEDIUM
LEC,50.0,87.213,MEDIUM
LEC,51.0,87.376,MEDIUM
