,NOR,PIA,LEC,HAM,VER,TSU,RUS,ANT,ALO,STR,GAS,DOO,OCO,BEA,HIR,HAD,LAW,ALB,SAI,HUL,BOR,COL
AUS,,1,,1,,1,,,,,,1,,,,,,,1,1,,
CHN,,1,,,1,,,,,,,,1,1,,,1,,1,,,
JPN,,,1,,1,,,,1,,,,,,,,1,,1,,,
BHR,,,,1,,,1,,,,,,1,,,,1,1,1,,,
SAU,,1,,,,,,,,,,,,,,1,1,,,1,,
MIA,,1,,1,,,,1,,1,,,,,,,1,,,,,
EMI,1,,,,,,1,,1,,1,,1,,,,,,,,,1
MCO,,,,,1,,,1,,,,,,1,,,,1,,1,,
ESP,,,1,1,,,,,,,,,,1,,,,,1,,,1
CAN,,,,,1,,1,,,1,,,1,,,1,,,,,1,
AUT,,,,1,1,,,,1,,,,,1,,,1,,,,,
GBR,,1,,,,1,1,,,,,,,,,,,,1,,,1
BEL,,,,1,,,1,1,,1,,,1,1,,,,,,,,
HUN,1,,1,,,,,,1,,1,,,,,,,1,,,,
NLD,,1,,,1,,1,,,,,,,,,,,,1,,1,
ITA,,,,1,1,,,,1,,1,,,,,,1,1,1,,,
AZE,,,1,,1,,,1,,1,,,,1,1,1,1,,,,,
SGP,1,1,,,,,,,1,,,,,,,,,,,1,,1
USA,,1,,,1,,,,,1,,,1,,,,,1,,,,1
MEX,1,,,,,,1,,,,,,,1,,,1,,1,,1,
SAO,,1,,1,1,,,,1,,,,,,,,1,,,,,
LAS,,,,,,,1,1,,,,,,,,1,,,1,1,,
QTR,1,2,,,1,,,,,,1,,,,,1,,,,,,1
ARE,1,,,1,1,,,,,,,,,,,,1,,1,,,
,6,11,4,9,12,2,8,5,7,5,4,1,6,7,1,5,11,5,11,5,3,6
