Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-03-07 01:27:54,Other,ESTIMATED TIME OF SESSION START - 12:45,,,,,,
2026-03-07 01:40:35,Other,ESTIMATED TIME OF SESSION START - 12:50,,,,,,
2026-03-07 01:46:58,Other,SESSION WILL START AT 12:50,,,,,,
2026-03-07 01:48:07,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 7,,,,,,
2026-03-07 01:50:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-03-07 01:54:10,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2026-03-07 01:58:09,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2026-03-07 01:58:10,Flag,YELLOW IN TRACK SECTOR 20,,YELLOW,Sector,20.0,,
2026-03-07 01:58:11,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2026-03-07 01:58:34,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2026-03-07 02:00:23,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,
2026-03-07 02:00:25,Other,PIT LANE ENTRY CLOSED,,,,,,
2026-03-07 02:00:26,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2026-03-07 02:01:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2026-03-07 02:01:52,Other,MARSHALS ON TRACK AT PIT ENTRY,,,,,,
2026-03-07 02:03:42,Flag,RED FLAG,,RED,Track,,,
2026-03-07 02:03:42,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2026-03-07 02:03:50,Other,PIT LANE ENTRY OPEN,,,,,,
2026-03-07 02:06:13,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-03-07 02:06:16,Other,OVERTAKE ENABLED,,,,,,
2026-03-07 02:06:37,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2026-03-07 02:06:43,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2026-03-07 02:09:15,Other,ESTIMATED TIME OF SESSION START - 13:11,,,,,,
2026-03-07 02:10:02,Other,SESSION WILL RESUME AT 13:11,,,,,,
2026-03-07 02:11:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-03-07 02:22:48,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2026-03-07 02:23:14,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-03-07 02:25:51,Other,CAR 43 (COL) TIME 1:22.908 DELETED - TRACK LIMITS AT TURN 6 LAP 15 13:22:10,,,,,,
2026-03-07 02:36:50,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-03-07 02:36:53,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-03-07 02:36:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2026-03-07 02:37:13,Flag,RED FLAG,,RED,Track,,,
2026-03-07 02:37:13,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2026-03-07 02:37:13,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-03-07 02:37:37,Other,MEDICAL CAR DEPLOYED,,,,,,
2026-03-07 02:40:39,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-03-07 02:40:42,Other,OVERTAKE ENABLED,,,,,,
2026-03-07 02:41:35,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2026-03-07 02:44:31,Other,SESSION WILL RESUME AT 13:46,,,,,,
2026-03-07 02:45:20,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-03-07 02:46:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-03-07 02:46:02,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 3,,,,,,
2026-03-07 02:50:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-03-07 02:50:11,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,,
2026-03-07 02:50:22,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-03-07 02:51:49,Other,CAR 11 (PER) TIME 1:42.572 DELETED - TRACK LIMITS AT TURN 3 LAP 20 13:50:20,,,,,,
2026-03-07 02:57:46,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2026-03-07 02:58:01,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2026-03-07 02:58:10,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-03-07 02:58:28,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2026-03-07 02:58:34,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2026-03-07 02:58:52,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2026-03-07 02:59:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2026-03-07 02:59:37,Flag,YELLOW IN TRACK SECTOR 12,,YELLOW,Sector,12.0,,
2026-03-07 02:59:43,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2026-03-07 02:59:46,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
2026-03-07 02:59:48,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2026-03-07 02:59:49,Flag,CLEAR IN TRACK SECTOR 12,,CLEAR,Sector,12.0,,
2026-03-07 03:00:13,Other,RISK OF RAIN FOR THE F2 SPRINT RACE IS 0%,,,,,,
2026-03-07 03:10:00,Other,"SESSION TEMPERATURES: AIR = 20, TRACK = 38",,,,,,
