Driver,LapNumber,LapTime,Compound
RUS,1.0,111.876,SOFT
RUS,2.0,79.84,SOFT
RUS,3.0,121.569,SOFT
RUS,5.0,110.313,SOFT
RUS,6.0,93.246,SOFT
RUS,7.0,79.507,SOFT
RUS,9.0,139.248,SOFT
RUS,10.0,78.934,SOFT
RUS,12.0,108.654,SOFT
RUS,13.0,78.987,SOFT
RUS,15.0,108.083,SOFT
RUS,18.0,79.084,SOFT
RUS,20.0,102.628,SOFT
RUS,21.0,78.518,SOFT
HAM,1.0,108.17,MEDIUM
HAM,2.0,80.852,MEDIUM
HAM,3.0,107.042,MEDIUM
HAM,4.0,94.814,MEDIUM
HAM,5.0,80.421,MEDIUM
HAM,7.0,119.467,MEDIUM
HAM,8.0,79.811,MEDIUM
HAM,10.0,149.731,SOFT
HAM,11.0,96.101,SOFT
HAM,12.0,103.821,SOFT
HAM,14.0,94.645,SOFT
HAM,15.0,79.921,SOFT
HAM,16.0,111.111,SOFT
HAM,18.0,117.488,SOFT
HAM,20.0,116.784,SOFT
HAM,21.0,80.423,SOFT
HAM,23.0,120.661,SOFT
HAM,24.0,79.478,SOFT
LEC,1.0,111.48,MEDIUM
LEC,2.0,80.712,MEDIUM
LEC,3.0,107.918,MEDIUM
LEC,4.0,80.226,MEDIUM
LEC,6.0,113.382,MEDIUM
LEC,9.0,80.088,SOFT
LEC,10.0,106.645,SOFT
LEC,11.0,96.464,SOFT
LEC,12.0,80.296,SOFT
LEC,14.0,95.534,SOFT
LEC,15.0,79.357,SOFT
LEC,17.0,117.877,SOFT
LEC,19.0,117.137,SOFT
LEC,20.0,80.244,SOFT
LEC,22.0,98.452,SOFT
LEC,23.0,79.327,SOFT
PIA,1.0,121.546,SOFT
PIA,2.0,80.552,SOFT
PIA,3.0,110.825,SOFT
PIA,4.0,105.3,SOFT
PIA,5.0,80.272,SOFT
PIA,8.0,88.974,SOFT
PIA,9.0,79.664,SOFT
PIA,11.0,116.518,SOFT
PIA,12.0,104.75,SOFT
PIA,13.0,79.582,SOFT
PIA,15.0,106.667,SOFT
PIA,16.0,79.525,SOFT
PIA,19.0,90.057,SOFT
PIA,22.0,80.322,SOFT
PIA,24.0,95.254,SOFT
PIA,25.0,79.38,SOFT
HAD,1.0,108.799,SOFT
HAD,2.0,80.445,SOFT
HAD,4.0,120.766,SOFT
HAD,5.0,80.023,SOFT
HAD,7.0,108.263,SOFT
HAD,8.0,79.706,SOFT
HAD,10.0,110.017,SOFT
HAD,11.0,79.653,SOFT
HAD,15.0,79.625,SOFT
HAD,17.0,108.88,SOFT
HAD,18.0,79.303,SOFT
VER,1.0,102.025,SOFT
ANT,1.0,119.979,SOFT
ANT,2.0,80.12,SOFT
ANT,3.0,108.494,SOFT
ANT,4.0,80.289,SOFT
ANT,6.0,122.055,SOFT
ANT,7.0,79.604,SOFT
ANT,9.0,102.207,SOFT
ANT,10.0,79.435,SOFT
ANT,12.0,102.729,SOFT
ANT,16.0,96.911,SOFT
ANT,17.0,78.811,SOFT
NOR,1.0,126.258,SOFT
NOR,2.0,81.232,SOFT
NOR,3.0,109.724,SOFT
NOR,4.0,97.484,SOFT
NOR,5.0,80.448,SOFT
NOR,8.0,95.054,SOFT
NOR,9.0,92.802,SOFT
NOR,10.0,80.01,SOFT
NOR,12.0,118.308,SOFT
NOR,13.0,98.007,SOFT
NOR,14.0,79.882,SOFT
NOR,16.0,111.016,SOFT
NOR,17.0,79.909,SOFT
NOR,19.0,96.255,SOFT
NOR,21.0,114.507,SOFT
NOR,22.0,79.605,SOFT
NOR,24.0,116.603,SOFT
NOR,25.0,79.475,SOFT
BOR,1.0,121.211,SOFT
BOR,2.0,90.971,SOFT
BOR,3.0,80.495,SOFT
BOR,4.0,116.178,SOFT
BOR,5.0,80.747,SOFT
BOR,7.0,121.357,SOFT
BOR,8.0,96.52,SOFT
BOR,9.0,80.374,SOFT
BOR,11.0,104.231,SOFT
BOR,12.0,99.431,SOFT
BOR,13.0,80.221,SOFT
BOR,14.0,95.536,SOFT
BEA,2.0,81.408,SOFT
BEA,3.0,112.229,SOFT
BEA,4.0,81.247,SOFT
BEA,6.0,108.796,SOFT
