Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-03-13 03:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-03-13 03:33:12,Other,CAR 43 (COL) LAP DELETED - TRACK LIMITS AT TURN 9 LAP 2 11:31:36,,,,,,
2026-03-13 03:33:32,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2026-03-13 03:33:54,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2026-03-13 03:34:36,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16,,,,,,
2026-03-13 03:36:08,Other,CAR 44 (HAM) TIME 2:16.972 DELETED - TRACK LIMITS AT TURN 6 LAP 3 11:33:45,,,,,,
2026-03-13 03:36:32,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2026-03-13 03:37:49,Other,TURN 16 INCIDENT INVOLVING CARS 1 (NOR) AND 44 (HAM) NOTED - CAUSING A COLLISION,,,,,,
2026-03-13 03:39:26,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,
2026-03-13 03:39:31,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2026-03-13 03:39:38,Other,CAR 5 (BOR) TIME 1:54.577 DELETED - TRACK LIMITS AT TURN 6 LAP 5 11:38:11,,,,,,
2026-03-13 03:40:21,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2026-03-13 03:40:24,SafetyCar,VSC ENDING,ENDING,,,,,
2026-03-13 03:40:39,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-03-13 03:41:11,Other,FIA STEWARDS: TURN 16 INCIDENT INVOLVING CARS 1 (NOR) AND 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION,,,,,,
2026-03-13 03:43:03,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
2026-03-13 03:43:04,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2026-03-13 03:43:52,SafetyCar,VSC DEPLOYED,DEPLOYED,,,,,
2026-03-13 03:46:41,Other,MARSHALS ON TRACK AT TURN 14,,,,,,
2026-03-13 03:47:32,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2026-03-13 03:47:35,SafetyCar,VSC ENDING,ENDING,,,,,
2026-03-13 03:47:48,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-03-13 03:50:11,Other,CAR 16 (LEC) TIME 1:44.477 DELETED - DOUBLE YELLOW AT TURN 14,,,,,,
2026-03-13 03:50:28,Other,CAR 77 (BOT) TIME 1:38.702 DELETED - DOUBLE YELLOW AT TURN 14,,,,,,
2026-03-13 03:56:59,Other,CAR 1 (NOR) TIME 1:54.401 DELETED - TRACK LIMITS AT TURN 2 LAP 13 11:52:54,,,,,,
2026-03-13 04:06:30,Other,CAR 81 (PIA) TIME 1:56.171 DELETED - TRACK LIMITS AT TURN 2 LAP 12 12:01:27,,,,,,
2026-03-13 04:14:06,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 19,,,,,,
2026-03-13 04:15:43,Other,YELLOW IN PIT LANE,,,,,,
2026-03-13 04:16:14,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2026-03-13 04:16:17,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2026-03-13 04:16:35,Other,PIT LANE CLEAR,,,,,,
2026-03-13 04:16:49,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2026-03-13 04:17:08,Other,CAR 14 (ALO) LAP DELETED - TRACK LIMITS AT TURN 14 LAP 13 12:16:11,,,,,,
2026-03-13 04:25:50,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 16,,,,,,
2026-03-13 04:26:48,Other,CAR 18 (STR) TIME 2:26.301 DELETED - TRACK LIMITS AT TURN 6 LAP 17 12:24:47,,,,,,
2026-03-13 04:28:43,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2026-03-13 04:29:19,Other,CAR 16 (LEC) TIME 1:34.618 DELETED - TRACK LIMITS AT TURN 16 LAP 25 12:28:53,,,,,,
2026-03-13 04:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-03-13 04:30:09,Other,FIRST CAR TO TAKE THE FLAG - CAR 14 (ALO),,,,,,
2026-03-13 04:39:14,Other,INCIDENT INVOLVING CAR 23 (ALB) NOTED - PRACTICE START INFRINGEMENT,,,,,,
2026-03-13 04:41:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2026-03-13 04:42:13,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2026-03-13 04:44:40,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 23 (ALB) WILL BE INVESTIGATED AFTER THE SESSION - PRACTICE START INFRINGEMENT,,,,,,
2026-03-13 04:44:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2026-03-13 04:45:03,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2026-03-13 04:45:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2026-03-13 04:45:33,Flag,YELLOW IN TRACK SECTOR 11,,YELLOW,Sector,11.0,,
