Driver,LapNumber,LapTime,Compound
ANT,2.0,93.305,SOFT
ANT,3.0,122.47,SOFT
ANT,5.0,92.95,SOFT
ANT,6.0,145.284,SOFT
ANT,8.0,92.443,SOFT
ANT,9.0,121.273,SOFT
ANT,11.0,92.322,SOFT
ANT,12.0,108.256,SOFT
ANT,14.0,92.064,SOFT
ANT,15.0,118.062,SOFT
RUS,2.0,93.262,SOFT
RUS,3.0,131.474,SOFT
RUS,5.0,92.523,SOFT
RUS,6.0,116.245,SOFT
RUS,8.0,117.937,SOFT
RUS,9.0,105.617,SOFT
RUS,12.0,92.286,SOFT
RUS,13.0,132.756,SOFT
HAM,2.0,95.892,MEDIUM
HAM,3.0,118.798,MEDIUM
HAM,5.0,93.522,SOFT
HAM,6.0,131.966,SOFT
HAM,8.0,92.834,SOFT
HAM,9.0,115.967,SOFT
HAM,11.0,92.567,SOFT
HAM,12.0,126.863,SOFT
HAM,13.0,106.805,SOFT
HAM,15.0,93.02,SOFT
HAM,16.0,116.241,SOFT
HAM,18.0,92.415,SOFT
HAM,19.0,130.702,SOFT
LEC,2.0,94.507,SOFT
LEC,3.0,114.827,SOFT
LEC,4.0,104.077,SOFT
LEC,6.0,93.175,SOFT
LEC,7.0,118.354,SOFT
LEC,9.0,92.902,SOFT
LEC,10.0,112.202,SOFT
LEC,12.0,92.486,SOFT
LEC,13.0,122.599,SOFT
LEC,14.0,107.894,SOFT
LEC,16.0,92.623,SOFT
LEC,17.0,116.257,SOFT
LEC,19.0,92.428,SOFT
LEC,20.0,127.785,SOFT
PIA,2.0,93.99,SOFT
PIA,3.0,121.531,SOFT
PIA,5.0,93.59,SOFT
PIA,6.0,124.552,SOFT
PIA,8.0,93.364,SOFT
PIA,9.0,118.249,SOFT
PIA,11.0,93.13,SOFT
PIA,12.0,126.391,SOFT
PIA,13.0,93.254,SOFT
PIA,14.0,122.007,SOFT
PIA,16.0,92.55,SOFT
PIA,17.0,116.801,SOFT
PIA,19.0,92.568,SOFT
PIA,20.0,132.631,SOFT
NOR,2.0,94.401,SOFT
NOR,3.0,114.046,SOFT
NOR,5.0,93.535,SOFT
NOR,6.0,118.89,SOFT
NOR,8.0,93.271,SOFT
NOR,9.0,116.401,SOFT
NOR,11.0,93.024,SOFT
NOR,12.0,124.799,SOFT
NOR,13.0,92.91,SOFT
NOR,14.0,113.615,SOFT
NOR,16.0,92.608,SOFT
NOR,17.0,113.305,SOFT
NOR,19.0,92.631,SOFT
NOR,20.0,122.239,SOFT
GAS,2.0,94.503,SOFT
GAS,3.0,117.628,SOFT
GAS,5.0,93.904,SOFT
GAS,6.0,120.834,SOFT
GAS,7.0,116.611,SOFT
GAS,8.0,93.788,SOFT
GAS,9.0,123.973,SOFT
GAS,11.0,93.28,SOFT
GAS,12.0,121.1,SOFT
GAS,14.0,93.003,SOFT
GAS,15.0,125.25,SOFT
GAS,17.0,94.052,SOFT
GAS,18.0,116.735,SOFT
GAS,20.0,92.873,SOFT
GAS,21.0,132.084,SOFT
VER,2.0,94.49,MEDIUM
VER,3.0,134.212,MEDIUM
VER,4.0,94.454,MEDIUM
VER,5.0,111.277,MEDIUM
VER,7.0,93.417,SOFT
VER,8.0,123.322,SOFT
VER,10.0,93.179,SOFT
VER,11.0,114.13,SOFT
VER,13.0,93.098,SOFT
VER,14.0,121.98,SOFT
VER,16.0,93.334,SOFT
VER,17.0,108.941,SOFT
VER,19.0,93.002,SOFT
VER,20.0,124.717,SOFT
HAD,2.0,94.519,MEDIUM
HAD,3.0,125.814,MEDIUM
HAD,4.0,94.396,MEDIUM
HAD,5.0,117.136,MEDIUM
HAD,7.0,93.632,SOFT
HAD,8.0,127.074,SOFT
HAD,10.0,93.352,SOFT
HAD,11.0,117.892,SOFT
HAD,13.0,93.497,SOFT
HAD,14.0,115.226,SOFT
HAD,16.0,93.354,SOFT
HAD,17.0,113.303,SOFT
HAD,19.0,93.121,SOFT
HAD,20.0,129.033,SOFT
BEA,2.0,94.804,SOFT
BEA,3.0,110.796,SOFT
BEA,5.0,93.756,SOFT
BEA,6.0,135.892,SOFT
BEA,7.0,93.687,SOFT
BEA,8.0,121.073,SOFT
BEA,10.0,93.197,SOFT
BEA,11.0,119.193,SOFT
BEA,13.0,105.574,SOFT
BEA,15.0,93.956,SOFT
BEA,16.0,121.123,SOFT
BEA,18.0,93.292,SOFT
BEA,19.0,137.192,SOFT
HUL,2.0,133.272,SOFT
HUL,3.0,94.116,SOFT
HUL,4.0,130.677,SOFT
HUL,5.0,94.158,SOFT
HUL,6.0,115.361,SOFT
HUL,8.0,93.368,SOFT
HUL,9.0,114.547,SOFT
HUL,11.0,93.354,SOFT
HUL,12.0,121.602,SOFT
COL,2.0,95.973,SOFT
COL,3.0,111.54,SOFT
COL,4.0,139.384,SOFT
COL,5.0,94.388,SOFT
COL,6.0,111.194,SOFT
COL,8.0,93.634,SOFT
COL,9.0,117.17,SOFT
COL,11.0,93.616,SOFT
COL,12.0,115.501,SOFT
COL,14.0,93.357,SOFT
COL,15.0,115.348,SOFT
OCO,2.0,94.904,SOFT
OCO,3.0,114.005,SOFT
OCO,5.0,94.068,SOFT
OCO,6.0,130.55,SOFT
OCO,7.0,93.974,SOFT
OCO,8.0,124.343,SOFT
OCO,10.0,93.538,SOFT
OCO,11.0,122.282,SOFT
OCO,13.0,97.148,SOFT
OCO,14.0,128.063,SOFT
LAW,2.0,94.731,SOFT
LAW,3.0,116.952,SOFT
LAW,5.0,94.209,SOFT
LAW,6.0,112.876,SOFT
LAW,7.0,111.381,SOFT
LAW,8.0,94.139,SOFT
LAW,9.0,117.479,SOFT
LAW,11.0,93.765,SOFT
LAW,12.0,114.48,SOFT
LAW,14.0,96.237,SOFT
LAW,15.0,129.557,SOFT
LIN,2.0,114.185,SOFT
LIN,3.0,95.035,SOFT
LIN,4.0,120.01,SOFT
LIN,5.0,95.961,SOFT
LIN,6.0,120.046,SOFT
LIN,8.0,93.906,SOFT
LIN,9.0,120.621,SOFT
LIN,11.0,93.784,SOFT
LIN,12.0,115.688,SOFT
LIN,14.0,98.588,SOFT
LIN,15.0,126.293,SOFT
BOR,2.0,137.426,SOFT
BOR,3.0,94.349,SOFT
BOR,4.0,131.917,SOFT
BOR,5.0,94.484,SOFT
BOR,6.0,123.416,SOFT
BOR,8.0,93.549,SOFT
BOR,9.0,126.409,SOFT
BOR,11.0,93.965,SOFT
BOR,12.0,115.875,SOFT
BOR,14.0,126.878,SOFT
SAI,2.0,114.19,SOFT
SAI,3.0,95.352,SOFT
SAI,4.0,116.538,SOFT
SAI,5.0,147.817,SOFT
SAI,6.0,96.698,SOFT
SAI,7.0,118.57,SOFT
SAI,9.0,94.317,SOFT
SAI,10.0,123.505,SOFT
ALB,2.0,113.906,SOFT
ALB,3.0,95.501,SOFT
ALB,4.0,109.587,SOFT
ALB,5.0,136.601,SOFT
ALB,6.0,95.145,SOFT
ALB,7.0,114.571,SOFT
ALB,8.0,143.939,SOFT
ALB,9.0,94.772,SOFT
ALB,10.0,120.841,SOFT
ALO,2.0,96.338,SOFT
ALO,3.0,117.571,SOFT
ALO,4.0,141.906,SOFT
ALO,5.0,95.446,SOFT
ALO,6.0,118.604,SOFT
ALO,8.0,95.203,SOFT
ALO,9.0,118.64,SOFT
BOT,2.0,96.968,SOFT
BOT,3.0,115.084,SOFT
BOT,5.0,95.928,SOFT
BOT,6.0,118.816,SOFT
BOT,8.0,95.436,SOFT
BOT,9.0,125.483,SOFT
STR,2.0,97.069,SOFT
STR,3.0,123.648,SOFT
STR,4.0,140.364,SOFT
STR,5.0,96.412,SOFT
STR,6.0,120.023,SOFT
STR,8.0,95.995,SOFT
STR,9.0,130.224,SOFT
PER,2.0,97.524,SOFT
PER,3.0,114.254,SOFT
PER,5.0,96.906,SOFT
PER,6.0,124.362,SOFT
