Driver,LapNumber,GapTime
NOR,0.667,
GAS,0.667,
PER,0.667,
ANT,0.667,
ALO,0.667,
LEC,0.667,
STR,0.667,
ALB,0.667,
HUL,0.667,
VER,0.667,
LAW,0.667,
OCO,0.667,
LIN,0.667,
COL,0.667,
HAM,0.667,
BOR,0.667,
SAI,0.667,
HAD,0.667,
RUS,0.667,
BOT,0.667,
PIA,0.667,
BEA,0.667,
NOR,1.000,
GAS,1.000,
PER,1.000,
ANT,1.000,
ALO,1.000,
LEC,1.000,
STR,1.000,
ALB,1.000,
HUL,1.000,
VER,1.000,
LAW,1.000,
OCO,1.000,
LIN,1.000,
COL,1.000,
HAM,1.000,
BOR,1.000,
SAI,1.000,
HAD,1.000,
RUS,1.000,
BOT,1.000,
PIA,1.000,
BEA,1.000,
GAS,1.333,2.7720000000000002
PER,1.333,15.61
ANT,1.333,0.273
ALO,1.333,7.927
LEC,1.333,0.992
STR,1.333,10.231
HUL,1.333,9.396
VER,1.333,8.073
LAW,1.333,6.245
OCO,1.333,7.154
LIN,1.333,7.028
COL,1.333,5.505
HAM,1.333,0.0
SAI,1.333,7.718
HAD,1.333,43.742
RUS,1.333,1.76
BOT,1.333,9.253
BEA,1.333,8.827
GAS,1.667,2.878
PER,1.667,16.179
ANT,1.667,0.384
ALO,1.667,9.406
LEC,1.667,0.823
STR,1.667,11.562
HUL,1.667,10.707
VER,1.667,8.993
LAW,1.667,6.635
OCO,1.667,7.505
LIN,1.667,8.001
COL,1.667,5.486
HAM,1.667,0.0
SAI,1.667,8.549
HAD,1.667,43.962
RUS,1.667,1.312
BOT,1.667,10.451
BEA,1.667,9.657
GAS,2.000,3.008
PER,2.000,17.641
ANT,2.000,0.0
ALO,2.000,11.05
LEC,2.000,1.147
STR,2.000,12.852
HUL,2.000,11.83
VER,2.000,9.714
LAW,2.000,7.325
OCO,2.000,7.943
LIN,2.000,9.075
COL,2.000,6.28
HAM,2.000,0.541
SAI,2.000,9.716
HAD,2.000,45.342
RUS,2.000,1.3639999999999999
BOT,2.000,11.458
BEA,2.000,10.519
GAS,2.333,3.387
PER,2.333,18.252
ANT,2.333,0.0
ALO,2.333,11.702
LEC,2.333,1.8679999999999999
