Driver,LapNumber,LapTime,Compound
ANT,2.0,90.035,SOFT
ANT,3.0,116.306,SOFT
ANT,5.0,89.774,SOFT
ANT,6.0,107.772,SOFT
ANT,8.0,89.048,SOFT
ANT,9.0,112.223,SOFT
ANT,11.0,88.778,SOFT
ANT,12.0,105.679,SOFT
ANT,14.0,88.839,SOFT
ANT,15.0,116.462,SOFT
RUS,2.0,90.631,SOFT
RUS,3.0,120.217,SOFT
RUS,5.0,89.967,SOFT
RUS,6.0,119.68,SOFT
RUS,8.0,90.117,SOFT
RUS,9.0,112.666,SOFT
RUS,11.0,89.767,SOFT
RUS,12.0,124.89,SOFT
RUS,13.0,121.576,SOFT
RUS,14.0,89.686,SOFT
RUS,15.0,105.164,SOFT
RUS,17.0,89.076,SOFT
RUS,18.0,108.956,SOFT
RUS,20.0,89.195,SOFT
RUS,21.0,127.357,SOFT
LEC,2.0,90.078,SOFT
LEC,3.0,121.896,SOFT
LEC,4.0,111.805,SOFT
LEC,5.0,89.915,SOFT
LEC,6.0,115.344,SOFT
LEC,8.0,89.785,SOFT
LEC,9.0,111.384,SOFT
LEC,11.0,89.303,SOFT
LEC,12.0,117.955,SOFT
LEC,14.0,89.434,SOFT
LEC,15.0,108.378,SOFT
LEC,17.0,89.405,SOFT
PIA,2.0,90.438,SOFT
PIA,3.0,122.498,SOFT
PIA,4.0,90.324,SOFT
PIA,5.0,117.95,SOFT
PIA,7.0,90.2,SOFT
PIA,8.0,113.098,SOFT
PIA,10.0,89.451,SOFT
PIA,11.0,115.399,SOFT
PIA,13.0,89.829,SOFT
PIA,14.0,114.579,SOFT
PIA,16.0,89.132,SOFT
PIA,17.0,112.345,SOFT
PIA,19.0,89.198,SOFT
PIA,20.0,118.545,SOFT
HAM,2.0,90.628,SOFT
HAM,3.0,125.792,SOFT
HAM,4.0,113.774,SOFT
HAM,5.0,90.309,SOFT
HAM,6.0,112.338,SOFT
HAM,8.0,90.118,SOFT
HAM,9.0,112.847,SOFT
HAM,11.0,89.945,SOFT
HAM,12.0,131.496,SOFT
HAM,13.0,89.589,SOFT
HAM,14.0,108.018,SOFT
HAM,16.0,89.567,SOFT
HAM,17.0,107.554,SOFT
HAM,19.0,89.66,SOFT
HAM,20.0,127.915,SOFT
NOR,2.0,90.676,SOFT
NOR,3.0,120.425,SOFT
NOR,4.0,90.401,SOFT
NOR,5.0,114.852,SOFT
NOR,7.0,90.534,SOFT
NOR,8.0,116.497,SOFT
NOR,10.0,89.795,SOFT
NOR,11.0,113.456,SOFT
NOR,13.0,90.101,SOFT
NOR,14.0,117.191,SOFT
NOR,16.0,89.409,SOFT
NOR,17.0,109.25,SOFT
NOR,19.0,89.757,SOFT
NOR,20.0,118.844,SOFT
HUL,2.0,90.843,SOFT
HUL,3.0,120.871,SOFT
HUL,4.0,90.542,SOFT
HUL,5.0,110.347,SOFT
HUL,7.0,90.358,SOFT
HUL,8.0,116.882,SOFT
HUL,10.0,90.412,SOFT
HUL,11.0,105.58,SOFT
HUL,13.0,90.387,SOFT
HUL,14.0,109.294,SOFT
VER,2.0,90.726,SOFT
VER,3.0,111.528,SOFT
VER,5.0,90.519,SOFT
VER,6.0,108.449,SOFT
VER,8.0,90.363,SOFT
VER,9.0,110.239,SOFT
VER,11.0,90.262,SOFT
VER,12.0,114.536,SOFT
BOR,2.0,90.752,SOFT
BOR,3.0,124.942,SOFT
BOR,4.0,90.966,SOFT
BOR,5.0,112.622,SOFT
BOR,7.0,90.359,SOFT
BOR,8.0,123.449,SOFT
BOR,10.0,90.093,SOFT
BOR,11.0,115.103,SOFT
BOR,13.0,89.99,SOFT
BOR,14.0,122.242,SOFT
BOR,16.0,90.648,SOFT
BOR,17.0,113.859,SOFT
BOR,19.0,90.274,SOFT
BOR,20.0,130.539,SOFT
GAS,2.0,90.765,SOFT
