Driver,LapNumber,GapTime
NOR,0.667,1.911
GAS,0.667,4.197
PER,0.667,10.108
ANT,0.667,3.6710000000000003
ALO,0.667,11.439
LEC,0.667,0.804
STR,0.667,12.286
ALB,0.667,9.558
HUL,0.667,10.185
VER,0.667,5.969
LAW,0.667,7.152
OCO,0.667,6.336
LIN,0.667,5.555
COL,0.667,7.753
HAM,0.667,2.987
BOR,0.667,7.5
SAI,0.667,8.341
HAD,0.667,4.821
RUS,0.667,2.648
BOT,0.667,12.205
PIA,0.667,0.0
BEA,0.667,9.082
NOR,1.000,1.928
GAS,1.000,4.38
PER,1.000,10.485
ANT,1.000,3.504
ALO,1.000,11.813
LEC,1.000,1.142
STR,1.000,12.983
ALB,1.000,9.977
HUL,1.000,10.853
VER,1.000,5.957
LAW,1.000,7.185
OCO,1.000,6.739
LIN,1.000,5.483
COL,1.000,7.835
HAM,1.000,3.152
BOR,1.000,7.743
SAI,1.000,8.715
HAD,1.000,5.015
RUS,1.000,2.559
BOT,1.000,12.38
PIA,1.000,0.0
BEA,1.000,9.187
NOR,1.333,2.445
GAS,1.333,4.9719999999999995
PER,1.333,12.495
ANT,1.333,3.585
ALO,1.333,13.715
LEC,1.333,1.713
STR,1.333,14.309
ALB,1.333,11.861
HUL,1.333,12.897
VER,1.333,7.115
LAW,1.333,8.576
OCO,1.333,7.67
LIN,1.333,6.31
COL,1.333,9.302
HAM,1.333,4.209
BOR,1.333,8.815
SAI,1.333,10.897
HAD,1.333,6.731
RUS,1.333,3.006
BOT,1.333,15.118
PIA,1.333,0.0
BEA,1.333,10.109
NOR,1.667,2.246
GAS,1.667,5.111
PER,1.667,13.276
ANT,1.667,3.468
ALO,1.667,15.154
LEC,1.667,1.449
STR,1.667,16.12
ALB,1.667,12.537
HUL,1.667,13.973
VER,1.667,7.459
LAW,1.667,9.544
OCO,1.667,7.912
LIN,1.667,6.816
COL,1.667,10.039
HAM,1.667,4.05
BOR,1.667,9.443
SAI,1.667,11.661
HAD,1.667,7.874
RUS,1.667,2.775
BOT,1.667,16.566
PIA,1.667,0.0
BEA,1.667,10.603
NOR,2.000,1.8940000000000001
GAS,2.000,4.853
PER,2.000,13.437
ANT,2.000,3.023
ALO,2.000,15.423
LEC,2.000,1.252
STR,2.000,16.385
ALB,2.000,12.405
HUL,2.000,13.939
VER,2.000,7.67
LAW,2.000,9.343
OCO,2.000,8.338
LIN,2.000,6.619
COL,2.000,10.155
HAM,2.000,3.644
BOR,2.000,9.842
SAI,2.000,11.489
HAD,2.000,8.345
RUS,2.000,2.493
BOT,2.000,16.924
PIA,2.000,0.0
BEA,2.000,10.554
NOR,2.333,3.41
GAS,2.333,5.415
PER,2.333,15.681000000000001
ANT,2.333,3.795
ALO,2.333,17.146
LEC,2.333,1.901
STR,2.333,18.001
ALB,2.333,13.766
HUL,2.333,14.771
VER,2.333,8.465
LAW,2.333,10.615
OCO,2.333,9.573
LIN,2.333,7.456
COL,2.333,11.59
HAM,2.333,4.259
BOR,2.333,12.035
SAI,2.333,13.147
HAD,2.333,10.006
RUS,2.333,2.59
BOT,2.333,19.178
PIA,2.333,0.0
BEA,2.333,12.015
NOR,2.667,3.219
GAS,2.667,5.744
PER,2.667,16.57
ANT,2.667,3.605
ALO,2.667,18.57
LEC,2.667,1.409
STR,2.667,19.245
ALB,2.667,14.707
HUL,2.667,15.557
VER,2.667,8.664
LAW,2.667,11.468
OCO,2.667,9.604
LIN,2.667,7.949
COL,2.667,12.19
HAM,2.667,4.225
BOR,2.667,13.714
SAI,2.667,14.367
HAD,2.667,10.668
RUS,2.667,2.252
BOT,2.667,19.991
PIA,2.667,0.0
BEA,2.667,13.168
NOR,3.000,3.196
GAS,3.000,5.663
PER,3.000,16.73
ANT,3.000,3.56
ALO,3.000,18.925
LEC,3.000,1.358
STR,3.000,19.615
ALB,3.000,14.87
HUL,3.000,15.47
VER,3.000,8.525
LAW,3.000,11.374
OCO,3.000,9.433
LIN,3.000,7.853
COL,3.000,12.36
HAM,3.000,4.039
BOR,3.000,13.767
SAI,3.000,14.371
HAD,3.000,10.539
RUS,3.000,1.963
BOT,3.000,20.236
PIA,3.000,0.0
BEA,3.000,13.175
NOR,3.333,3.748
GAS,3.333,6.138
PER,3.333,18.495
ANT,3.333,3.943
ALO,3.333,20.649
LEC,3.333,2.5140000000000002
STR,3.333,21.268
ALB,3.333,17.1
HUL,3.333,16.333
VER,3.333,8.986
LAW,3.333,12.194
OCO,3.333,10.272
LIN,3.333,8.554
COL,3.333,13.426
HAM,3.333,4.692
BOR,3.333,14.825
SAI,3.333,15.885
HAD,3.333,11.104
RUS,3.333,1.804
BOT,3.333,22.347
PIA,3.333,0.0
BEA,3.333,14.197
NOR,3.667,3.56
GAS,3.667,6.367
PER,3.667,19.098
ANT,3.667,4.022
ALO,3.667,21.886
LEC,3.667,2.502
STR,3.667,22.576
ALB,3.667,17.733
HUL,3.667,16.911
VER,3.667,9.418
LAW,3.667,12.644
OCO,3.667,10.289
LIN,3.667,8.912
COL,3.667,13.749
HAM,3.667,4.736
BOR,3.667,15.594
SAI,3.667,16.503
HAD,3.667,11.424
RUS,3.667,1.621
BOT,3.667,23.121
PIA,3.667,0.0
BEA,3.667,14.609
NOR,4.000,3.511
GAS,4.000,6.426
PER,4.000,19.528
ANT,4.000,3.947
ALO,4.000,22.306
LEC,4.000,2.653
STR,4.000,23.066
ALB,4.000,17.81
HUL,4.000,16.966
VER,4.000,9.256
LAW,4.000,12.76
OCO,4.000,10.253
LIN,4.000,8.756
COL,4.000,13.773
HAM,4.000,4.708
BOR,4.000,15.645
SAI,4.000,16.625
HAD,4.000,11.42
RUS,4.000,1.599
BOT,4.000,23.584
PIA,4.000,0.0
BEA,4.000,14.702
NOR,4.333,3.738
GAS,4.333,6.754
PER,4.333,20.931
ANT,4.333,4.067
ALO,4.333,23.911
LEC,4.333,2.774
STR,4.333,24.626
ALB,4.333,18.833
HUL,4.333,18.146
VER,4.333,10.016
LAW,4.333,13.368
OCO,4.333,11.047
LIN,4.333,9.586
COL,4.333,14.564
HAM,4.333,5.035
BOR,4.333,16.296
SAI,4.333,17.676
HAD,4.333,11.827
RUS,4.333,1.3519999999999999
BOT,4.333,25.576
PIA,4.333,0.0
BEA,4.333,15.615
NOR,4.667,3.755
GAS,4.667,7.263
PER,4.667,21.711
ANT,4.667,4.273
ALO,4.667,25.239
LEC,4.667,2.773
STR,4.667,26.041
ALB,4.667,19.476
HUL,4.667,18.772
VER,4.667,10.47
LAW,4.667,13.996
OCO,4.667,11.307
LIN,4.667,10.69
COL,4.667,15.118
HAM,4.667,5.211
BOR,4.667,17.099
SAI,4.667,18.285
HAD,4.667,12.558
RUS,4.667,1.271
BOT,4.667,26.698
PIA,4.667,0.0
BEA,4.667,16.256
NOR,5.000,3.557
GAS,5.000,7.174
PER,5.000,22.009
ANT,5.000,4.063
ALO,5.000,25.71
LEC,5.000,2.738
STR,5.000,26.368
ALB,5.000,19.482
HUL,5.000,18.7
VER,5.000,11.054
LAW,5.000,14.016
OCO,5.000,11.875
LIN,5.000,11.685
COL,5.000,15.217
HAM,5.000,5.037
BOR,5.000,17.134
SAI,5.000,18.221
HAD,5.000,12.659
RUS,5.000,1.185
BOT,5.000,26.955
PIA,5.000,0.0
BEA,5.000,16.425
NOR,5.333,3.708
GAS,5.333,7.625
PER,5.333,23.225
ANT,5.333,4.084
ALO,5.333,27.343
LEC,5.333,2.912
STR,5.333,27.924
ALB,5.333,20.536
HUL,5.333,19.76
VER,5.333,11.867
LAW,5.333,15.196
OCO,5.333,12.836
LIN,5.333,13.705
COL,5.333,16.223
HAM,5.333,4.95
BOR,5.333,17.912
SAI,5.333,19.437
HAD,5.333,14.125
RUS,5.333,0.891
BOT,5.333,28.779
PIA,5.333,0.0
BEA,5.333,17.299
NOR,5.667,3.73
GAS,5.667,8.237
PER,5.667,24.499
ANT,5.667,4.177
ALO,5.667,28.841
LEC,5.667,2.985
STR,5.667,29.586
ALB,5.667,21.565
HUL,5.667,20.902
VER,5.667,12.479
LAW,5.667,16.201
OCO,5.667,13.364
LIN,5.667,14.327
COL,5.667,16.997
HAM,5.667,5.279
BOR,5.667,18.777
SAI,5.667,20.655
HAD,5.667,14.849
RUS,5.667,0.922
BOT,5.667,30.1
PIA,5.667,0.0
BEA,5.667,18.145
NOR,6.000,3.499
GAS,6.000,8.208
PER,6.000,24.937
ANT,6.000,3.916
ALO,6.000,29.253
LEC,6.000,2.916
STR,6.000,29.876
ALB,6.000,21.68
HUL,6.000,21.113
VER,6.000,12.496
LAW,6.000,16.113
OCO,6.000,13.316
LIN,6.000,14.065
COL,6.000,17.015
HAM,6.000,5.1
BOR,6.000,18.676
SAI,6.000,20.795
HAD,6.000,14.655
RUS,6.000,0.872
BOT,6.000,30.473
PIA,6.000,0.0
BEA,6.000,18.23
NOR,6.333,3.5629999999999997
GAS,6.333,8.6
PER,6.333,26.328
ANT,6.333,4.06
ALO,6.333,30.945
LEC,6.333,2.819
STR,6.333,31.5
ALB,6.333,23.084
HUL,6.333,22.357
VER,6.333,13.087
LAW,6.333,16.954
OCO,6.333,14.163
LIN,6.333,15.224
COL,6.333,17.866
HAM,6.333,5.26
BOR,6.333,19.082
SAI,6.333,21.995
HAD,6.333,15.508
RUS,6.333,0.677
BOT,6.333,32.405
PIA,6.333,0.0
BEA,6.333,19.785
NOR,6.667,3.62
GAS,6.667,9.088
PER,6.667,27.712
ANT,6.667,4.162
ALO,6.667,32.4
