Driver,LapNumber,LapTime,Compound
NOR,2.0,91.941,HARD
NOR,4.0,90.688,HARD
NOR,6.0,90.849,HARD
NOR,8.0,90.335,HARD
NOR,9.0,115.264,HARD
NOR,11.0,118.827,HARD
NOR,12.0,125.5,HARD
NOR,13.0,90.208,HARD
NOR,14.0,135.248,HARD
NOR,15.0,92.427,HARD
NOR,16.0,124.252,HARD
NOR,18.0,93.245,HARD
NOR,19.0,94.26,HARD
NOR,20.0,94.628,HARD
NOR,21.0,94.9,HARD
NOR,22.0,94.117,HARD
NOR,23.0,94.125,HARD
NOR,24.0,94.397,HARD
NOR,25.0,94.691,HARD
NOR,26.0,103.089,HARD
NOR,28.0,94.439,SOFT
NOR,29.0,132.72,SOFT
NOR,30.0,125.686,SOFT
NOR,31.0,131.048,SOFT
NOR,32.0,90.309,SOFT
NOR,33.0,138.942,SOFT
VER,2.0,92.022,HARD
VER,3.0,141.467,HARD
VER,4.0,91.709,HARD
VER,5.0,143.408,HARD
VER,6.0,91.047,HARD
VER,7.0,107.762,HARD
VER,9.0,90.465,MEDIUM
VER,10.0,126.682,MEDIUM
VER,11.0,131.156,MEDIUM
VER,12.0,90.561,MEDIUM
VER,13.0,112.234,MEDIUM
VER,15.0,93.256,MEDIUM
VER,16.0,93.189,MEDIUM
VER,17.0,94.415,MEDIUM
VER,18.0,93.572,MEDIUM
VER,19.0,93.648,MEDIUM
VER,20.0,93.928,MEDIUM
VER,21.0,93.905,MEDIUM
VER,22.0,93.836,MEDIUM
VER,23.0,93.748,MEDIUM
VER,24.0,93.564,MEDIUM
VER,25.0,94.236,MEDIUM
VER,26.0,93.728,MEDIUM
VER,27.0,93.983,MEDIUM
VER,28.0,93.62,MEDIUM
VER,29.0,93.638,MEDIUM
VER,30.0,107.872,MEDIUM
VER,32.0,89.776,SOFT
VER,33.0,127.737,SOFT
VER,34.0,123.857,SOFT
VER,35.0,89.607,SOFT
VER,36.0,141.422,SOFT
VER,37.0,135.041,SOFT
VER,38.0,120.966,SOFT
VER,39.0,124.94,SOFT
BOR,2.0,101.33,HARD
BOR,3.0,93.931,HARD
BOR,4.0,124.836,HARD
BOR,5.0,114.117,HARD
BOR,6.0,107.972,HARD
BOR,7.0,93.941,HARD
