Driver,LapNumber,LapTime,Compound
NOR,2.0,92.574,MEDIUM
NOR,3.0,92.183,MEDIUM
NOR,4.0,92.6,MEDIUM
NOR,5.0,92.585,MEDIUM
NOR,6.0,91.929,MEDIUM
NOR,7.0,92.146,MEDIUM
NOR,8.0,92.244,MEDIUM
NOR,9.0,92.426,MEDIUM
NOR,10.0,91.885,MEDIUM
NOR,11.0,91.941,MEDIUM
NOR,12.0,92.193,MEDIUM
NOR,13.0,92.499,MEDIUM
NOR,14.0,92.351,MEDIUM
NOR,15.0,92.307,MEDIUM
NOR,16.0,92.16,MEDIUM
NOR,17.0,92.018,MEDIUM
NOR,18.0,92.133,MEDIUM
NOR,19.0,92.914,MEDIUM
PIA,2.0,92.773,MEDIUM
PIA,3.0,92.527,MEDIUM
PIA,4.0,92.593,MEDIUM
PIA,5.0,92.534,MEDIUM
PIA,6.0,92.44,MEDIUM
PIA,7.0,92.228,MEDIUM
PIA,8.0,92.479,MEDIUM
PIA,9.0,92.434,MEDIUM
PIA,10.0,92.299,MEDIUM
PIA,11.0,92.284,MEDIUM
PIA,12.0,92.231,MEDIUM
PIA,13.0,92.554,MEDIUM
PIA,14.0,92.378,MEDIUM
PIA,15.0,92.518,MEDIUM
PIA,16.0,92.079,MEDIUM
PIA,17.0,92.836,MEDIUM
PIA,18.0,92.295,MEDIUM
PIA,19.0,92.36,MEDIUM
LEC,2.0,92.767,MEDIUM
LEC,3.0,92.704,MEDIUM
LEC,4.0,93.067,MEDIUM
LEC,5.0,92.488,MEDIUM
LEC,6.0,92.236,MEDIUM
LEC,7.0,92.204,MEDIUM
LEC,8.0,92.421,MEDIUM
LEC,9.0,92.43,MEDIUM
LEC,10.0,92.285,MEDIUM
LEC,11.0,91.964,MEDIUM
LEC,12.0,92.302,MEDIUM
LEC,13.0,92.412,MEDIUM
LEC,14.0,92.461,MEDIUM
LEC,15.0,92.163,MEDIUM
LEC,16.0,92.746,MEDIUM
LEC,17.0,92.402,MEDIUM
LEC,18.0,93.079,MEDIUM
LEC,19.0,93.25,MEDIUM
RUS,2.0,93.046,MEDIUM
RUS,3.0,92.658,MEDIUM
RUS,4.0,92.829,MEDIUM
RUS,5.0,92.748,MEDIUM
RUS,6.0,92.609,MEDIUM
RUS,7.0,92.476,MEDIUM
RUS,8.0,94.285,MEDIUM
RUS,9.0,92.641,MEDIUM
RUS,10.0,92.387,MEDIUM
RUS,11.0,92.405,MEDIUM
RUS,12.0,92.906,MEDIUM
RUS,13.0,92.993,MEDIUM
RUS,14.0,92.541,MEDIUM
RUS,15.0,92.847,MEDIUM
RUS,16.0,92.727,MEDIUM
RUS,17.0,93.731,MEDIUM
RUS,18.0,92.492,MEDIUM
RUS,19.0,92.425,MEDIUM
VER,2.0,93.225,MEDIUM
VER,3.0,92.914,MEDIUM
VER,4.0,93.16,MEDIUM
VER,5.0,92.673,MEDIUM
VER,6.0,92.479,MEDIUM
VER,7.0,92.741,MEDIUM
VER,8.0,95.68,MEDIUM
VER,9.0,92.868,MEDIUM
VER,10.0,92.572,MEDIUM
VER,11.0,92.385,MEDIUM
VER,12.0,92.327,MEDIUM
VER,13.0,92.827,MEDIUM
VER,14.0,92.319,MEDIUM
VER,15.0,92.988,MEDIUM
VER,16.0,92.369,MEDIUM
VER,17.0,92.447,MEDIUM
VER,18.0,92.236,MEDIUM
VER,19.0,92.201,MEDIUM
ANT,2.0,93.273,MEDIUM
ANT,3.0,92.645,MEDIUM
ANT,4.0,92.693,MEDIUM
ANT,5.0,92.918,MEDIUM
ANT,6.0,92.496,MEDIUM
ANT,7.0,93.213,MEDIUM
ANT,8.0,93.506,MEDIUM
ANT,9.0,92.592,MEDIUM
ANT,10.0,92.268,MEDIUM
ANT,11.0,91.932,MEDIUM
ANT,12.0,92.443,MEDIUM
ANT,13.0,92.561,MEDIUM
ANT,14.0,92.327,MEDIUM
ANT,15.0,92.58,MEDIUM
ANT,16.0,92.551,MEDIUM
ANT,17.0,92.778,MEDIUM
ANT,18.0,92.317,MEDIUM
ANT,19.0,92.24,MEDIUM
HAM,2.0,92.522,MEDIUM
HAM,3.0,92.642,MEDIUM
HAM,4.0,93.043,MEDIUM
HAM,5.0,92.692,MEDIUM
HAM,6.0,92.448,MEDIUM
HAM,7.0,92.896,MEDIUM
HAM,8.0,96.211,MEDIUM
HAM,9.0,93.687,MEDIUM
HAM,10.0,92.914,MEDIUM
HAM,11.0,92.593,MEDIUM
HAM,12.0,92.858,MEDIUM
HAM,13.0,92.861,MEDIUM
HAM,14.0,93.206,MEDIUM
HAM,15.0,93.475,MEDIUM
HAM,16.0,93.173,MEDIUM
HAM,17.0,93.533,MEDIUM
HAM,18.0,93.768,MEDIUM
HAM,19.0,93.926,MEDIUM
GAS,2.0,93.422,MEDIUM
GAS,3.0,93.669,MEDIUM
GAS,4.0,94.252,MEDIUM
GAS,5.0,93.585,MEDIUM
GAS,6.0,93.192,MEDIUM
GAS,7.0,93.329,MEDIUM
GAS,8.0,93.747,MEDIUM
GAS,9.0,93.36,MEDIUM
