Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-05-02 15:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-05-02 15:35:01,Other,PIT EXIT CLOSED,,,,,,1
2026-05-02 15:36:43,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,1
2026-05-02 15:36:47,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,1
2026-05-02 15:38:32,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 63 (RUS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,1
2026-05-02 15:38:43,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 63 (RUS) WILL BE INVESTIGATED AFTER THE SPRINT - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME,,,,,,1
2026-05-02 15:39:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,1
2026-05-02 15:39:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,1
2026-05-02 15:39:58,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,1
2026-05-02 15:40:01,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
2026-05-02 15:40:03,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,1
2026-05-02 15:40:21,Flag,DOUBLE YELLOW IN TRACK SECTOR 18,,DOUBLE YELLOW,Sector,18.0,,1
2026-05-02 15:40:55,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,1
2026-05-02 15:41:03,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,1
2026-05-02 15:41:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 9,,DOUBLE YELLOW,Sector,9.0,,1
2026-05-02 15:41:07,Flag,DOUBLE YELLOW IN TRACK SECTOR 4,,DOUBLE YELLOW,Sector,4.0,,1
2026-05-02 15:41:28,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,1
2026-05-02 15:41:38,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,1
2026-05-02 15:43:17,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,1
2026-05-02 15:43:17,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,1
2026-05-02 15:43:55,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,1
2026-05-02 15:44:25,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,1
2026-05-02 15:44:30,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,1
2026-05-02 15:45:05,Other,RISK OF RAIN FOR THE F1 SPRINT IS 0%,,,,,,1
2026-05-02 15:46:08,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,1
2026-05-02 15:50:44,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,1
2026-05-02 15:52:01,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 19,,,,,,1
2026-05-02 15:57:03,Other,OVERTAKE DISABLED,,,,,,1
2026-05-02 16:03:12,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,1
2026-05-02 16:03:51,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-05-02 16:05:13,Other,OVERTAKE ENABLED,,,,,,1
2026-05-02 16:07:21,Other,CAR 30 (LAW) TIME 1:37.515 DELETED - TRACK LIMITS AT TURN 6 LAP 2 12:05:58,,,,,,3
2026-05-02 16:08:51,Other,CAR 30 (LAW) TIME 1:37.515 WILL BE REINSTATED,,,,,,4
2026-05-02 16:08:54,Other,CAR 12 (ANT) TIME 1:33.273 DELETED - TRACK LIMITS AT TURN 11 LAP 2 12:06:18,,,,,,4
2026-05-02 16:11:35,Other,CAR 12 (ANT) TIME 1:32.693 DELETED - TRACK LIMITS AT TURN 5 LAP 4 12:08:54,,,,,,6
2026-05-02 16:12:13,Other,CAR 10 (GAS) TIME 1:33.669 DELETED - TRACK LIMITS AT TURN 11 LAP 3 12:07:54,,,,,,6
2026-05-02 16:15:51,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11,,,,,,8
2026-05-02 16:19:32,Other,CAR 6 (HAD) TIME 1:33.261 DELETED - TRACK LIMITS AT TURN 11 LAP 9 12:17:21,,,,,,11
2026-05-02 16:19:36,Other,CAR 18 (STR) TIME 1:35.294 DELETED - TRACK LIMITS AT TURN 11 LAP 9 12:17:42,,,,,,11
2026-05-02 16:20:25,Other,CAR 12 (ANT) TIME 1:32.592 DELETED - TRACK LIMITS AT TURN 5 LAP 9 12:16:39,,,,,,11
2026-05-02 16:20:51,Flag,BLACK AND WHITE FLAG FOR CAR 12 (ANT) - TRACK LIMITS,,BLACK AND WHITE,Driver,,12,12
2026-05-02 16:20:56,Flag,CLEAR IN TRACK SECTOR 11,,CLEAR,Sector,11.0,,12
