Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-05-23 20:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-05-23 20:01:50,Other,INCIDENT INVOLVING CAR 14 (ALO) NOTED - UNSAFE RELEASE (15:59:18),,,,,,
2026-05-23 20:03:02,Other,INCIDENT INVOLVING CAR 18 (STR) NOTED - UNSAFE CONDITION,,,,,,
2026-05-23 20:03:33,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE (15:59:18),,,,,,
2026-05-23 20:05:59,Other,TURN 13 INCIDENT INVOLVING CARS 11 (PER) AND 14 (ALO) NOTED (16:03:41),,,,,,
2026-05-23 20:06:55,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE CONDITION,,,,,,
2026-05-23 20:07:24,Other,CAR 16 (LEC) TIME 1:16.346 DELETED - TRACK LIMITS AT TURN 14 LAP 4 16:06:29,,,,,,
2026-05-23 20:07:57,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13,,,,,,
2026-05-23 20:09:03,Other,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:07:37 (PIT),,,,,,
2026-05-23 20:09:40,Other,CAR 5 (BOR) TIME 1:19.122 DELETED - TRACK LIMITS AT TURN 4 LAP 6 16:08:01,,,,,,
2026-05-23 20:11:16,Other,UPDATE: TURN 13 INCIDENT INVOLVING CAR 11 (PER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (16:03:41),,,,,,
2026-05-23 20:11:36,Other,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CAR 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (16:03:41),,,,,,
2026-05-23 20:13:09,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2026-05-23 20:14:13,Other,TURN 8 INCIDENT INVOLVING CARS 44 (HAM) AND 10 (GAS) NOTED - IMPEDING (16:04:24),,,,,,
2026-05-23 20:15:26,Other,CAR 44 (HAM) TIME 1:30.923 DELETED - TRACK LIMITS AT TURN 1 LAP 10 16:13:55,,,,,,
2026-05-23 20:16:26,Other,CAR 77 (BOT) TIME 1:42.934 DELETED - TRACK LIMITS AT TURN 1 LAP 10 16:14:45,,,,,,
2026-05-23 20:17:30,Other,CAR 41 (LIN) TIME 1:14.785 DELETED - TRACK LIMITS AT TURN 14 LAP 12 16:16:36,,,,,,
2026-05-23 20:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2026-05-23 20:18:13,Other,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA),,,,,,
2026-05-23 20:18:18,Other,CAR 41 (LIN) LAP DELETED - TRACK LIMITS AT TURN 14 (NEXT LAP PIT),,,,,,
2026-05-23 20:18:34,Other,CAR 81 (PIA) TIME 1:16.976 DELETED - TRACK LIMITS AT TURN 14 LAP 11 16:17:57,,,,,,
2026-05-23 20:19:08,Other,CAR 10 (GAS) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 11 16:16:25,,,,,,
2026-05-23 20:19:36,Other,CAR 81 (PIA) LAP DELETED - TRACK LIMITS AT TURN 14 (NEXT LAP PIT),,,,,,
2026-05-23 20:19:59,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2026-05-23 20:20:39,Other,TURN 5 INCIDENT INVOLVING CARS 18 (STR) AND 27 (HUL) NOTED - IMPEDING (16:17:48),,,,,,
2026-05-23 20:20:50,Other,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 4 LAP 11 16:17:39 (PIT),,,,,,
2026-05-23 20:21:39,Other,"FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 6 (HAD), 77 (BOT), 11 (PER), 5 (BOR), 44 (HAM), 10 (GAS) AND 43 (COL) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME",,,,,,
