Driver,LapNumber,LapTime,Compound
NOR,1.0,86.181,INTERMEDIATE
NOR,2.0,97.774,INTERMEDIATE
NOR,3.0,84.075,MEDIUM
NOR,4.0,81.17,MEDIUM
NOR,5.0,78.603,MEDIUM
NOR,6.0,79.343,MEDIUM
NOR,7.0,78.079,MEDIUM
NOR,8.0,78.027,MEDIUM
NOR,9.0,77.106,MEDIUM
NOR,10.0,77.226,MEDIUM
NOR,11.0,77.933,MEDIUM
NOR,12.0,76.868,MEDIUM
NOR,13.0,77.68,MEDIUM
NOR,14.0,76.801,MEDIUM
NOR,15.0,98.836,MEDIUM
NOR,16.0,83.114,MEDIUM
NOR,17.0,77.206,MEDIUM
NOR,18.0,78.118,MEDIUM
NOR,19.0,76.877,MEDIUM
NOR,20.0,76.598,MEDIUM
NOR,21.0,76.974,MEDIUM
NOR,22.0,77.029,MEDIUM
NOR,23.0,79.051,MEDIUM
NOR,24.0,77.212,MEDIUM
NOR,25.0,76.692,MEDIUM
NOR,26.0,76.454,MEDIUM
NOR,27.0,76.187,MEDIUM
NOR,28.0,76.169,MEDIUM
NOR,29.0,76.238,MEDIUM
NOR,30.0,102.958,MEDIUM
NOR,31.0,103.679,MEDIUM
NOR,32.0,78.818,MEDIUM
NOR,33.0,76.514,MEDIUM
NOR,34.0,76.797,MEDIUM
NOR,35.0,76.614,MEDIUM
NOR,36.0,75.845,MEDIUM
NOR,37.0,76.361,MEDIUM
NOR,38.0,76.014,MEDIUM
GAS,1.0,95.442,MEDIUM
GAS,2.0,86.222,MEDIUM
GAS,3.0,80.561,MEDIUM
GAS,4.0,80.937,MEDIUM
GAS,5.0,80.946,MEDIUM
GAS,6.0,79.779,MEDIUM
GAS,7.0,79.013,MEDIUM
GAS,8.0,78.469,MEDIUM
GAS,9.0,77.916,MEDIUM
GAS,10.0,77.79,MEDIUM
GAS,11.0,78.575,MEDIUM
GAS,12.0,79.019,MEDIUM
GAS,13.0,79.232,MEDIUM
GAS,14.0,78.013,MEDIUM
GAS,15.0,77.595,MEDIUM
GAS,16.0,77.569,MEDIUM
GAS,17.0,77.633,MEDIUM
GAS,18.0,77.456,MEDIUM
GAS,19.0,77.419,MEDIUM
GAS,20.0,77.507,MEDIUM
GAS,21.0,77.774,MEDIUM
GAS,22.0,77.432,MEDIUM
GAS,23.0,78.091,MEDIUM
GAS,24.0,77.292,MEDIUM
GAS,25.0,77.319,MEDIUM
GAS,26.0,77.098,MEDIUM
GAS,27.0,77.05,MEDIUM
GAS,28.0,76.981,MEDIUM
GAS,29.0,76.867,MEDIUM
GAS,30.0,112.733,MEDIUM
GAS,31.0,104.736,HARD
GAS,32.0,80.704,HARD
GAS,33.0,78.117,HARD
GAS,34.0,77.469,HARD
GAS,35.0,77.389,HARD
GAS,36.0,77.233,HARD
GAS,37.0,76.922,HARD
GAS,38.0,78.909,HARD
GAS,39.0,76.835,HARD
GAS,40.0,76.585,HARD
GAS,41.0,76.395,HARD
GAS,42.0,76.245,HARD
GAS,43.0,76.219,HARD
GAS,44.0,77.859,HARD
GAS,45.0,93.48,HARD
GAS,46.0,76.888,HARD
GAS,47.0,78.366,HARD
GAS,48.0,77.589,HARD
GAS,49.0,76.686,HARD
GAS,50.0,76.065,HARD
GAS,51.0,81.545,HARD
GAS,52.0,103.81,HARD
GAS,53.0,81.624,HARD
GAS,54.0,76.366,HARD
GAS,55.0,75.863,HARD
GAS,56.0,75.861,HARD
