Driver,LapNumber,LapTime,Compound
ANT,1.0,103.433,MEDIUM
ANT,2.0,87.534,MEDIUM
ANT,3.0,74.01,MEDIUM
ANT,4.0,90.859,MEDIUM
ANT,5.0,92.65,MEDIUM
ANT,8.0,88.373,MEDIUM
ANT,9.0,73.551,MEDIUM
ANT,10.0,100.117,MEDIUM
ANT,12.0,98.731,SOFT
ANT,13.0,73.5,SOFT
ANT,14.0,102.718,SOFT
ANT,15.0,73.033,SOFT
RUS,1.0,103.965,MEDIUM
RUS,2.0,74.772,MEDIUM
RUS,3.0,91.66,MEDIUM
RUS,4.0,78.246,MEDIUM
RUS,5.0,100.999,MEDIUM
RUS,8.0,87.058,MEDIUM
RUS,9.0,73.466,MEDIUM
RUS,10.0,96.189,MEDIUM
RUS,11.0,91.88,MEDIUM
RUS,12.0,73.026,MEDIUM
RUS,14.0,82.457,SOFT
RUS,15.0,92.741,SOFT
RUS,16.0,73.194,SOFT
RUS,17.0,102.092,SOFT
RUS,18.0,72.965,SOFT
RUS,19.0,109.328,SOFT
HAM,2.0,75.459,MEDIUM
HAM,3.0,99.454,MEDIUM
HAM,4.0,86.505,MEDIUM
HAM,5.0,73.922,MEDIUM
HAM,6.0,94.294,MEDIUM
HAM,7.0,73.889,MEDIUM
HAM,9.0,99.491,MEDIUM
HAM,10.0,76.374,MEDIUM
HAM,12.0,99.858,MEDIUM
HAM,13.0,73.637,MEDIUM
HAM,14.0,96.672,MEDIUM
HAM,15.0,90.502,MEDIUM
HAM,16.0,73.465,MEDIUM
HAM,18.0,88.914,SOFT
HAM,19.0,91.204,SOFT
HAM,20.0,73.411,SOFT
HAM,21.0,95.588,SOFT
HAM,22.0,73.326,SOFT
LEC,1.0,101.448,MEDIUM
LEC,2.0,87.622,MEDIUM
LEC,3.0,75.006,MEDIUM
LEC,4.0,95.186,MEDIUM
LEC,5.0,95.328,MEDIUM
LEC,6.0,92.072,MEDIUM
LEC,8.0,101.041,MEDIUM
LEC,9.0,97.944,MEDIUM
LEC,10.0,73.965,MEDIUM
LEC,11.0,89.046,MEDIUM
LEC,12.0,73.554,MEDIUM
LEC,14.0,92.485,SOFT
LEC,15.0,88.658,SOFT
LEC,16.0,73.858,SOFT
LEC,17.0,100.147,SOFT
LEC,18.0,73.41,SOFT
VER,1.0,101.284,MEDIUM
VER,2.0,74.476,MEDIUM
VER,3.0,97.306,MEDIUM
VER,4.0,74.028,MEDIUM
VER,5.0,101.216,MEDIUM
VER,7.0,86.356,MEDIUM
VER,8.0,85.242,MEDIUM
VER,9.0,74.412,MEDIUM
VER,11.0,92.661,SOFT
VER,12.0,73.507,SOFT
VER,13.0,96.45,SOFT
VER,14.0,73.504,SOFT
NOR,1.0,104.927,MEDIUM
NOR,2.0,95.628,MEDIUM
NOR,3.0,74.907,MEDIUM
NOR,4.0,93.559,MEDIUM
NOR,5.0,74.265,MEDIUM
NOR,6.0,103.418,MEDIUM
NOR,8.0,100.216,MEDIUM
NOR,9.0,73.957,MEDIUM
NOR,11.0,102.854,SOFT
NOR,12.0,74.055,SOFT
NOR,13.0,100.553,SOFT
NOR,14.0,73.28,SOFT
PIA,1.0,104.26,MEDIUM
PIA,2.0,101.839,MEDIUM
PIA,3.0,74.804,MEDIUM
PIA,4.0,98.379,MEDIUM
PIA,5.0,74.665,MEDIUM
PIA,7.0,115.232,MEDIUM
PIA,8.0,86.052,MEDIUM
PIA,9.0,73.858,MEDIUM
PIA,11.0,114.748,SOFT
PIA,12.0,73.686,SOFT
PIA,13.0,102.001,SOFT
PIA,14.0,73.299,SOFT
LIN,1.0,108.28,MEDIUM
LIN,2.0,96.679,MEDIUM
LIN,3.0,75.228,MEDIUM
LIN,4.0,100.089,MEDIUM
LIN,5.0,74.517,MEDIUM
LIN,6.0,99.067,MEDIUM
LIN,8.0,97.115,MEDIUM
LIN,9.0,74.395,MEDIUM
LIN,10.0,92.75,MEDIUM
LIN,11.0,74.14,MEDIUM
LIN,12.0,100.457,MEDIUM
LIN,13.0,77.019,MEDIUM
LIN,15.0,103.842,SOFT
LIN,16.0,73.985,SOFT
LIN,17.0,101.846,SOFT
LIN,18.0,73.737,SOFT
HUL,1.0,93.216,MEDIUM
HUL,2.0,84.921,MEDIUM
HUL,3.0,76.289,MEDIUM
HUL,4.0,101.248,MEDIUM
HUL,5.0,75.673,MEDIUM
HUL,8.0,107.902,MEDIUM
HUL,9.0,82.712,MEDIUM
HUL,10.0,88.724,MEDIUM
HUL,11.0,75.978,MEDIUM
HUL,12.0,95.7,MEDIUM
HUL,13.0,74.595,MEDIUM
ALO,1.0,102.783,MEDIUM
ALO,2.0,95.02,MEDIUM
ALO,3.0,76.064,MEDIUM
ALO,4.0,98.16,MEDIUM
ALO,5.0,75.76,MEDIUM
ALO,6.0,98.642,MEDIUM
BOR,1.0,102.981,MEDIUM
BOR,2.0,102.985,MEDIUM
BOR,3.0,77.974,MEDIUM
BOR,4.0,99.937,MEDIUM
BOR,5.0,75.801,MEDIUM
BOR,8.0,100.21,MEDIUM
BOR,9.0,76.435,MEDIUM
BOR,10.0,91.732,MEDIUM
BOR,11.0,74.871,MEDIUM
BOR,12.0,103.015,MEDIUM
BOR,13.0,74.627,MEDIUM
HAD,1.0,109.832,MEDIUM
HAD,2.0,75.673,MEDIUM
HAD,3.0,97.312,MEDIUM
HAD,4.0,74.541,MEDIUM
HAD,5.0,101.557,MEDIUM
HAD,7.0,104.145,MEDIUM
HAD,8.0,74.605,MEDIUM
HAD,9.0,96.081,MEDIUM
HAD,10.0,74.239,MEDIUM
HAD,12.0,95.384,SOFT
HAD,13.0,86.725,SOFT
HAD,14.0,73.605,SOFT
HAD,15.0,95.511,SOFT
HAD,16.0,74.034,SOFT
OCO,1.0,106.711,MEDIUM
OCO,2.0,99.341,MEDIUM
OCO,3.0,76.608,MEDIUM
OCO,4.0,91.289,MEDIUM
OCO,5.0,75.76,MEDIUM
OCO,6.0,99.788,MEDIUM
OCO,8.0,97.546,MEDIUM
OCO,10.0,96.417,MEDIUM
OCO,11.0,89.817,MEDIUM
OCO,12.0,75.145,MEDIUM
OCO,13.0,95.304,MEDIUM
OCO,14.0,75.529,MEDIUM
OCO,15.0,89.093,MEDIUM
OCO,16.0,74.928,MEDIUM
SAI,1.0,104.643,MEDIUM
SAI,2.0,77.172,MEDIUM
SAI,3.0,99.804,MEDIUM
SAI,4.0,76.734,MEDIUM
SAI,5.0,97.456,MEDIUM
SAI,6.0,75.5,MEDIUM
SAI,9.0,77.365,MEDIUM
SAI,11.0,102.222,MEDIUM
SAI,12.0,75.295,MEDIUM
SAI,13.0,110.052,MEDIUM
SAI,14.0,74.828,MEDIUM
SAI,15.0,97.848,MEDIUM
SAI,16.0,87.931,MEDIUM
SAI,17.0,74.547,MEDIUM
SAI,19.0,98.823,SOFT
