Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-05-22 20:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-05-22 20:36:09,Other,CAR 44 (HAM) TIME 1:26.505 DELETED - TRACK LIMITS AT TURN 2 LAP 5 16:34:32,,,,,,
2026-05-22 20:37:12,Other,TURN 14 INCIDENT INVOLVING CAR 10 (GAS) NOTED - IMPEDING (16:34:57),,,,,,
2026-05-22 20:38:11,Other,CAR 16 (LEC) TIME 1:35.328 DELETED - TRACK LIMITS AT TURN 2 LAP 6 16:36:06,,,,,,
2026-05-22 20:38:39,Other,CAR 63 (RUS) TIME 1:18.246 DELETED - TRACK LIMITS AT TURN 14 LAP 5 16:37:23,,,,,,
2026-05-22 20:39:25,Other,CAR 63 (RUS) TIME 1:40.999 DELETED - TRACK LIMITS AT TURN 14 (NEXT LAP),,,,,,
2026-05-22 20:39:32,Other,CAR 16 (LEC) TIME 1:32.072 DELETED - TRACK LIMITS AT TURN 8 LAP 7 16:38:14,,,,,,
2026-05-22 20:40:03,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2026-05-22 20:40:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2026-05-22 20:40:14,Flag,RED FLAG,,RED,Track,,,
2026-05-22 20:40:14,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2026-05-22 20:40:15,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2026-05-22 20:41:43,Other,CAR 6 (HAD) LAP DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2026-05-22 20:41:53,Other,CAR 6 (HAD) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 7 16:39:57 (PIT),,,,,,
2026-05-22 20:41:58,Other,CAR 18 (STR) LAP DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2026-05-22 20:42:02,Other,CAR 44 (HAM) LAP DELETED - DOUBLE YELLOW AT TURN 3,,,,,,
2026-05-22 20:42:15,Flag,TRACK CLEAR,,CLEAR,Track,,,
2026-05-22 20:42:21,Other,OVERTAKE ENABLED,,,,,,
2026-05-22 20:42:42,Other,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CAR 10 (GAS) REVIEWED NO FURTHER INVESTIGATION - IMPEDING (16:34:57),,,,,,
