Driver,LapNumber,GapTime
RUS,0.667,0.0
NOR,0.667,1.766
ANT,0.667,0.969
PIA,0.667,2.922
LEC,0.667,3.344
HAM,0.667,2.375
VER,0.667,3.781
LIN,0.667,4.641
COL,0.667,6.894
SAI,0.667,5.516
LAW,0.667,9.285
BOR,0.667,9.128
OCO,0.667,8.441
PER,0.667,8.316
HUL,0.667,8.956
STR,0.667,20.363
BOT,0.667,15.331
BEA,0.667,12.566
ALB,0.667,16.456
GAS,0.667,14.003
HAD,0.667,4.328
ALO,0.667,8.738
RUS,1.000,0.0
NOR,1.000,1.706
ANT,1.000,0.625
PIA,1.000,3.078
LEC,1.000,3.625
HAM,1.000,2.453
VER,1.000,4.203
LIN,1.000,5.094
COL,1.000,7.453
SAI,1.000,5.898
LAW,1.000,11.494
BOR,1.000,11.416
OCO,1.000,9.775
PER,1.000,10.072
HUL,1.000,10.978
STR,1.000,21.81
BOT,1.000,16.447
BEA,1.000,13.806000000000001
ALB,1.000,17.541
GAS,1.000,14.931000000000001
HAD,1.000,4.625
ALO,1.000,10.588
RUS,1.333,0.0
NOR,1.333,2.076
ANT,1.333,0.716
PIA,1.333,3.411
LEC,1.333,4.138
HAM,1.333,2.848
VER,1.333,4.842
LIN,1.333,5.99
COL,1.333,8.361
SAI,1.333,6.91
LAW,1.333,13.119
BOR,1.333,13.918
OCO,1.333,10.65
PER,1.333,11.235
HUL,1.333,12.755
STR,1.333,22.93
BOT,1.333,17.644
BEA,1.333,14.968
ALB,1.333,18.707
GAS,1.333,15.850999999999999
HAD,1.333,5.463
ALO,1.333,12.281
RUS,1.667,0.0
NOR,1.667,2.461
ANT,1.667,0.758
PIA,1.667,4.006
LEC,1.667,4.746
HAM,1.667,3.247
VER,1.667,5.3469999999999995
LIN,1.667,6.774
COL,1.667,9.34
SAI,1.667,7.775
LAW,1.667,14.725
BOR,1.667,15.58
OCO,1.667,11.486
PER,1.667,12.498
HUL,1.667,14.244
STR,1.667,24.157
BOT,1.667,19.079
BEA,1.667,16.158
ALB,1.667,19.892
GAS,1.667,16.884
HAD,1.667,6.005
ALO,1.667,13.594
RUS,2.000,0.0
NOR,2.000,2.347
ANT,2.000,0.505
PIA,2.000,3.878
LEC,2.000,4.477
HAM,2.000,3.122
VER,2.000,5.177
LIN,2.000,7.221
COL,2.000,9.938
SAI,2.000,7.977
LAW,2.000,15.514
BOR,2.000,16.271
OCO,2.000,12.138
PER,2.000,12.975999999999999
HUL,2.000,14.822
STR,2.000,25.229
BOT,2.000,20.033
BEA,2.000,16.78
ALB,2.000,20.746
GAS,2.000,17.205
