Driver,LapNumber,LapTime,Compound
RUS,2.0,75.305,MEDIUM
RUS,3.0,75.045,MEDIUM
RUS,4.0,74.721,MEDIUM
RUS,5.0,75.156,MEDIUM
RUS,6.0,77.199,MEDIUM
RUS,7.0,75.17,MEDIUM
RUS,8.0,74.98,MEDIUM
RUS,9.0,74.736,MEDIUM
RUS,10.0,74.791,MEDIUM
RUS,11.0,74.942,MEDIUM
RUS,12.0,75.036,MEDIUM
RUS,13.0,74.809,MEDIUM
RUS,14.0,74.885,MEDIUM
RUS,15.0,74.772,MEDIUM
RUS,16.0,74.702,MEDIUM
RUS,17.0,75.047,MEDIUM
RUS,18.0,74.849,MEDIUM
RUS,19.0,74.715,MEDIUM
RUS,20.0,74.802,MEDIUM
RUS,21.0,74.741,MEDIUM
RUS,22.0,74.897,MEDIUM
RUS,23.0,75.153,MEDIUM
NOR,2.0,75.968,MEDIUM
NOR,3.0,75.525,MEDIUM
NOR,4.0,75.028,MEDIUM
NOR,5.0,75.018,MEDIUM
NOR,6.0,75.245,MEDIUM
NOR,7.0,74.883,MEDIUM
NOR,8.0,74.769,MEDIUM
NOR,9.0,74.802,MEDIUM
NOR,10.0,74.908,MEDIUM
NOR,11.0,74.596,MEDIUM
NOR,12.0,75.025,MEDIUM
NOR,13.0,74.85,MEDIUM
NOR,14.0,75.36,MEDIUM
NOR,15.0,74.615,MEDIUM
NOR,16.0,74.639,MEDIUM
NOR,17.0,74.785,MEDIUM
NOR,18.0,75.012,MEDIUM
NOR,19.0,74.952,MEDIUM
NOR,20.0,74.62,MEDIUM
NOR,21.0,74.757,MEDIUM
NOR,22.0,75.002,MEDIUM
NOR,23.0,75.654,MEDIUM
ANT,2.0,75.221,MEDIUM
ANT,3.0,75.141,MEDIUM
ANT,4.0,74.606,MEDIUM
ANT,5.0,74.908,MEDIUM
ANT,6.0,78.995,MEDIUM
ANT,7.0,74.95,MEDIUM
ANT,8.0,74.865,MEDIUM
ANT,9.0,75.393,MEDIUM
ANT,10.0,74.977,MEDIUM
ANT,11.0,74.38,MEDIUM
ANT,12.0,74.533,MEDIUM
ANT,13.0,74.908,MEDIUM
ANT,14.0,74.605,MEDIUM
ANT,15.0,75.019,MEDIUM
ANT,16.0,74.746,MEDIUM
ANT,17.0,74.427,MEDIUM
ANT,18.0,75.068,MEDIUM
ANT,19.0,74.841,MEDIUM
ANT,20.0,74.836,MEDIUM
ANT,21.0,74.9,MEDIUM
ANT,22.0,74.38,MEDIUM
ANT,23.0,76.059,MEDIUM
PIA,2.0,76.164,MEDIUM
PIA,3.0,75.529,MEDIUM
PIA,4.0,75.127,MEDIUM
PIA,5.0,75.102,MEDIUM
PIA,6.0,75.595,MEDIUM
PIA,7.0,75.199,MEDIUM
PIA,8.0,74.852,MEDIUM
PIA,9.0,75.11,MEDIUM
PIA,10.0,75.335,MEDIUM
PIA,11.0,75.033,MEDIUM
PIA,12.0,74.889,MEDIUM
PIA,13.0,75.079,MEDIUM
PIA,14.0,74.846,MEDIUM
PIA,15.0,75.182,MEDIUM
PIA,16.0,75.112,MEDIUM
PIA,17.0,74.793,MEDIUM
PIA,18.0,75.049,MEDIUM
PIA,19.0,75.373,MEDIUM
PIA,20.0,75.345,MEDIUM
PIA,21.0,75.333,MEDIUM
PIA,22.0,76.95,MEDIUM
PIA,23.0,76.231,MEDIUM
LEC,2.0,76.229,MEDIUM
LEC,3.0,75.673,MEDIUM
LEC,4.0,75.26,MEDIUM
LEC,5.0,74.851,MEDIUM
LEC,6.0,75.295,MEDIUM
LEC,7.0,76.211,MEDIUM
LEC,8.0,74.809,MEDIUM
LEC,9.0,75.44,MEDIUM
LEC,10.0,74.962,MEDIUM
LEC,11.0,74.741,MEDIUM
LEC,12.0,74.876,MEDIUM
LEC,13.0,74.798,MEDIUM
LEC,14.0,74.845,MEDIUM
LEC,15.0,74.903,MEDIUM
LEC,16.0,75.703,MEDIUM
LEC,17.0,75.112,MEDIUM
LEC,18.0,75.018,MEDIUM
LEC,19.0,75.317,MEDIUM
LEC,20.0,75.496,MEDIUM
LEC,21.0,75.484,MEDIUM
LEC,22.0,75.817,MEDIUM
LEC,23.0,76.01,MEDIUM
HAM,2.0,76.053,MEDIUM
HAM,3.0,75.405,MEDIUM
HAM,4.0,75.264,MEDIUM
HAM,5.0,75.375,MEDIUM
HAM,6.0,75.472,MEDIUM
HAM,7.0,75.091,MEDIUM
HAM,8.0,74.981,MEDIUM
HAM,9.0,74.872,MEDIUM
HAM,10.0,75.542,MEDIUM
HAM,11.0,74.934,MEDIUM
HAM,12.0,74.695,MEDIUM
HAM,13.0,75.166,MEDIUM
HAM,14.0,75.203,MEDIUM
HAM,15.0,75.03,MEDIUM
HAM,16.0,74.884,MEDIUM
HAM,17.0,75.082,MEDIUM
HAM,18.0,75.094,MEDIUM
HAM,19.0,75.308,MEDIUM
HAM,20.0,75.389,MEDIUM
HAM,21.0,75.601,MEDIUM
HAM,22.0,77.662,MEDIUM
HAM,23.0,76.528,MEDIUM
VER,2.0,76.373,MEDIUM
VER,3.0,75.837,MEDIUM
VER,4.0,75.568,MEDIUM
VER,5.0,75.3,MEDIUM
VER,6.0,75.436,MEDIUM
VER,7.0,75.295,MEDIUM
VER,8.0,75.168,MEDIUM
VER,9.0,75.32,MEDIUM
VER,10.0,75.182,MEDIUM
VER,11.0,74.974,MEDIUM
VER,12.0,75.273,MEDIUM
VER,13.0,75.131,MEDIUM
VER,14.0,75.339,MEDIUM
VER,15.0,75.154,MEDIUM
VER,16.0,75.116,MEDIUM
VER,17.0,75.168,MEDIUM
VER,18.0,75.53,MEDIUM
VER,19.0,75.812,MEDIUM
VER,20.0,75.429,MEDIUM
VER,21.0,75.27,MEDIUM
VER,22.0,78.645,MEDIUM
VER,23.0,75.946,MEDIUM
LIN,2.0,77.405,HARD
