Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-05-23 15:30:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-05-23 15:30:10,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,1
2026-05-23 15:30:20,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1
2026-05-23 15:31:29,Flag,YELLOW IN TRACK SECTOR 8,,YELLOW,Sector,8.0,,1
2026-05-23 15:31:33,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,1
2026-05-23 15:35:01,Other,PIT EXIT CLOSED,,,,,,1
2026-05-23 15:46:52,Other,RISK OF RAIN FOR THE F1 SPRINT IS 0%,,,,,,1
2026-05-23 15:54:49,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1
2026-05-23 15:54:56,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
2026-05-23 15:55:20,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,1
2026-05-23 15:55:26,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,1
2026-05-23 15:57:04,Other,OVERTAKE DISABLED,,,,,,1
2026-05-23 16:03:16,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2026-05-23 16:04:26,Other,OVERTAKE ENABLED,,,,,,1
2026-05-23 16:05:08,Other,INCIDENT INVOLVING CAR 18 (STR) NOTED - STARTING PROCEDURE INFRINGEMENT,,,,,,2
2026-05-23 16:11:31,Other,CAR 12 (ANT) TIME 1:18.995 DELETED - TRACK LIMITS AT TURN 2 LAP 6 12:09:42,,,,,,7
2026-05-23 16:11:49,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) UNDER INVESTIGATION - STARTING PROCEDURE INFRINGEMENT,,,,,,7
2026-05-23 16:12:48,Other,CAR 12 (ANT) TIME 1:18.995 DELETED - TRACK LIMITS AT TURN 9 LAP 6 12:10:18,,,,,,8
2026-05-23 16:12:53,Other,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) NO FURTHER ACTION - STARTING PROCEDURE INFRINGEMENT,,,,,,8
2026-05-23 16:14:21,Other,CAR 5 (BOR) TIME 1:17.562 DELETED - TRACK LIMITS AT TURN 14 LAP 5 12:09:54,,,,,,9
2026-05-23 16:14:40,Other,CAR 11 (PER) TIME 1:17.633 DELETED - TRACK LIMITS AT TURN 14 LAP 7 12:12:23,,,,,,10
2026-05-23 16:15:13,Other,CAR 87 (BEA) TIME 1:17.144 DELETED - TRACK LIMITS AT TURN 14 LAP 8 12:13:50,,,,,,10
