Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2026-06-05 11:30:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2026-06-05 11:31:18,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2026-06-05 11:31:40,Flag,CLEAR IN TRACK SECTOR 7,,CLEAR,Sector,7.0,,
2026-06-05 11:34:23,Other,CAR 16 (LEC) TIME 2:14.473 DELETED - TRACK LIMITS AT TURN 5 LAP 2 13:31:16,,,,,,
2026-06-05 11:34:24,Other,CAR 43 (COL) TIME 1:26.305 DELETED - TRACK LIMITS AT TURN 10 LAP 3 13:32:58,,,,,,
2026-06-05 11:37:13,Other,CAR 16 (LEC) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 5 13:36:30 (PIT),,,,,,
2026-06-05 11:39:01,Other,INCIDENT INVOLVING CARS 6 (HAD) AND 41 (LIN) NOTED (13:36:49),,,,,,
2026-06-05 11:39:13,Other,CAR 14 (ALO) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 5 13:37:10 (PIT),,,,,,
2026-06-05 11:39:17,Other,CAR 55 (SAI) TIME 1:20.942 DELETED - TRACK LIMITS AT TURN 10 LAP 5 13:37:26,,,,,,
2026-06-05 11:39:21,Other,CAR 10 (GAS) TIME 1:18.683 DELETED - TRACK LIMITS AT TURN 10 LAP 6 13:38:28,,,,,,
2026-06-05 11:40:39,Other,CAR 41 (LIN) TIME 1:37.102 DELETED - TRACK LIMITS AT TURN 10 LAP 8 13:39:53,,,,,,
2026-06-05 11:41:01,Other,CAR 10 (GAS) TIME 1:39.572 DELETED - TRACK LIMITS AT TURN 11 LAP 7 13:39:55,,,,,,
2026-06-05 11:41:10,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 8,,,,,,
2026-06-05 11:41:27,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2026-06-05 11:43:32,Other,CAR 63 (RUS) TIME 1:37.923 DELETED - TRACK LIMITS AT TURN 10 LAP 8 13:41:27,,,,,,
2026-06-05 11:43:41,Other,CAR 55 (SAI) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 8 13:41:36 (PIT),,,,,,
2026-06-05 11:44:01,Other,CAR 16 (LEC) TIME 1:21.839 DELETED - TRACK LIMITS AT TURN 10 LAP 8 13:41:42,,,,,,
2026-06-05 11:44:11,Other,CAR 30 (LAW) TIME 1:44.285 DELETED - TRACK LIMITS AT TURN 10 LAP 9 13:41:49,,,,,,
2026-06-05 11:44:21,Other,FIA STEWARDS: INCIDENT INVOLVING CARS 6 (HAD) AND 41 (LIN) REVIEWED NO FURTHER INVESTIGATION (13:36:49),,,,,,
2026-06-05 11:44:48,Other,CAR 87 (BEA) TIME 1:24.068 DELETED - TRACK LIMITS AT TURN 10 LAP 10 13:43:37,,,,,,
2026-06-05 11:46:03,Other,CAR 41 (LIN) TIME 1:26.099 DELETED - TRACK LIMITS AT TURN 10 LAP 11 13:44:36,,,,,,
2026-06-05 11:46:16,Other,CAR 44 (HAM) TIME 1:20.659 DELETED - TRACK LIMITS AT TURN 16 LAP 11 13:45:09,,,,,,
2026-06-05 11:46:31,Other,CAR 10 (GAS) TIME 1:22.623 DELETED - TRACK LIMITS AT TURN 10 LAP 11 13:45:42,,,,,,
2026-06-05 11:46:37,Other,CAR 16 (LEC) TIME 1:32.974 DELETED - TRACK LIMITS AT TURN 10 LAP 11 13:45:41,,,,,,
2026-06-05 11:47:20,Other,CAR 30 (LAW) LAP DELETED - TRACK LIMITS AT TURN 10 LAP 12 13:46:21 (PIT),,,,,,
2026-06-05 11:47:28,Other,CAR 87 (BEA) TIME 1:38.207 DELETED - TRACK LIMITS AT TURN 10 LAP 12 13:46:33,,,,,,
2026-06-05 11:47:36,Other,CAR 41 (LIN) TIME 1:26.099 DELETED - TRACK LIMITS AT TURN 16 LAP 11 13:44:54,,,,,,
2026-06-05 11:47:52,Other,CAR 44 (HAM) TIME 1:48.165 DELETED - TRACK LIMITS AT TURN 1 LAP 12 13:45:35,,,,,,
2026-06-05 11:48:02,Other,CAR 16 (LEC) TIME 1:23.128 DELETED - TRACK LIMITS AT TURN 10 LAP 12 13:47:16,,,,,,
2026-06-05 11:49:32,Other,CAR 12 (ANT) LAP DELETED - TRACK LIMITS AT TURN 16 LAP 14 13:49:09 (PIT),,,,,,
